Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
824,-1.0297168725383048,,,,,,,-1.0297168725383048
1000,,-1.3933671625912087,-0.7506554517515376,-1.2868267906029096,-0.824164186638376,-0.8677876976110019,-1.198363367466587,-1.0535274427769368
1583,,,,,,,-0.3991493486052806,-0.3991493486052806
1824,-0.5451466658343898,,,,,,,-0.5451466658343898
2000,,-0.4901002188336665,-0.3104664832616086,-0.4389423724892315,-0.4349348683038217,-0.3357171311877123,,-0.4020322148152081
2583,,,,,,,-0.2951503088545636,-0.2951503088545636
2824,-0.2359777407255847,,,,,,,-0.2359777407255847
3000,,-0.209177671599802,-0.1808370347208495,-0.2422009564970953,-0.1693629386296675,-0.1806994103707518,,-0.19645560236363319
3583,,,,,,,-0.1864180602979233,-0.1864180602979233
3610,-0.1890103293506166,,,,,,,-0.1890103293506166
3933,,-0.1403217309254046,,,,,,-0.1403217309254046
4000,,,-0.1750606420758014,-0.1318761902508764,-0.1651116865198568,-0.1199373660922848,,-0.14799647123470486
4291,-0.1111429255019866,,,,,,,-0.1111429255019866
4583,,,,,,,-0.1313815632309754,-0.1313815632309754
4662,-0.138007859807612,,,,,,,-0.138007859807612
4688,,,,,,-0.10418317217795,,-0.10418317217795
4871,,,,,,,-0.1292283282244934,-0.1292283282244934
4933,,-0.0882480057681599,,,,,,-0.0882480057681599
5000,,,-0.0866168047415432,-0.0765393366029094,-0.0876881312540987,,,-0.08361475753285043
5186,-0.0880874881331803,,,,,,,-0.0880874881331803
5404,,,,,,,-0.0936460610912806,-0.0936460610912806
5430,,-0.0790196878451795,,,,,,-0.0790196878451795
5494,,,,-0.1204729971771351,,,,-0.1204729971771351
5688,,,,,,-0.1003197073554551,,-0.1003197073554551
5728,,,-0.1213996786149937,,,,,-0.1213996786149937
5863,-0.1758503277709954,,,,,,,-0.1758503277709954
6000,,,,,-0.0521498852081357,,,-0.0521498852081357
6012,,-0.0664743550765837,,,,,,-0.0664743550765837
6236,,,,,,-0.1348200309946858,,-0.1348200309946858
6267,,,,,,,-0.1207976607764208,-0.1207976607764208
6318,,,,-0.171446308666972,,,,-0.171446308666972
6548,,,-0.135517052613994,,,,,-0.135517052613994
6577,-0.1527231480611986,,,,,,,-0.1527231480611986
6622,,,,,,,-0.1084622255764648,-0.1084622255764648
6708,,,,-0.1216155631847369,,,,-0.1216155631847369
6991,,,,,,-0.1333879842395929,,-0.1333879842395929
7000,,,,,-0.0857122484357327,,,-0.0857122484357327
7012,,-0.1111794498162909,,,,,,-0.1111794498162909
7076,-0.1699871892116001,,,,,,,-0.1699871892116001
7169,,,-0.1661534972786278,,,,,-0.1661534972786278
7224,,,,-0.1280219827281423,,,,-0.1280219827281423
7310,,,,,,,-0.118253617050016,-0.118253617050016
7324,,,,,,-0.13012756860732,,-0.13012756860732
7516,-0.2547585609418686,,,,,,,-0.2547585609418686
7641,,,,,,,-0.1544492231649572,-0.1544492231649572
7647,,,-0.1338264953140381,,,,,-0.1338264953140381
7711,,,,,,-0.2096157462311095,,-0.2096157462311095
7896,-0.121046798848718,,,,,,,-0.121046798848718
7977,,,-0.1299760367607224,,,,,-0.1299760367607224
8000,,,,,-0.0535502362061761,,,-0.0535502362061761
8012,,-0.0917592619546946,,,,,,-0.0917592619546946
8054,,,,-0.1323572666196998,,,,-0.1323572666196998
8115,,,,,,,-0.1438446815905831,-0.1438446815905831
8202,,,,,,-0.1765663472680898,,-0.1765663472680898
8273,-0.2224193768907116,,,,,,,-0.2224193768907116
8291,,,-0.1206752590128606,,,,,-0.1206752590128606
8505,,,,,,-0.190611315889874,,-0.190611315889874
8582,,,,,-0.1022715123516126,,,-0.1022715123516126
8595,,,,,,,-0.116156370545308,-0.116156370545308
8631,-0.1890707991711004,,,,,,,-0.1890707991711004
8769,,,-0.1243691491717847,,,,,-0.1243691491717847
8867,,,,-0.1077002633287361,,,,-0.1077002633287361
8876,,,,,,-0.1773145007734877,,-0.1773145007734877
8881,,-0.097253603814195,,,,,,-0.097253603814195
8907,-0.2078877603692417,,,,,,,-0.2078877603692417
9053,,,,,,,-0.1249384361309077,-0.1249384361309077
9162,,,-0.0946150862237011,,,,,-0.0946150862237011
9183,-0.2271309376243651,,,,,,,-0.2271309376243651
9197,,,,,,-0.1430999234560287,,-0.1430999234560287
9285,,,,-0.1195926947646693,,,,-0.1195926947646693
9385,,,,,,,-0.1413340528225499,-0.1413340528225499
9461,-0.2093229259667312,,,,,,,-0.2093229259667312
9493,,,-0.1156746890492812,,,,,-0.1156746890492812
9582,,,,,-0.0889249615500121,,,-0.0889249615500121
9599,,,,,,-0.1754586577693056,,-0.1754586577693056
9679,,-0.0791905445124662,,,,,,-0.0791905445124662
9795,-0.1869025831758868,,,,,,,-0.1869025831758868
9918,,,-0.1331529027070651,,,,,-0.1331529027070651
10008,,,,,,-0.1615102657956382,,-0.1615102657956382
10107,,,,,,,-0.1637152493777198,-0.1637152493777198
10109,-0.2119185126202027,,,,,,,-0.2119185126202027
10202,,,,-0.0955496625413668,,,,-0.0955496625413668
10337,,,-0.1273357276576397,,,,,-0.1273357276576397
10378,-0.1933607040136991,,,,,,,-0.1933607040136991
10411,,,,,,-0.2397706544600319,,-0.2397706544600319
10412,,,,-0.1201492148950071,,,,-0.1201492148950071
10446,,,,,,,-0.1666934544626163,-0.1666934544626163
10562,,,,,-0.0822175689951465,,,-0.0822175689951465
10645,,,,,,-0.1305203209968301,,-0.1305203209968301
10679,,-0.0509909460949348,,,,,,-0.0509909460949348
10710,,,,,,,-0.2201856899936501,-0.2201856899936501
10713,,,-0.1463727439377211,,,,,-0.1463727439377211
10791,,,,-0.0970813741204333,,,,-0.0970813741204333
10893,,,,,-0.061892512141772,,,-0.061892512141772
10900,,,,,,-0.166817083979372,,-0.166817083979372
10939,-0.171854310193795,,,,,,,-0.171854310193795
10955,,,,-0.0876872688219641,,,,-0.0876872688219641
11032,,,,,,,-0.1071034003897234,-0.1071034003897234
11156,,,,,,-0.1677366668904793,,-0.1677366668904793
11194,,,-0.0945256063546979,,,,,-0.0945256063546979
11204,,,,,,,-0.156675095734199,-0.156675095734199
11219,-0.1637341066556158,,,,,,,-0.1637341066556158
11351,,,,-0.0929550245334406,,,,-0.0929550245334406
11482,,,,,,-0.2016864919313946,,-0.2016864919313946
11488,,,-0.1071630286349196,,,,,-0.1071630286349196
11493,,,,,,,-0.151961085588777,-0.151961085588777
11551,,-0.0367955582176601,,,,,,-0.0367955582176601
11605,,,,-0.0985068070127269,,,,-0.0985068070127269
11618,-0.2558677137385457,,,,,,,-0.2558677137385457
11721,,,,,,-0.2334767913971918,,-0.2334767913971918
11727,,,,,,,-0.1201149459926969,-0.1201149459926969
11806,,,-0.1073045213759903,,,,,-0.1073045213759903
11893,-0.2526026917280758,,,,-0.084255332719177,,,-0.1684290122236264
12015,,,,,,,-0.1625381330112323,-0.1625381330112323
12022,,,,-0.1357739669813294,,,,-0.1357739669813294
12047,,,,,,-0.138884282875873,,-0.138884282875873
12154,,,-0.1060782884820104,,,,,-0.1060782884820104
12193,-0.1795426293470676,,,,,,,-0.1795426293470676
12277,,,,,,,-0.1802256208837142,-0.1802256208837142
12298,,,,,-0.0844461685178964,,,-0.0844461685178964
12408,,,,-0.1070171958555609,,,,-0.1070171958555609
12473,-0.1885197699830788,,,,,,,-0.1885197699830788
12505,,,,,,,-0.1336249641096475,-0.1336249641096475
12523,,,,,,-0.1678691011165947,,-0.1678691011165947
12551,,-0.0314343486893572,,,,,,-0.0314343486893572
12626,-0.1670206895592623,,,,,,,-0.1670206895592623
12694,,,-0.1102410954349204,,,,,-0.1102410954349204
12717,,,,-0.0655638802625635,,,,-0.0655638802625635
12881,-0.1858452829532375,,,,,,,-0.1858452829532375
12967,,,,,,,-0.1613376782141445,-0.1613376782141445
12982,,,,,,-0.1609370583106755,,-0.1609370583106755
13134,-0.178389631412179,,,,,,,-0.178389631412179
13204,,,,-0.0755976985466399,,,,-0.0755976985466399
13229,,,,,,,-0.1355907546720887,-0.1355907546720887
13247,,,,,-0.079642023625675,,,-0.079642023625675
13286,,,,,,-0.1984869951908092,,-0.1984869951908092
13322,,,-0.0831779442109166,,,,,-0.0831779442109166
13367,-0.1554960098890069,,,,,,,-0.1554960098890069
13475,,,,,,,-0.1175096915837248,-0.1175096915837248
13528,,,,,-0.1133089769333532,,,-0.1133089769333532
13551,,-0.0328827876525132,,-0.0810359122631624,,,,-0.0569593499578378
13561,-0.2083590680659013,,,,,,,-0.2083590680659013
13568,,,,,,-0.1759730208682625,,-0.1759730208682625
13736,,,,,,,-0.088046347487015,-0.088046347487015
13753,-0.1519222321894608,,,,,,,-0.1519222321894608
13836,,,-0.0586559437511157,,,,,-0.0586559437511157
13857,,,,,,-0.1509688071619658,,-0.1509688071619658
13931,,,,,,,-0.1115408525424608,-0.1115408525424608
