Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
626,,,-1.152165590150884,,,,,-1.152165590150884
1000,-1.07715736356968,-1.5552821755034412,,-1.2076140181232475,-0.9086101138829408,-0.8919623028755739,-1.2075844300616072,-1.1413684006694151
1626,,,-0.4631611108839393,,,,,-0.4631611108839393
1954,,,,-0.5625817056755557,,,,-0.5625817056755557
2000,-0.5053169003625387,-0.5259327097744861,,,-0.4053210080108156,-0.34837027811948,-0.5148670123088656,-0.45996158171523716
2626,,,-0.2604304136172133,,,,,-0.2604304136172133
2954,,,,-0.296845783412533,,,,-0.296845783412533
3000,-0.3806539040972676,-0.3238094882347874,,,-0.214292521305412,-0.1811624046343356,-0.2176769985721125,-0.26351906336878306
3407,,,-0.1525432190603851,,,,,-0.1525432190603851
3954,,,,-0.1557843870653705,,,,-0.1557843870653705
4000,-0.1743750173976505,-0.200624904899893,,,-0.1797517276516378,-0.1496255702717522,-0.2037859606361879,-0.18163263617142428
4071,,,-0.1378693024390015,,,,,-0.1378693024390015
4917,,,,,,,-0.1110818294410219,-0.1110818294410219
4954,,,,-0.1200055355543804,,,,-0.1200055355543804
5000,-0.1717553614761063,-0.107409530810111,,,-0.1085140478629099,-0.080155866793176,,-0.11695870173557579
5071,,,-0.1001977693841003,,,,,-0.1001977693841003
5406,,,,,,,-0.1369876229260021,-0.1369876229260021
5574,,-0.073400410813437,,,,,,-0.073400410813437
5784,,,,,,,-0.1355065583678889,-0.1355065583678889
5954,,,,-0.0882946233087574,,,,-0.0882946233087574
6000,-0.1069121919816974,,,,-0.0712677932218423,-0.1224185911648538,,-0.10019952545613116
6071,,,-0.0777609474569981,,,,,-0.0777609474569981
6288,,,,,,,-0.1032092298175396,-0.1032092298175396
6574,,-0.0600654849209783,,,,,,-0.0600654849209783
6783,,,-0.0963171009009098,,,,,-0.0963171009009098
6954,,,,-0.0600515429976141,,,,-0.0600515429976141
7000,-0.0754490977550423,,,,-0.0590901682953645,-0.118709501720682,,-0.08441625592369627
7244,,,-0.1142273193761065,,,,,-0.1142273193761065
7288,,,,,,,-0.0941016310620719,-0.0941016310620719
7574,,-0.0381986840308155,,,,,,-0.0381986840308155
7710,,,-0.062851841650435,,,,,-0.062851841650435
7736,,,,,,,-0.1463349939265635,-0.1463349939265635
7954,,,,-0.0477197402343971,,,,-0.0477197402343971
8000,-0.0559937754719044,,,,-0.0397000969378981,-0.090765958458626,,-0.06215327695614283
8188,,,,,,,-0.1505083998362101,-0.1505083998362101
8248,,,-0.0922044665964142,,,,,-0.0922044665964142
8477,,-0.0855711312608104,,,,,,-0.0855711312608104
8549,,,,,,-0.1731662370985991,,-0.1731662370985991
8617,,,,,,,-0.0853351022886873,-0.0853351022886873
8839,,,-0.0741888585875667,,,,,-0.0741888585875667
8897,,,,,,-0.137822467408041,,-0.137822467408041
8948,,,,,,,-0.1588959193154763,-0.1588959193154763
8954,,,,-0.0372757513425852,,,,-0.0372757513425852
9000,-0.1036641863927579,,,,-0.0324445821921503,,,-0.0680543842924541
9314,,,,,,-0.0958872960636422,,-0.0958872960636422
9398,,,-0.0699956639032097,,,,,-0.0699956639032097
9423,,,,,,,-0.1793621748885817,-0.1793621748885817
9477,,-0.0223908832806462,,,,,,-0.0223908832806462
9540,-0.1198132523873578,,,,,,,-0.1198132523873578
9738,-0.1810328531279554,,,,,,,-0.1810328531279554
9749,,,,,,-0.1595403077832761,,-0.1595403077832761
9815,,,,,,,-0.1366888908099308,-0.1366888908099308
9916,,,-0.1264735173317276,,,,,-0.1264735173317276
9924,,-0.0345221910942873,,,,,,-0.0345221910942873
9954,,,,-0.0305537997125298,,,,-0.0305537997125298
10000,,,,,-0.0305688082174277,,,-0.0305688082174277
10037,,,,,,-0.1658670840821768,,-0.1658670840821768
10139,,,,,,,-0.1503051059528523,-0.1503051059528523
10152,,,-0.0651021727419233,,,,,-0.0651021727419233
10222,-0.1683918411102036,,,,,,,-0.1683918411102036
10336,,,,,,-0.1835325220489296,,-0.1835325220489296
10419,-0.1808143116921053,,,,,,,-0.1808143116921053
10423,,,,,,,-0.1089208785986201,-0.1089208785986201
10536,,,,,-0.0835580128354249,,,-0.0835580128354249
10686,,,,,,-0.1367040421127934,,-0.1367040421127934
10845,,,,,,,-0.1375367801139289,-0.1375367801139289
10872,-0.1505380633692065,,,,,,,-0.1505380633692065
10924,,-0.0385897712460777,,,,,,-0.0385897712460777
10954,,,,-0.0370947958778203,,,,-0.0370947958778203
11122,,,,,,-0.131777785831083,,-0.131777785831083
11131,,,,,,,-0.165227030655461,-0.165227030655461
11132,,,,,-0.0539482224429933,,,-0.0539482224429933
11152,,,-0.0831003310358042,,,,,-0.0831003310358042
11381,,,,,,-0.1253227329110024,,-0.1253227329110024
11403,-0.1237165215292903,,,,,,,-0.1237165215292903
11462,,,,-0.0291716997273533,,,,-0.0291716997273533
11514,,,,,,,-0.1349903132308202,-0.1349903132308202
11727,-0.2588299736208472,,,,,,,-0.2588299736208472
11730,,,,,,-0.0996415315340495,,-0.0996415315340495
11767,,,-0.0995091536500811,,,,,-0.0995091536500811
11812,,,,,,,-0.1538168614518373,-0.1538168614518373
11924,,-0.0766734267494913,,,,,,-0.0766734267494913
11986,-0.1818641161169626,,,,,,,-0.1818641161169626
12017,,,,,-0.0713167937168445,,,-0.0713167937168445
12229,,,,,,-0.1098071880771474,,-0.1098071880771474
12241,,,,,,,-0.1087246114394996,-0.1087246114394996
12332,-0.1425428869698126,,,,,,,-0.1425428869698126
12462,,,,-0.0249807637113718,,,,-0.0249807637113718
12539,,,,,,-0.1383077344799611,,-0.1383077344799611
12568,,,,,,,-0.1007718859097087,-0.1007718859097087
12604,,,-0.0429084709578357,,,,,-0.0429084709578357
12683,-0.1540882949259694,,,,,,,-0.1540882949259694
12769,,,,,-0.0577505211550384,,,-0.0577505211550384
12826,,,,,,-0.091782034522059,,-0.091782034522059
12886,,,,,,,-0.1884423733923506,-0.1884423733923506
12924,,-0.0293296132608123,,,,,,-0.0293296132608123
12957,-0.1640975545882757,,,,,,,-0.1640975545882757
13150,,,,,,-0.1188143776028225,,-0.1188143776028225
13186,-0.1889705374929296,,,,,,,-0.1889705374929296
13248,,,,-0.033773080574334,,,,-0.033773080574334
13279,,,,,,,-0.0915084702777636,-0.0915084702777636
13398,,,,,-0.0627931589876599,,,-0.0627931589876599
13430,-0.1591098273780586,,,,,,,-0.1591098273780586
13541,,,,,,-0.1385229143008157,,-0.1385229143008157
13600,,,,,,,-0.1321897840472636,-0.1321897840472636
13604,,,-0.0380117267072671,,,,,-0.0380117267072671
13688,-0.1449031074885631,,,,,,,-0.1449031074885631
13870,,,,-0.038333572299791,,,,-0.038333572299791
13883,,,,,,-0.1070991180820703,,-0.1070991180820703
13909,-0.2147982437836103,,,,,,,-0.2147982437836103
13924,,-0.0158694857658434,,,,,,-0.0158694857658434
13978,,,,,-0.0808132733707452,,,-0.0808132733707452
13992,,,,,,,-0.1401846824404646,-0.1401846824404646
14125,,,,,,-0.143269452310724,,-0.143269452310724
14262,-0.1383866100574481,,,,,,,-0.1383866100574481
