Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
824,-1.0785048344700616,,,,,,,-1.0785048344700616
934,,,,,,-0.963100789756081,,-0.963100789756081
1000,,-1.173129475446621,-0.824847674336341,-0.9503946808723334,-0.8537022429825942,,-1.056167513287658,-0.9716483173851096
1824,-0.5776323885253788,,,,,,,-0.5776323885253788
1931,,,,,,-0.4605494527067349,,-0.4605494527067349
2000,,-0.4608891646517316,-0.3311791255890487,-0.4379777322277034,-0.3262077677433029,,-0.3927295739224324,-0.38979667282684377
2752,,-0.2386505268366759,,,,,,-0.2386505268366759
2785,,,,,,-0.215527452705613,,-0.215527452705613
2824,-0.3069020176042613,,,,,,,-0.3069020176042613
3000,,,-0.1834964490180334,-0.2363865973880152,-0.1712753738191994,,-0.2279697386023491,-0.2047820397068993
3695,,,,,,,-0.2104345822483448,-0.2104345822483448
3752,,-0.1499747222432227,,,,,,-0.1499747222432227
3785,,,,,,-0.162879541394976,,-0.162879541394976
3792,,,-0.1302366312575777,,,,,-0.1302366312575777
3824,-0.1947518856451968,,,,,,,-0.1947518856451968
4000,,,,-0.1561260516716106,-0.1316070209050641,,,-0.14386653628833734
4288,,,,,,,-0.1549776025502195,-0.1549776025502195
4684,,,,,,-0.0964918489323008,,-0.0964918489323008
4752,,-0.1054133647390092,,,,,,-0.1054133647390092
4792,,,-0.10571733291438,,,,,-0.10571733291438
4824,-0.1103217293579206,,,,,,,-0.1103217293579206
5000,,,,-0.0871785841803883,-0.0832164978217843,,,-0.0851975410010863
5288,,,,,,,-0.0902868694972635,-0.0902868694972635
5369,,,-0.1046990645700825,,,,,-0.1046990645700825
5379,-0.0790375135534468,,,,,,,-0.0790375135534468
5445,,,,,,-0.1796390986618172,,-0.1796390986618172
5570,,,,,-0.0865034587417644,,,-0.0865034587417644
5752,,-0.0501587883855531,,,,,,-0.0501587883855531
5915,,,-0.0960134767735229,,,,,-0.0960134767735229
5998,,,,,,-0.094091884919502,,-0.094091884919502
6000,,,,-0.063599189855165,,,,-0.063599189855165
6052,,,,,,,-0.1607523105923324,-0.1607523105923324
6186,,,,,-0.1553861244693012,,,-0.1553861244693012
6379,-0.1358644271743799,,,,,,,-0.1358644271743799
6398,,-0.0909020479096714,,,,,,-0.0909020479096714
6584,,,,,-0.0755954270281291,,,-0.0755954270281291
6676,,,-0.1491431588152604,,,,,-0.1491431588152604
6821,,-0.1178297162542341,,,,,,-0.1178297162542341
6844,,,,,,,-0.0890079508325552,-0.0890079508325552
6873,,,,,,-0.2009574196887991,,-0.2009574196887991
7000,,,,-0.0411387604810452,,,,-0.0411387604810452
7099,,,,,-0.0852634912194766,,,-0.0852634912194766
7142,,-0.0980284854517744,,,,,,-0.0980284854517744
7152,,,-0.1151791299941634,,,,,-0.1151791299941634
7307,,,,,,,-0.1656352692077068,-0.1656352692077068
7326,,,,,,-0.1206214873917837,,-0.1206214873917837
7379,-0.0817479090710564,,,,,,,-0.0817479090710564
7632,,,,,-0.1193908224470993,,,-0.1193908224470993
7798,,,-0.1241070355318814,,,,,-0.1241070355318814
7984,,-0.0707627535303217,,,,,,-0.0707627535303217
8000,,,,-0.0354422192300664,,,,-0.0354422192300664
8005,-0.1456817101042373,,,,,,,-0.1456817101042373
8080,,,,,,,-0.1532647967504332,-0.1532647967504332
8081,,,,,-0.1038815928771139,,,-0.1038815928771139
8326,,,,,,-0.1462562781792284,,-0.1462562781792284
8342,,,,,,,-0.1261076985727494,-0.1261076985727494
8364,,,-0.0780348559150817,,,,,-0.0780348559150817
8388,-0.0939748382759464,,,,,,,-0.0939748382759464
8390,,,,,-0.0588841886144529,,,-0.0588841886144529
8572,,-0.082692728197882,,,,,,-0.082692728197882
