Epoch time step,Epoch number,Episode reward
400,1,-1000.0
800,2,-1000.0
1200,3,-1000.0
1600,4,-1000.0
2000,5,-1000.0
2400,6,-1000.0
2800,7,-1000.0
3200,8,-1000.0
3600,9,-730.0
4000,10,-139.0
4400,11,-150.0
4800,12,-122.0
5200,13,-131.0
5600,14,-134.0
6000,15,-84.0
6400,16,-127.0
6800,17,-102.0
7200,18,-104.0
7600,19,-103.0
8000,20,-89.0
8400,21,-90.0
8800,22,-103.0
9200,23,-111.0
9600,24,-108.0
10000,25,-133.0
10400,26,-99.0
10800,27,-129.0
11200,28,-116.0
11600,29,-111.0
12000,30,-227.0
12400,31,-90.0
12800,32,-91.0
13200,33,-84.0
13600,34,-101.0
14000,35,-194.0
14400,36,-135.0
14800,37,-132.0
15200,38,-109.0
15600,39,-94.0
16000,40,-158.0
16400,41,-155.0
16800,42,-178.0
17200,43,-111.0
17600,44,-173.0
18000,45,-126.0
18400,46,-151.0
18800,47,-163.0
19200,48,-197.0
19600,49,-124.0
20000,50,-286.0
20400,51,-168.0
20800,52,-709.0
21200,53,-249.0
21600,54,-734.0
22000,55,-687.0
22400,56,-209.0
22800,57,-269.0
23200,58,-265.0
23600,59,-261.0
24000,60,-142.0
24400,61,-214.0
24800,62,-176.0
25200,63,-142.0
25600,64,-173.0
26000,65,-197.0
26400,66,-162.0
26800,67,-444.0
27200,68,-105.0
27600,69,-206.0
28000,70,-246.0
28400,71,-249.0
28800,72,-116.0
29200,73,-124.0
29600,74,-435.0
30000,75,-477.0
30400,76,-107.0
30800,77,-174.0
31200,78,-198.0
31600,79,-125.0
32000,80,-110.0
32400,81,-134.0
32800,82,-195.0
33200,83,-103.0
33600,84,-158.0
34000,85,-246.0
34400,86,-118.0
34800,87,-135.0
35200,88,-84.0
35600,89,-174.0
36000,90,-191.0
36400,91,-215.0
36800,92,-110.0
37200,93,-130.0
37600,94,-200.0
38000,95,-217.0
38400,96,-259.0
38800,97,-158.0
39200,98,-353.0
39600,99,-546.0
40000,100,-229.0
