Epoch time step,Epoch number,Episode reward
400,1,-1000.0
800,2,-1000.0
1200,3,-1000.0
1600,4,-887.0
2000,5,-925.0
2400,6,-1000.0
2800,7,-1000.0
3200,8,-1000.0
3600,9,-1000.0
4000,10,-1000.0
4400,11,-1000.0
4800,12,-1000.0
5200,13,-1000.0
5600,14,-1000.0
6000,15,-1000.0
6400,16,-1000.0
6800,17,-1000.0
7200,18,-1000.0
7600,19,-1000.0
8000,20,-1000.0
8400,21,-1000.0
8800,22,-1000.0
9200,23,-1000.0
9600,24,-1000.0
10000,25,-1000.0
10400,26,-1000.0
10800,27,-1000.0
11200,28,-442.0
11600,29,-1000.0
12000,30,-271.0
12400,31,-255.0
12800,32,-410.0
13200,33,-189.0
13600,34,-336.0
14000,35,-237.0
14400,36,-391.0
14800,37,-817.0
15200,38,-266.0
15600,39,-191.0
16000,40,-260.0
16400,41,-461.0
16800,42,-305.0
17200,43,-397.0
17600,44,-910.0
18000,45,-899.0
18400,46,-813.0
18800,47,-1000.0
19200,48,-1000.0
19600,49,-1000.0
20000,50,-1000.0
20400,51,-963.0
20800,52,-1000.0
21200,53,-1000.0
21600,54,-573.0
22000,55,-1000.0
22400,56,-604.0
22800,57,-897.0
23200,58,-1000.0
23600,59,-1000.0
24000,60,-1000.0
24400,61,-216.0
24800,62,-585.0
25200,63,-1000.0
25600,64,-357.0
26000,65,-1000.0
26400,66,-274.0
26800,67,-220.0
27200,68,-964.0
27600,69,-1000.0
28000,70,-279.0
28400,71,-597.0
28800,72,-576.0
29200,73,-958.0
29600,74,-233.0
30000,75,-307.0
30400,76,-120.0
30800,77,-368.0
31200,78,-191.0
31600,79,-142.0
32000,80,-371.0
32400,81,-242.0
32800,82,-187.0
33200,83,-248.0
33600,84,-382.0
34000,85,-176.0
34400,86,-156.0
34800,87,-314.0
35200,88,-414.0
35600,89,-168.0
36000,90,-199.0
36400,91,-844.0
36800,92,-142.0
37200,93,-353.0
37600,94,-337.0
38000,95,-154.0
38400,96,-233.0
38800,97,-198.0
39200,98,-212.0
39600,99,-147.0
40000,100,-526.0
