Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss
925,1,-924.0,-1.554379766869384,1.9941892889359418,-1.2829485634339934,26.69269755801639
1925,2,-1000.0,-6.773105241775513,4.107392954390493,-0.6064268615016787,28.194513072013855
2925,3,-1000.0,-14.82393747663498,5.075810688870109,-0.34240637461338735,47.12822407722473
3925,4,-1000.0,-23.87966747570038,6.790640543500407,-0.28436914167295124,66.6626650543213
4707,5,-781.0,-36.081647503406494,11.586802076751505,-0.3211273009542479,85.47693273051621
5707,6,-1000.0,-44.129801731109616,8.820505499511583,-0.19987639086294615,96.04621371650695
6155,7,-447.0,-49.944773035390035,6.0232361738180655,-0.12059792862708778,90.93971358878272
6933,8,-777.0,-56.03383878693176,10.232239544324667,-0.1826082197086778,93.7897932351708
7405,9,-471.0,-62.36606610831568,4.883396014167929,-0.07830213317746514,97.267313312676
8405,10,-1000.0,-72.12081260299682,9.1201080777431,-0.12645598057729224,86.7835069770813
9031,11,-625.0,-68.21737968274199,14.986606298100694,-0.21968897614946192,84.9950727357651
9462,12,-430.0,-72.95269324884613,11.729472185235844,-0.16078189389425132,101.57938807857009
9965,13,-502.0,-79.35241962379774,7.435885964013484,-0.09370711062455701,111.94903601424595
10594,14,-628.0,-77.26235445807961,5.5080557349189725,-0.07129029102921643,96.02123675778485
11012,15,-417.0,-80.59269582940061,4.919206516427853,-0.06103787031570301,91.63490888148404
11456,16,-443.0,-79.71392344569301,4.107475232663396,-0.05152770124859944,78.75275902490358
11935,17,-478.0,-75.98526538538286,13.34454712670567,-0.1756201950341906,88.13820360100095
12513,18,-577.0,-82.3615449291612,2.472350855195673,-0.030018267109026806,91.05381522129152
13072,19,-558.0,-82.03569100368001,3.9470588618817875,-0.048113922289076926,93.53820566201253
13524,20,-451.0,-81.97370324092628,5.3494414445693,-0.06525801852390306,88.84042201316463
14108,21,-583.0,-81.14057998787867,5.624286972231977,-0.06931534101767786,104.361223349016
15039,22,-930.0,-81.94977428219116,4.8239106566637755,-0.05886423359816476,85.70713082957857
15393,23,-353.0,-81.90119042908404,6.27728937540048,-0.0766446658774247,83.24235463950593
15823,24,-429.0,-82.69499845282976,4.4548406616720175,-0.05387073879943432,88.2997311259425
16146,25,-322.0,-82.83858896261398,2.876442908307318,-0.03472346577034877,92.45252137139855
16415,26,-268.0,-83.1471222377621,2.79877477197829,-0.03366051279532075,102.41517235621201
16637,27,-221.0,-82.6867283314198,2.4178259568470843,-0.029240798440544228,85.41755657797461
16977,28,-339.0,-82.63809848112219,2.3379207080204054,-0.02829107579906959,97.7965096859371
17529,29,-551.0,-81.91561548951744,3.688566125696484,-0.04502885199182202,90.31732474936955
17762,30,-232.0,-82.71115158146543,2.3608773645299435,-0.028543640360328238,94.94944484346415
17916,31,-153.0,-82.98767535717457,1.7618012748702692,-0.021229673771286754,74.42851898112855
18294,32,-377.0,-83.36487520813311,2.722720421882363,-0.032660283063876444,98.49925642007243
18555,33,-260.0,-83.32513582660778,1.7543454391057718,-0.02105421637423321,96.03817366548881
18848,34,-292.0,-83.11836927498567,2.5489493414986852,-0.030666498437497466,101.89217140487436
19315,35,-466.0,-86.96031504269585,6.268045498473198,-0.07207937891434395,93.21647895148276
19570,36,-254.0,-83.53417370366115,2.5370059030432164,-0.03037087446442322,81.45269250682756
19779,37,-208.0,-83.81200222763718,3.1420986886923683,-0.03748984161192435,94.30634195097325
20032,38,-252.0,-84.76842344985178,1.6271202202369495,-0.01919488594947786,98.48420547025476
21032,39,-1000.0,-92.6138872909546,5.604503876942058,-0.06051472452867701,106.33949654567242
21420,40,-387.0,-85.10675591537633,1.1776642726207656,-0.013837494567314318,97.47307951087804
21792,41,-371.0,-84.71011961660078,1.3533865667320535,-0.015976681096160655,93.06869633832285
22213,42,-420.0,-84.65550173942947,2.5544492847985762,-0.030174639950291692,101.92198757037981
22415,43,-201.0,-85.23718930235003,1.2800588380234363,-0.015017609666631094,97.70169162809259
22700,44,-284.0,-84.75173794930441,2.317516997293494,-0.027344772548260347,107.34750933438016
22909,45,-208.0,-85.40130505721535,1.5267216734202542,-0.017877029776036956,103.7989229100743
23113,46,-203.0,-85.54907432256961,1.880179442770303,-0.021977788277181543,110.01700798349053
23360,47,-246.0,-85.16325977649765,1.696809299117534,-0.019924193878564984,120.7105770564755
23600,48,-239.0,-84.74948333104452,1.883202124626941,-0.02222080950359147,122.40951335728168
23793,49,-192.0,-84.9204450221877,1.184176668075641,-0.013944541479572364,115.1587403802674
24004,50,-210.0,-84.10827032875676,2.2349819593722393,-0.026572677700258153,121.15142746954733
24169,51,-164.0,-84.192028762355,1.653421697292686,-0.019638696460917034,135.53782230579492
24384,52,-214.0,-83.2610735871071,2.6332838089279575,-0.03162682986753751,136.6748180001281
24579,53,-194.0,-83.64340233435998,1.7299712309903577,-0.02068269800975923,111.75906946842487
24837,54,-257.0,-84.1725767268691,1.5543529962827751,-0.01846626367785416,122.66627313185109
25051,55,-213.0,-83.36354585451501,2.390885999536437,-0.028680233968322085,126.7505097662177
25274,56,-222.0,-83.43856688358323,1.7904521444485109,-0.021458328100800436,123.41608635673609
25437,57,-162.0,-82.77356925917549,1.5511866089187467,-0.01874011985712211,160.0606785551902
25618,58,-180.0,-82.75923970259356,1.6171208184835562,-0.019540063735419718,121.69163593139437
25784,59,-165.0,-82.4288478989199,1.309719004239785,-0.015889085406675288,150.22045728959233
26027,60,-242.0,-81.65605207529578,1.5722546265046988,-0.019254600076120613,130.0300121510961
26319,61,-291.0,-82.04101092194858,0.9917185825695243,-0.012088083403957764,126.91251732306938
26589,62,-269.0,-80.71901677449544,2.3587196867980103,-0.029221362958217898,137.24839787792277
26973,63,-383.0,-80.07890031735103,1.6963280955994147,-0.021183209170916453,130.6171664701154
27854,64,-880.0,-79.8652975491579,1.2403253742855598,-0.015530216656641477,124.29751616384873
28105,65,-250.0,-79.65584710109756,1.6224979072854093,-0.020368848820679394,122.87257462051285
28508,66,-402.0,-79.71379910982571,1.582325472678273,-0.0198500822987777,118.5120140176553
28823,67,-314.0,-80.57433159237816,1.2176229684874058,-0.015111797323337468,135.23972439652397
29101,68,-277.0,-78.67959622170427,2.1901945920958577,-0.02783688144413327,121.66807584753997
29328,69,-226.0,-79.4871746516963,1.320271417166041,-0.0166098672263962,118.06568022341455
29598,70,-269.0,-79.22283782958985,1.4427952528025931,-0.018211860270722427,113.36474787769494
29971,71,-372.0,-79.05157505475164,1.954100313158231,-0.02471930903090556,117.98867233205416
30131,72,-159.0,-80.62003946304321,0.8697263311872946,-0.010787967073446834,118.69195166155696
30303,73,-171.0,-80.51374626159668,1.0615317494079628,-0.01318447841141247,128.6621388519226
30662,74,-358.0,-79.82926671020168,1.3362265942247415,-0.016738555285438696,121.0420223275267
30824,75,-161.0,-80.29119053593388,1.5896052375419754,-0.019798003080182952,115.90652500589688
