Epoch time step,Epoch number,Episode reward,N steps
400,1,-1000.0,2
800,2,-1000.0,2
1200,3,-1000.0,2
1600,4,-1000.0,2
2000,5,-1000.0,2
2400,6,-1000.0,2
2800,7,-1000.0,2
3200,8,-1000.0,2
3600,9,-1000.0,2
4000,10,-1000.0,2
4400,11,-564.0,2
4800,12,-608.0,2
5200,13,-422.0,2
5600,14,-593.0,2
6000,15,-538.0,2
6400,16,-421.0,2
6800,17,-366.0,2
7200,18,-295.0,2
7600,19,-187.0,2
8000,20,-694.0,2
8400,21,-421.0,2
8800,22,-646.0,2
9200,23,-167.0,2
9600,24,-221.0,2
10000,25,-793.0,2
10400,26,-197.0,2
10800,27,-832.0,2
11200,28,-207.0,2
11600,29,-1000.0,2
12000,30,-594.0,2
12400,31,-318.0,3
12800,32,-1000.0,3
13200,33,-631.0,3
13600,34,-748.0,3
14000,35,-1000.0,3
14400,36,-1000.0,3
14800,37,-1000.0,3
15200,38,-293.0,3
15600,39,-720.0,3
16000,40,-574.0,4
16400,41,-299.0,4
16800,42,-720.0,4
17200,43,-190.0,5
17600,44,-556.0,5
18000,45,-355.0,5
18400,46,-808.0,6
18800,47,-919.0,6
19200,48,-1000.0,6
19600,49,-1000.0,6
20000,50,-310.0,6
20400,51,-190.0,6
20800,52,-397.0,7
21200,53,-385.0,7
21600,54,-342.0,7
22000,55,-1000.0,8
22400,56,-327.0,8
22800,57,-684.0,8
23200,58,-1000.0,9
23600,59,-150.0,9
24000,60,-286.0,9
24400,61,-261.0,9
24800,62,-165.0,9
25200,63,-253.0,9
25600,64,-433.0,9
26000,65,-138.0,9
26400,66,-203.0,9
26800,67,-458.0,9
27200,68,-390.0,9
27600,69,-159.0,9
28000,70,-551.0,10
28400,71,-132.0,10
28800,72,-213.0,10
29200,73,-394.0,9
29600,74,-929.0,9
30000,75,-216.0,9
30400,76,-107.0,10
30800,77,-123.0,10
31200,78,-99.0,10
31600,79,-116.0,11
32000,80,-197.0,11
32400,81,-150.0,11
32800,82,-153.0,12
33200,83,-91.0,12
33600,84,-204.0,12
34000,85,-300.0,12
34400,86,-143.0,12
34800,87,-272.0,12
35200,88,-150.0,13
35600,89,-183.0,13
36000,90,-141.0,13
36400,91,-248.0,12
36800,92,-112.0,12
37200,93,-391.0,12
37600,94,-115.0,11
38000,95,-167.0,11
38400,96,-460.0,11
38800,97,-126.0,11
39200,98,-149.0,11
39600,99,-103.0,11
40000,100,-145.0,11
