Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss,N steps
1000,1,-1000.0,-1.0949195938240737,1.288455752223627,-1.1767583295533297,2.677233014583588,2
2000,2,-1000.0,-5.869203991651535,3.091361737075328,-0.5267088588968007,6.210274831295013,2
2995,3,-994.0,-10.067904720593937,2.865139909018937,-0.2845815478525818,8.23495054676305,2
3995,4,-1000.0,-16.68840093231201,2.5161168074754254,-0.15077039541899612,6.914108657598495,2
4995,5,-1000.0,-24.67503005027771,3.0462360736285117,-0.12345419914065019,6.284069392085075,2
5507,6,-511.0,-31.116698693484068,2.77928932249782,-0.08931825801558478,6.534351766575128,2
6034,7,-526.0,-35.23715514340482,3.5206102026895216,-0.09991187393992726,7.081010423077577,2
7034,8,-1000.0,-41.08480748558044,3.3879839573806048,-0.08246318200638247,8.893271114945412,2
7618,9,-583.0,-44.91481444933643,5.491044936939667,-0.12225465037005827,10.77620687019335,2
8138,10,-519.0,-46.466998687157265,8.131814744872553,-0.17500193631227698,11.34540472122339,2
8615,11,-476.0,-53.40996296400794,3.525533699540991,-0.06600891488947086,12.405849697205007,2
9273,12,-657.0,-56.36737105766691,4.470391934713934,-0.07930815027971551,13.044071005108146,2
9874,13,-600.0,-57.4588257635691,6.4002278072378,-0.11138807175721589,12.473985166200585,2
10360,14,-485.0,-59.15327618445879,6.182264364690238,-0.1045126282678235,15.069550350860313,2
10813,15,-452.0,-61.45662674893343,5.8076328854504204,-0.0944997015403422,16.34875321967186,2
11170,16,-356.0,-60.267375556026856,9.960521357538328,-0.16527219354820996,15.255610873385304,2
11672,17,-501.0,-64.27163851308633,6.141355587648077,-0.09555312000327543,19.11351843350437,2
12169,18,-496.0,-64.58546093148244,4.90527650018951,-0.07595016632912831,18.517597031305492,2
12425,19,-255.0,-65.62290240824223,4.705685792445154,-0.07170798028973069,17.645279083866626,2
12686,20,-260.0,-62.299229808237364,8.256606909564356,-0.13253144436903852,19.033305551357195,2
13056,21,-369.0,-63.87502505843704,7.860466211576486,-0.12306008810775759,21.898731498138325,2
13307,22,-250.0,-66.15599982577017,6.794464393631699,-0.10270367633360154,21.45619835654103,2
13779,23,-471.0,-63.575670856540484,6.209452378743359,-0.09767026120345765,22.148539313067825,2
14143,24,-363.0,-64.98640255351643,6.4427752031937775,-0.09914035782928805,23.55409718804307,2
14449,25,-305.0,-68.76582828845854,4.761668188027008,-0.0692446860096382,21.932759789859546,2
14637,26,-187.0,-66.19558715820312,5.53468803849125,-0.08361113294854093,23.765874348422315,2
14952,27,-314.0,-65.79699040972997,4.711237641559971,-0.07160263124836298,19.064813989684694,2
15196,28,-243.0,-68.45946518319552,6.191491385233824,-0.09044025349402854,22.913852850921817,2
15447,29,-250.0,-67.84323269057559,6.261961906962527,-0.09230046474233537,20.223055539378134,2
15714,30,-266.0,-69.19442766168144,4.4462578076415245,-0.06425745479651937,29.117250967561528,2
15926,31,-211.0,-69.83956450336385,5.796615889167662,-0.082999026846573,24.859468523623807,2
16202,32,-275.0,-69.19923371854036,5.361574442425392,-0.07748025742933741,28.08646956431693,2
16434,33,-231.0,-69.24830645528333,4.346031751534663,-0.06276011608083278,24.882906170240766,2
16743,34,-308.0,-70.86813702629608,4.809334323961331,-0.06786314027384122,34.85926934430514,2
17131,35,-387.0,-72.45212947216231,3.9261691425046115,-0.054189837774376685,45.87714509988569,3
17449,36,-317.0,-71.97181398163802,3.893934982357642,-0.05410361038490834,46.92712611409853,3
17746,37,-296.0,-74.32561927050452,3.2940698456362036,-0.04431944029484093,41.66020610637536,3
17946,38,-199.0,-74.07640897750855,3.244612830194073,-0.0438008925510849,51.40804052114487,3
18176,39,-229.0,-69.5224293584409,5.732113151751064,-0.08244983963661093,70.13369834008424,4
18793,40,-616.0,-74.78852998186356,4.298266331814416,-0.05747226657425621,70.4569025775795,4
19101,41,-307.0,-72.10240297193651,6.492095178381238,-0.09003992808544914,65.64184900615122,4
19318,42,-216.0,-73.01389845395418,3.947466835838355,-0.05406459481584596,69.89197705198544,4
19590,43,-271.0,-73.4840803567101,5.066369201590248,-0.0689451263048653,64.23077607067192,4
19803,44,-212.0,-76.1522778076745,3.7527828893997848,-0.049279982128408326,60.087356025064494,4
19999,45,-195.0,-75.50338048351054,3.653770534933027,-0.048392144981256664,92.53099712881507,4
20218,46,-218.0,-75.87276338551142,3.848053013316567,-0.05071718547754104,77.38861079575264,4
20568,47,-349.0,-75.16754985264369,3.4439055318358034,-0.04581638670659263,70.47734878284591,5
20733,48,-164.0,-73.19228222008907,6.95148739350132,-0.09497568845576107,103.31637317411827,5
20997,49,-263.0,-74.9678955078125,4.927791250430577,-0.06573202058095716,103.03147759491748,5
21237,50,-239.0,-77.91534706751506,2.709900033911165,-0.03478005471198104,90.79356724917889,5
21413,51,-175.0,-76.15052942796187,3.2266564019427872,-0.04237208101087718,103.74314821308309,5
21662,52,-248.0,-72.60522442553417,5.47971313064291,-0.07547271114440322,113.57969229431995,6
21877,53,-214.0,-75.72971564004588,3.132944811897228,-0.04137008551291227,108.31167122486026,6
22140,54,-262.0,-72.64489350119472,5.100412292635614,-0.07021019712213815,108.90407316539677,6
22380,55,-239.0,-73.13929408391317,4.210993246568275,-0.05757497798292907,103.79571424424648,6
22610,56,-229.0,-75.6892871690833,2.6726903426858306,-0.03531134249838121,121.84459809894147,6
22807,57,-196.0,-74.59519575089972,2.6036602418730697,-0.034903859634173105,126.09999299654501,6
23179,58,-371.0,-72.02513609650315,4.387254174723937,-0.0609128203360235,114.99138280749321,6
23398,59,-218.0,-74.38867779736105,2.772805469739287,-0.03727456317065569,120.52868017431808,6
23535,60,-136.0,-73.64958658705663,2.393978118735536,-0.03250497700901229,115.66840559461691,6
23697,61,-161.0,-71.95513859501591,3.1070671443312214,-0.043180615102677844,115.63269710246428,6
23849,62,-151.0,-71.88805281488519,2.6123445792182243,-0.03633906437756943,104.04451893034734,6
24091,63,-241.0,-69.83753078240008,4.496230459707903,-0.06438129196917437,121.04562464824393,7
24299,64,-207.0,-70.24323692688576,4.085786964578873,-0.05816626828902626,130.66913630526798,7
24483,65,-183.0,-69.72331482431163,3.2886936700727767,-0.04716777563372605,137.0075250138407,7
24660,66,-176.0,-71.60518984606037,2.0511737864469137,-0.028645602237164752,112.22829862637708,7
24872,67,-211.0,-70.45669341537187,2.608527254032477,-0.03702312906815127,129.09535348527837,7
25106,68,-233.0,-69.97945467631023,3.6295000074314068,-0.051865222788883523,149.79497529095056,7
25452,69,-345.0,-70.13601512578181,2.17338941597573,-0.03098820787120536,149.2057652060007,8
25660,70,-207.0,-69.13605068280147,2.9608810764503226,-0.04282687609731925,152.38090824622375,8
25945,71,-284.0,-68.62122775964569,2.4516660674034654,-0.03572751679685371,168.52564673591078,8
