Epoch time step,Epoch number,Episode reward,N steps
400,1,-1000.0,4
800,2,-1000.0,4
1200,3,-1000.0,4
1600,4,-1000.0,4
2000,5,-1000.0,4
2400,6,-138.0,4
2800,7,-233.0,4
3200,8,-189.0,4
3600,9,-129.0,4
4000,10,-135.0,4
4400,11,-129.0,4
4800,12,-119.0,4
5200,13,-211.0,4
5600,14,-198.0,4
6000,15,-185.0,4
6400,16,-192.0,4
6800,17,-1000.0,4
7200,18,-186.0,4
7600,19,-176.0,4
8000,20,-248.0,4
8400,21,-162.0,4
8800,22,-118.0,4
9200,23,-317.0,4
9600,24,-153.0,4
10000,25,-186.0,4
10400,26,-167.0,4
10800,27,-178.0,4
11200,28,-418.0,4
11600,29,-195.0,4
12000,30,-359.0,4
12400,31,-211.0,4
12800,32,-916.0,4
13200,33,-338.0,4
13600,34,-250.0,4
14000,35,-319.0,4
14400,36,-330.0,4
14800,37,-674.0,4
15200,38,-1000.0,4
15600,39,-917.0,4
16000,40,-1000.0,4
16400,41,-1000.0,4
16800,42,-1000.0,4
17200,43,-565.0,4
17600,44,-957.0,4
18000,45,-177.0,4
18400,46,-570.0,4
18800,47,-280.0,4
19200,48,-207.0,4
19600,49,-332.0,4
20000,50,-298.0,4
20400,51,-178.0,4
20800,52,-177.0,4
21200,53,-306.0,4
21600,54,-143.0,4
22000,55,-181.0,4
22400,56,-176.0,4
22800,57,-169.0,4
23200,58,-142.0,4
23600,59,-628.0,4
24000,60,-169.0,4
24400,61,-349.0,4
24800,62,-295.0,4
25200,63,-159.0,4
25600,64,-187.0,4
26000,65,-161.0,4
26400,66,-315.0,4
26800,67,-479.0,4
27200,68,-190.0,4
27600,69,-349.0,4
28000,70,-247.0,4
28400,71,-177.0,4
28800,72,-364.0,4
29200,73,-452.0,4
29600,74,-471.0,4
30000,75,-422.0,4
30400,76,-1000.0,4
30800,77,-401.0,5
31200,78,-1000.0,5
31600,79,-1000.0,5
32000,80,-387.0,5
32400,81,-376.0,5
32800,82,-225.0,5
33200,83,-363.0,5
33600,84,-202.0,5
34000,85,-261.0,5
34400,86,-462.0,5
34800,87,-164.0,5
35200,88,-166.0,5
35600,89,-373.0,5
36000,90,-306.0,5
36400,91,-622.0,5
36800,92,-180.0,5
37200,93,-409.0,5
37600,94,-262.0,5
38000,95,-394.0,5
38400,96,-149.0,5
38800,97,-853.0,5
39200,98,-299.0,5
39600,99,-401.0,5
40000,100,-535.0,5
