Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss,N steps
1000,1,-1000.0,-2.2107655769363044,1.7853325175443584,-0.8075630162554303,6.5908372368812564,3
2000,2,-1000.0,-7.3222147064208984,2.5402899558847114,-0.34692918163914455,11.207480777740479,3
3000,3,-1000.0,-15.822160991668701,3.1212720278756785,-0.19727216968144945,13.074421005487443,3
4000,4,-1000.0,-26.550197505950926,3.4459375495721623,-0.1297895260025766,13.741730712890625,3
5000,5,-1000.0,-38.767081008911134,2.6997260418572933,-0.06963965229253977,13.845438953638077,3
5970,6,-969.0,-45.08730834882284,4.402698919080979,-0.09764829794271646,15.266221919993765,3
6512,7,-541.0,-51.46382615487074,6.032825975335435,-0.11722459105898532,17.92637936919378,3
7049,8,-536.0,-56.5322473195678,5.45902490533304,-0.09656479556657355,22.157599276892523,3
7458,9,-408.0,-62.05765761023337,5.646362043035629,-0.09098574229950533,25.36153874245716,3
8200,10,-741.0,-63.01804585726756,9.070030647892038,-0.14392751353215813,26.157993227645072,3
8639,11,-438.0,-65.64739912028736,7.988265452715618,-0.12168441643938582,30.958376518414614,3
9235,12,-595.0,-64.86587654024163,9.007815283931903,-0.1388683197450298,32.53984179752785,3
9660,13,-424.0,-63.87737713982077,10.834623692875164,-0.16961597639113027,31.848133316040037,3
10234,14,-573.0,-70.79866918371114,6.0339117221862955,-0.08522634382475844,32.52017410208539,3
10743,15,-508.0,-72.33622081434329,7.552882968343026,-0.10441356879464446,37.59881422608681,3
11137,16,-393.0,-71.43366193045215,6.059618137223417,-0.08482860843845672,38.784297421498955,3
11675,17,-537.0,-66.54538860817381,8.14375857577344,-0.12237900696207125,36.06591635787354,3
12097,18,-421.0,-73.86234584464846,5.724145133780085,-0.0774974727423285,32.87043699043057,3
12462,19,-364.0,-71.85091031218228,7.180677457042088,-0.09993857316272037,40.680237785757406,3
12896,20,-433.0,-69.69939087722707,9.271128021759433,-0.1330159116898193,41.89906966960925,3
13351,21,-454.0,-73.5225969335535,5.498563624534047,-0.07478739671700399,41.61258374413291,3
13712,22,-360.0,-69.77484509158992,7.246618056553059,-0.10385717155001617,43.579615005165586,3
14079,23,-366.0,-72.15574968218479,4.52597068415827,-0.0627250178134554,38.1136862426103,3
14473,24,-393.0,-74.86549309667598,4.5066792813396175,-0.06019701594057508,43.73789654346892,4
14733,25,-259.0,-78.83913716536301,2.433638414921395,-0.030868404987955445,50.18492084833292,4
15102,26,-368.0,-75.97334750622592,3.1978198907913757,-0.04209133855171142,58.97302961349487,4
15474,27,-371.0,-77.58017008791688,3.1901508192377306,-0.04112069895725321,57.7360184288794,4
