Epoch time step,Epoch number,Episode reward,N steps
400,1,-872.0,4
800,2,-238.0,4
1200,3,-142.0,4
1600,4,-336.0,4
2000,5,-146.0,4
2400,6,-290.0,4
2800,7,-294.0,4
3200,8,-174.0,4
3600,9,-110.0,4
4000,10,-1000.0,4
4400,11,-183.0,4
4800,12,-165.0,4
5200,13,-225.0,4
5600,14,-465.0,4
6000,15,-678.0,4
6400,16,-244.0,4
6800,17,-396.0,4
7200,18,-804.0,4
7600,19,-488.0,4
8000,20,-289.0,4
8400,21,-277.0,4
8800,22,-308.0,4
9200,23,-1000.0,4
9600,24,-942.0,4
10000,25,-157.0,4
10400,26,-242.0,4
10800,27,-186.0,4
11200,28,-132.0,4
11600,29,-133.0,4
12000,30,-398.0,4
12400,31,-671.0,4
12800,32,-139.0,4
13200,33,-177.0,4
13600,34,-171.0,4
14000,35,-228.0,4
14400,36,-166.0,4
14800,37,-148.0,4
15200,38,-160.0,5
15600,39,-129.0,5
16000,40,-382.0,5
16400,41,-122.0,6
16800,42,-346.0,6
17200,43,-180.0,6
17600,44,-184.0,6
18000,45,-177.0,6
18400,46,-127.0,6
18800,47,-193.0,6
19200,48,-240.0,5
19600,49,-149.0,5
20000,50,-195.0,5
20400,51,-296.0,4
20800,52,-1000.0,4
21200,53,-347.0,4
21600,54,-124.0,4
22000,55,-197.0,4
22400,56,-344.0,4
22800,57,-157.0,4
23200,58,-1000.0,4
23600,59,-155.0,4
24000,60,-593.0,4
24400,61,-181.0,5
24800,62,-270.0,5
25200,63,-217.0,6
25600,64,-188.0,6
26000,65,-387.0,6
26400,66,-210.0,6
26800,67,-570.0,6
27200,68,-207.0,5
27600,69,-150.0,5
28000,70,-105.0,5
28400,71,-228.0,5
28800,72,-186.0,5
29200,73,-205.0,5
29600,74,-215.0,5
30000,75,-165.0,5
30400,76,-220.0,6
30800,77,-267.0,6
31200,78,-183.0,6
31600,79,-201.0,6
32000,80,-114.0,6
32400,81,-443.0,7
32800,82,-550.0,7
33200,83,-268.0,8
33600,84,-975.0,8
34000,85,-142.0,8
34400,86,-156.0,9
34800,87,-249.0,9
35200,88,-174.0,9
35600,89,-135.0,9
36000,90,-195.0,9
36400,91,-161.0,10
36800,92,-161.0,10
37200,93,-166.0,11
37600,94,-152.0,11
38000,95,-175.0,11
38400,96,-178.0,11
38800,97,-223.0,11
39200,98,-133.0,10
39600,99,-163.0,10
40000,100,-340.0,10
