Epoch time step,Epoch number,Episode reward
400,1,-1000.0
800,2,-1000.0
1200,3,-1000.0
1600,4,-1000.0
2000,5,-1000.0
2400,6,-1000.0
2800,7,-1000.0
3200,8,-1000.0
3600,9,-1000.0
4000,10,-1000.0
4400,11,-1000.0
4800,12,-1000.0
5200,13,-1000.0
5600,14,-1000.0
6000,15,-1000.0
6400,16,-1000.0
6800,17,-1000.0
7200,18,-1000.0
7600,19,-1000.0
8000,20,-251.0
8400,21,-251.0
8800,22,-237.0
9200,23,-989.0
9600,24,-118.0
10000,25,-97.0
10400,26,-110.0
10800,27,-327.0
11200,28,-134.0
11600,29,-118.0
12000,30,-124.0
12400,31,-88.0
12800,32,-147.0
13200,33,-217.0
13600,34,-97.0
14000,35,-181.0
14400,36,-256.0
14800,37,-159.0
15200,38,-94.0
15600,39,-90.0
16000,40,-116.0
16400,41,-169.0
16800,42,-112.0
17200,43,-120.0
17600,44,-192.0
18000,45,-149.0
18400,46,-1000.0
18800,47,-216.0
19200,48,-825.0
19600,49,-130.0
20000,50,-957.0
20400,51,-1000.0
20800,52,-1000.0
21200,53,-100.0
21600,54,-690.0
22000,55,-1000.0
22400,56,-1000.0
22800,57,-1000.0
23200,58,-328.0
23600,59,-829.0
24000,60,-584.0
24400,61,-1000.0
24800,62,-996.0
25200,63,-1000.0
25600,64,-281.0
26000,65,-1000.0
26400,66,-1000.0
26800,67,-420.0
27200,68,-366.0
27600,69,-291.0
28000,70,-1000.0
28400,71,-800.0
28800,72,-171.0
29200,73,-187.0
29600,74,-1000.0
30000,75,-145.0
30400,76,-955.0
30800,77,-222.0
31200,78,-498.0
31600,79,-147.0
32000,80,-796.0
32400,81,-176.0
32800,82,-120.0
33200,83,-180.0
33600,84,-121.0
34000,85,-112.0
34400,86,-229.0
34800,87,-118.0
35200,88,-165.0
35600,89,-216.0
36000,90,-104.0
36400,91,-320.0
36800,92,-741.0
37200,93,-178.0
37600,94,-89.0
38000,95,-234.0
38400,96,-1000.0
38800,97,-294.0
39200,98,-88.0
39600,99,-507.0
40000,100,-270.0
