Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,4,4,4,4,4,4,4,4.0
2,4,4,4,4,4,4,4,4.0
3,4,4,4,4,4,4,4,4.0
4,4,4,4,4,4,4,4,4.0
5,4,4,4,4,4,4,4,4.0
6,4,4,4,4,4,4,4,4.0
7,4,4,4,4,4,4,4,4.0
8,4,4,4,4,4,4,4,4.0
9,4,4,4,4,4,4,4,4.0
10,4,4,4,4,4,4,4,4.0
11,4,4,4,4,4,4,4,4.0
12,4,4,4,4,4,4,4,4.0
13,4,4,4,4,4,4,4,4.0
14,4,4,4,4,4,4,4,4.0
15,4,4,4,4,4,4,4,4.0
16,4,4,4,4,4,4,4,4.0
17,4,4,4,4,4,4,4,4.0
18,4,4,4,4,4,4,4,4.0
19,4,4,4,4,4,4,4,4.0
20,4,4,4,4,4,4,4,4.0
21,4,4,4,4,4,4,4,4.0
22,4,4,4,4,4,4,4,4.0
23,4,4,4,4,4,4,4,4.0
24,4,4,4,4,4,4,4,4.0
25,4,4,4,4,4,4,4,4.0
26,4,4,4,4,4,4,4,4.0
27,4,4,4,4,4,4,4,4.0
28,4,4,4,4,4,4,4,4.0
29,4,4,4,4,4,4,4,4.0
30,4,4,4,4,4,4,4,4.0
31,4,4,4,4,4,4,4,4.0
32,4,4,4,4,4,4,4,4.0
33,4,4,4,4,4,4,4,4.0
34,4,4,4,4,4,4,4,4.0
35,4,4,4,4,4,4,4,4.0
36,4,4,4,4,4,4,4,4.0
37,4,4,4,4,4,4,4,4.0
38,4,4,4,4,4,4,4,4.0
39,4,4,4,4,4,4,4,4.0
40,4,4,4,4,4,4,4,4.0
41,4,4,4,4,4,4,4,4.0
42,4,4,4,4,4,4,4,4.0
43,4,4,4,4,4,4,4,4.0
44,4,4,4,4,4,4,4,4.0
45,4,4,4,4,4,4,4,4.0
46,4,4,4,4,4,4,4,4.0
47,4,4,4,4,4,4,4,4.0
48,4,4,4,4,4,4,4,4.0
49,4,4,4,4,4,4,4,4.0
50,4,4,4,4,4,4,4,4.0
51,4,4,4,4,4,4,4,4.0
52,4,4,4,4,4,4,4,4.0
53,4,4,4,4,4,4,4,4.0
54,4,4,4,4,4,4,4,4.0
55,4,4,4,4,4,4,4,4.0
56,4,4,4,4,4,4,4,4.0
57,4,4,4,4,4,4,4,4.0
58,4,4,3,4,4,4,4,3.857142857142857
59,4,4,3,4,4,4,4,3.857142857142857
60,4,4,3,4,4,4,4,3.857142857142857
61,4,5,3,4,4,4,4,4.0
62,4,5,3,4,4,4,4,4.0
63,4,5,3,4,4,4,4,4.0
64,4,5,3,4,4,4,4,4.0
65,4,5,3,4,4,4,4,4.0
66,4,5,3,4,4,4,4,4.0
67,4,5,3,4,4,5,4,4.142857142857143
68,4,5,3,4,4,5,4,4.142857142857143
69,4,5,3,4,4,5,4,4.142857142857143
70,4,5,3,4,4,5,4,4.142857142857143
71,4,5,3,4,4,5,4,4.142857142857143
72,4,5,3,4,4,5,4,4.142857142857143
73,4,5,3,4,4,5,4,4.142857142857143
74,4,5,3,4,4,5,4,4.142857142857143
75,4,5,3,4,4,5,4,4.142857142857143
76,4,5,3,4,4,5,4,4.142857142857143
77,4,5,3,4,4,5,4,4.142857142857143
78,4,5,3,4,4,5,4,4.142857142857143
79,4,5,3,4,5,5,4,4.285714285714286
80,4,5,3,4,5,5,4,4.285714285714286
81,4,5,3,4,5,5,3,4.142857142857143
82,4,5,3,4,5,5,3,4.142857142857143
83,4,5,3,4,5,5,3,4.142857142857143
84,4,5,3,4,5,5,3,4.142857142857143
85,4,5,3,4,5,5,3,4.142857142857143
86,4,5,3,4,5,5,3,4.142857142857143
87,4,5,3,4,5,5,3,4.142857142857143
88,4,5,3,4,5,5,3,4.142857142857143
89,5,5,3,4,5,5,3,4.285714285714286
90,5,5,3,4,5,5,3,4.285714285714286
91,5,5,3,4,5,5,3,4.285714285714286
92,5,5,3,4,5,5,3,4.285714285714286
93,5,5,3,4,5,5,3,4.285714285714286
94,5,5,3,4,5,5,3,4.285714285714286
95,5,5,3,4,5,5,3,4.285714285714286
96,5,5,3,4,5,5,3,4.285714285714286
97,5,5,3,4,5,5,3,4.285714285714286
98,5,5,3,4,5,5,3,4.285714285714286
99,5,5,3,4,5,5,3,4.285714285714286
100,5,5,3,4,5,5,3,4.285714285714286
