Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,4,4,4,4,4,4,4,4.0
2,4,4,4,4,4,4,4,4.0
3,4,4,4,4,4,4,4,4.0
4,4,4,4,4,4,4,4,4.0
5,4,4,4,4,4,4,4,4.0
6,4,4,4,4,4,4,4,4.0
7,4,4,4,4,4,4,4,4.0
8,4,4,4,4,4,4,4,4.0
9,4,4,4,4,4,4,4,4.0
10,4,4,4,4,4,4,4,4.0
11,4,4,4,4,4,4,4,4.0
12,4,4,4,4,4,4,4,4.0
13,4,4,4,4,4,4,4,4.0
14,4,4,4,4,4,4,4,4.0
15,4,4,4,4,4,4,4,4.0
16,4,4,4,4,4,4,4,4.0
17,4,4,4,4,4,4,4,4.0
18,4,4,4,4,4,4,4,4.0
19,4,4,4,4,4,4,4,4.0
20,4,4,4,4,4,4,4,4.0
21,4,4,4,4,4,4,4,4.0
22,4,4,4,4,4,4,4,4.0
23,4,4,4,4,4,4,4,4.0
24,4,4,4,4,4,4,4,4.0
25,4,4,4,4,4,4,4,4.0
26,4,4,4,4,4,4,4,4.0
27,4,4,4,4,4,4,4,4.0
28,4,4,4,4,4,4,4,4.0
29,4,4,4,4,4,4,4,4.0
30,4,4,4,4,4,4,4,4.0
31,4,4,4,4,4,5,4,4.142857142857143
32,4,4,4,4,4,5,4,4.142857142857143
33,4,4,4,4,4,5,4,4.142857142857143
34,4,4,5,4,4,5,4,4.285714285714286
35,4,4,5,4,4,5,4,4.285714285714286
36,4,4,5,4,4,5,4,4.285714285714286
37,4,4,5,4,4,6,4,4.428571428571429
38,4,4,5,4,4,6,4,4.428571428571429
39,4,4,5,4,4,6,4,4.428571428571429
40,5,4,6,4,4,7,5,5.0
41,5,4,6,4,4,7,5,5.0
42,5,4,6,4,4,7,5,5.0
43,6,5,6,5,4,8,5,5.571428571428571
44,6,5,6,5,4,8,5,5.571428571428571
45,6,5,6,5,4,8,5,5.571428571428571
46,7,6,7,6,4,8,5,6.142857142857143
47,7,6,7,6,4,8,5,6.142857142857143
48,7,6,7,6,4,8,5,6.142857142857143
49,8,7,7,7,5,8,5,6.714285714285714
50,8,7,7,7,5,8,5,6.714285714285714
51,8,7,7,7,5,8,5,6.714285714285714
52,9,8,7,8,6,8,5,7.285714285714286
53,9,8,7,8,6,8,5,7.285714285714286
54,9,8,7,8,6,8,5,7.285714285714286
55,10,8,7,9,7,8,5,7.714285714285714
56,10,8,7,9,7,8,5,7.714285714285714
57,10,8,7,9,7,8,5,7.714285714285714
58,11,8,7,10,7,9,5,8.142857142857142
59,11,8,7,10,7,9,5,8.142857142857142
60,11,8,7,10,7,9,5,8.142857142857142
61,12,9,7,11,8,10,4,8.714285714285714
62,12,9,7,11,8,10,4,8.714285714285714
63,12,9,7,11,8,10,4,8.714285714285714
64,13,9,7,12,9,11,3,9.142857142857142
65,13,9,7,12,9,11,3,9.142857142857142
66,13,9,7,12,9,11,3,9.142857142857142
67,14,9,7,12,10,12,3,9.571428571428571
68,14,9,7,12,10,12,3,9.571428571428571
69,14,9,7,12,10,12,3,9.571428571428571
70,15,8,7,12,11,13,3,9.857142857142858
71,15,8,7,12,11,13,3,9.857142857142858
72,15,8,7,12,11,13,3,9.857142857142858
73,16,9,7,12,12,14,3,10.428571428571429
74,16,9,7,12,12,14,3,10.428571428571429
75,16,9,7,12,12,14,3,10.428571428571429
76,17,9,8,13,13,15,4,11.285714285714286
77,17,9,8,13,13,15,4,11.285714285714286
78,17,9,8,13,13,15,4,11.285714285714286
79,17,10,9,14,14,15,5,12.0
80,17,10,9,14,14,15,5,12.0
81,17,10,9,14,14,15,5,12.0
82,18,11,10,15,15,15,5,12.714285714285714
83,18,11,10,15,15,15,5,12.714285714285714
84,18,11,10,15,15,15,5,12.714285714285714
85,19,12,10,16,16,16,5,13.428571428571429
86,19,12,10,16,16,16,5,13.428571428571429
87,19,12,10,16,16,16,5,13.428571428571429
88,19,12,11,17,17,15,6,13.857142857142858
89,19,12,11,17,17,15,6,13.857142857142858
90,19,12,11,17,17,15,6,13.857142857142858
91,19,12,11,18,18,15,7,14.285714285714286
92,19,12,11,18,18,15,7,14.285714285714286
93,19,12,11,18,18,15,7,14.285714285714286
94,19,12,12,19,19,16,7,14.857142857142858
95,19,12,12,19,19,16,7,14.857142857142858
96,19,12,12,19,19,16,7,14.857142857142858
97,19,12,13,18,19,15,7,14.714285714285714
98,19,12,13,18,19,15,7,14.714285714285714
99,19,12,13,18,19,15,7,14.714285714285714
100,20,13,12,18,19,15,7,14.857142857142858
