Epoch time step,Epoch number,Episode reward
400,1,-1000.0
800,2,-1000.0
1200,3,-499.0
1600,4,-846.0
2000,5,-1000.0
2400,6,-984.0
2800,7,-491.0
3200,8,-486.0
3600,9,-702.0
4000,10,-404.0
4400,11,-361.0
4800,12,-316.0
5200,13,-192.0
5600,14,-192.0
6000,15,-169.0
6400,16,-189.0
6800,17,-132.0
7200,18,-175.0
7600,19,-159.0
8000,20,-182.0
8400,21,-154.0
8800,22,-417.0
9200,23,-357.0
9600,24,-182.0
10000,25,-236.0
10400,26,-139.0
10800,27,-400.0
11200,28,-374.0
11600,29,-146.0
12000,30,-243.0
12400,31,-537.0
12800,32,-258.0
13200,33,-238.0
13600,34,-360.0
14000,35,-258.0
14400,36,-135.0
14800,37,-612.0
15200,38,-190.0
15600,39,-302.0
16000,40,-198.0
16400,41,-1000.0
16800,42,-153.0
17200,43,-331.0
17600,44,-149.0
18000,45,-126.0
18400,46,-178.0
18800,47,-107.0
19200,48,-116.0
19600,49,-303.0
20000,50,-177.0
20400,51,-109.0
20800,52,-117.0
21200,53,-165.0
21600,54,-132.0
22000,55,-206.0
22400,56,-156.0
22800,57,-255.0
23200,58,-451.0
23600,59,-206.0
24000,60,-413.0
24400,61,-137.0
24800,62,-113.0
25200,63,-108.0
25600,64,-120.0
26000,65,-123.0
26400,66,-180.0
26800,67,-336.0
27200,68,-137.0
27600,69,-151.0
28000,70,-218.0
28400,71,-129.0
28800,72,-419.0
29200,73,-483.0
29600,74,-113.0
30000,75,-294.0
30400,76,-176.0
30800,77,-229.0
31200,78,-145.0
31600,79,-156.0
32000,80,-108.0
32400,81,-142.0
32800,82,-160.0
33200,83,-203.0
33600,84,-167.0
34000,85,-190.0
34400,86,-183.0
34800,87,-198.0
35200,88,-187.0
35600,89,-120.0
36000,90,-122.0
36400,91,-149.0
36800,92,-168.0
37200,93,-211.0
37600,94,-105.0
38000,95,-167.0
38400,96,-111.0
38800,97,-252.0
39200,98,-126.0
39600,99,-113.0
40000,100,-147.0
