Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss
1000,1,-1000.0,-0.9148993836585432,0.9662870069470545,-1.056167513287658,2.5328562208414076
2000,2,-1000.0,-5.409958692550659,2.12465077226338,-0.3927295739224324,4.578984416127205
3000,3,-1000.0,-11.670008993625641,2.660408899763901,-0.22796973860234915,6.3130348536968235
3695,4,-694.0,-17.290472203535998,3.638513295027716,-0.21043458224834483,6.167368393150165
4288,5,-592.0,-23.31491610493266,3.6132898016019657,-0.1549776025502195,6.149449134958534
5288,6,-1000.0,-29.7733933467865,2.688146479592006,-0.0902868694972635,5.817982184886932
6052,7,-763.0,-33.60822666752401,5.402600091715328,-0.16075231059233241,6.531303124043954
6844,8,-791.0,-42.4073114900878,3.774587896050592,-0.08900795083255529,7.973828209093725
7307,9,-462.0,-43.79433076582511,7.2538857661688,-0.16563526920770683,10.151326374667766
8080,10,-772.0,-43.61707802114943,6.684962597759259,-0.15326479675043328,10.63829179368383
8342,11,-261.0,-49.77419069887117,6.276908637355796,-0.12610769857274948,11.125617635159092
8847,12,-504.0,-54.701498076939345,5.259039871481366,-0.0961406918707119,11.804078192049914
9220,13,-372.0,-51.83252029828028,7.02630880269891,-0.1355579231390767,11.539561535973332
9673,14,-452.0,-53.9149730926581,5.149146689002769,-0.09550494776568767,13.52770303521988
10387,15,-713.0,-53.60287783326221,6.326179560969356,-0.11801940150765132,13.96374544159037
10636,16,-248.0,-58.099189819581056,7.934257868323078,-0.13656400188990261,13.952046215294834
11145,17,-508.0,-58.42034749104138,6.684379710972177,-0.11441869139852703,14.179097667892696
11425,18,-279.0,-57.138978658403666,5.6492406014245455,-0.09886842106852549,16.728651639393398
11672,19,-246.0,-59.691838422767546,8.891603142872725,-0.14895844017900622,14.676417607527513
12301,20,-628.0,-63.192701633859706,7.296952902785168,-0.11547145024854165,16.13734737810914
12480,21,-178.0,-61.854191657551176,6.117627621187759,-0.09890401050032827,24.595627905936215
12731,22,-250.0,-63.09326369448962,5.413741410119492,-0.085805379102497,18.654004404744303
12940,23,-208.0,-63.83899708798057,4.937606478890149,-0.07734467494978531,15.566332244416744
13294,24,-353.0,-60.19813454083803,7.066091860438346,-0.11738057855671181,22.81511313059909
13606,25,-311.0,-63.26528768050365,6.2665432497411135,-0.09905184153098008,21.081505635609993
13906,26,-299.0,-64.06630667368572,5.457009475277504,-0.08517752557630873,16.08602257649104
14074,27,-167.0,-62.68661026727585,6.791107700392092,-0.10833426263498631,20.39211390131996
14398,28,-323.0,-65.24815067244165,6.244368804233357,-0.09570185116174859,17.66996792363532
14712,29,-313.0,-63.470933671210226,7.812259725110951,-0.12308405238813294,18.999710850275246
14958,30,-245.0,-67.40570690186043,4.648989892134944,-0.0689702712991892,23.118312431544794
15153,31,-194.0,-64.36043763772035,7.178991039818101,-0.11154353984085776,19.345233537600592
15445,32,-291.0,-64.42215490994388,8.335558438564584,-0.12938962458205427,19.755957346256466
15835,33,-389.0,-66.14825084392841,5.724143520384579,-0.08653507004879456,21.710072095577534
16109,34,-273.0,-67.06219629997754,4.847057515157456,-0.07227704701879975,18.739293746922137
16360,35,-250.0,-66.46884232783222,5.459168732067882,-0.0821312443677387,23.52991877086609
16644,36,-283.0,-67.13871289642763,5.404510739267012,-0.08049768168186881,21.38261341209143
16873,37,-228.0,-68.83041388499164,4.209451052342325,-0.061156846439654904,22.669540994812827
17150,38,-276.0,-67.47656384960409,6.132966678292582,-0.09089032292696639,22.371390988034893
17532,39,-381.0,-70.25822791254333,5.38868189159895,-0.07669823238790939,22.899259135673184
17790,40,-257.0,-68.42728956355604,6.180179489754407,-0.09031746733171692,24.104430411675178
17989,41,-198.0,-67.24127063080294,6.277682289203402,-0.09336055417024827,27.004361500692127
18232,42,-242.0,-69.16817727108551,6.153952686109712,-0.08897086679024371,24.807465792192843
18429,43,-196.0,-69.09316780361428,5.114827224572862,-0.07402797392516289,20.795445130258646
18665,44,-235.0,-66.39409467729472,7.350814860405605,-0.11071488957163864,21.374198447344668
18912,45,-246.0,-68.46133733278344,5.37643819170454,-0.07853247396512622,24.751647335073727
19112,46,-199.0,-71.91677543640137,4.203277245881593,-0.058446408649101694,27.590809964239597
19345,47,-232.0,-69.51062024816423,4.487944729644565,-0.06456487819590548,30.826566689771646
19510,48,-164.0,-70.12532443422259,4.43953751144105,-0.06330861992097202,28.580482054479194
19702,49,-191.0,-71.75843365987141,4.015064495890956,-0.05595251026411758,38.5641218360203
19947,50,-244.0,-72.30741251731405,4.339197090387029,-0.06001040473337372,39.078811693434815
20189,51,-241.0,-69.69343224832835,5.538504024943817,-0.07946952598358596,25.85499716285339
20433,52,-243.0,-69.15607644690841,6.852352477742972,-0.09908532741882153,35.8700691187968
20611,53,-177.0,-71.20066049125757,3.753262474510044,-0.052713871593521124,32.606799453162076
20733,54,-121.0,-70.74953742105453,4.83201241217338,-0.06829744176864977,31.266430789329966
21075,55,-341.0,-72.56603383739092,5.3263494979396135,-0.07340003602615414,31.290898339354502
21416,56,-340.0,-73.07464747275075,4.2214526248343756,-0.057769045364311045,35.14426193183119
21614,57,-197.0,-71.59147405142735,4.652978464942061,-0.06499347201036283,27.91956020997028
21865,58,-250.0,-73.00692562088074,3.8787087533542524,-0.05312795629138096,31.89072851082718
22239,59,-373.0,-73.57611490953416,4.264278736536622,-0.05795737844788061,33.90364571537245
22392,60,-152.0,-71.8659752241147,3.785613621293409,-0.05267602101673202,38.39839335574823
22643,61,-250.0,-71.6555528678742,4.8393521214960895,-0.06753631683533834,28.898461473415573
22910,62,-266.0,-72.01715473646529,4.621882460992453,-0.06417752100739689,42.25501344712932
23150,63,-239.0,-71.69410467147827,4.447181194670482,-0.062029942560112385,30.517570665975413
23415,64,-264.0,-72.65617901784069,4.043197650095292,-0.05564836610940533,32.85272254100386
23600,65,-184.0,-70.55738659420528,5.408080006104447,-0.07664796369525115,31.635384272240305
23837,66,-236.0,-71.18592493242352,5.444138087322114,-0.07647773197426612,34.916510833969596
24017,67,-179.0,-72.97522847917345,4.643357268575853,-0.06362922549671811,36.938101048684786
24183,68,-165.0,-73.99176540144954,3.705958982380468,-0.05008610028796348,33.29748988815819
24399,69,-215.0,-71.82182668756556,5.27829550015256,-0.07349152400584077,26.413150007802027
24678,70,-278.0,-69.75484392719883,6.176366560595015,-0.0885439091088945,34.07849626643684
24923,71,-244.0,-71.33871175026407,5.47028634728933,-0.07668047562225683,34.628505104171985
25241,72,-317.0,-74.76376588689456,4.338198001695148,-0.05802540776581717,31.00531917951017
25412,73,-170.0,-73.35236269409893,4.365692179057596,-0.0595167220074945,31.336946871197014
25609,74,-196.0,-73.8733326674718,4.726343994406072,-0.0639790276645688,31.879859804653275
25803,75,-193.0,-74.50890252024857,4.102304215512808,-0.055057906864189335,35.719291049641434
26072,76,-268.0,-74.87303423970162,4.664223725532568,-0.0622951076164528,35.80715052079977
26252,77,-179.0,-74.4268138885498,4.787157494861136,-0.06432033355652775,38.57594806088342
26417,78,-164.0,-75.01331653016986,3.0993360561290255,-0.04131714473499506,40.28899016506744
26634,79,-216.0,-75.40724415932932,4.328845782405233,-0.05740623239404873,40.15212424518326
26772,80,-137.0,-75.46786316581394,3.0070923673921386,-0.03984599856478137,33.57062034017366
26916,81,-143.0,-75.65511989593506,3.3593935632423197,-0.0444040478405589,40.24370999220345
27103,82,-186.0,-75.50536048603568,3.9295896808625432,-0.0520438503381399,30.799017661076817
27290,83,-186.0,-74.36733482483237,3.9021950492290007,-0.05247189587229902,45.297872289776166
27453,84,-162.0,-73.91813678390409,4.263309425919894,-0.05767609427688176,43.15983310387544
27649,85,-195.0,-75.15271961445711,3.8784716869959106,-0.05160786870911602,31.54455625030155
27826,86,-176.0,-76.92021403339623,3.7399221526829054,-0.048620797532611566,43.1486373372839
27960,87,-133.0,-75.84393794501005,3.1258498830341144,-0.041214235016389614,34.97189552525976
28142,88,-181.0,-75.53815372173602,3.9766427605636667,-0.05264416145531754,39.31917072898084
28370,89,-227.0,-75.4574736879583,4.8814620331558425,-0.06469156459361876,45.10600993481644
28558,90,-187.0,-74.71800779789052,3.7366481190693595,-0.05001000734892258,43.716930087180216
28751,91,-192.0,-74.40866586952012,4.5495031945945135,-0.06114211485221801,38.194659842844146
28970,92,-218.0,-75.16089006537172,3.460614911667333,-0.046042761184140295,39.35108248134182
29101,93,-130.0,-75.82579739403178,3.402039182940307,-0.04486651377052423,49.11173220354182
29304,94,-202.0,-75.29675950675175,3.900592814125771,-0.05180293069286747,43.12939678301365
29461,95,-156.0,-74.94314512021982,3.7435400496044298,-0.04995173399247178,40.74782170739713
29625,96,-163.0,-75.60379242315526,3.404010668466282,-0.04502433752812288,39.26691929905153
29767,97,-141.0,-74.97064611945353,3.4302445749488237,-0.045754501961784974,37.796589852428774
29910,98,-142.0,-74.1802404977225,3.481941517867274,-0.04693893541601793,40.54455277011111
30076,99,-165.0,-76.08502992377224,3.3819001997541247,-0.04444895668888307,40.32096420093832
30241,100,-164.0,-75.4402862548828,3.24475613384834,-0.04301092022484639,46.5425421771678
30364,101,-122.0,-75.89480280682324,2.8831775334182064,-0.03798913004302579,51.097871833700474
30537,102,-172.0,-76.82990445704819,2.7284592265066787,-0.035512984765353,47.708540470786176
30712,103,-174.0,-74.64935616629464,3.996252661892323,-0.05353365209192111,35.073459844504086
30843,104,-130.0,-76.74515498503474,2.6298662001469415,-0.03426752087033721,47.775368483353205
30992,105,-148.0,-74.5891856251147,3.639026895975641,-0.04878759387809103,47.89537985772895
31162,106,-169.0,-77.09068231021656,2.6700228716880945,-0.03463483253324696,38.57615698137704
31319,107,-156.0,-75.16628187629068,3.3487171278979058,-0.04455078852256193,51.31364984430705
31492,108,-172.0,-75.25911734696757,3.5170021017195463,-0.0467319073847902,56.369196040092866
31671,109,-178.0,-75.52854616815152,3.4735619394025257,-0.04599005429906235,59.56097163384853
31784,110,-112.0,-76.91214785955648,2.309113522828626,-0.03002274136258846,48.74130656629537
32034,111,-249.0,-76.85680331420899,2.7404824842645823,-0.03565699282418545,49.11696131974459
32206,112,-171.0,-75.4640765966371,2.9973454347426682,-0.03971883802095365,37.71501452449796
32382,113,-175.0,-75.08499262549661,3.067010938346676,-0.040847189712651194,38.34896282288669
32536,114,-153.0,-76.41101416055258,2.771894111901802,-0.03627610681985688,30.821089306047984
32709,115,-172.0,-75.31539921402242,3.4369012311832754,-0.045633446374182984,48.31646583380038
32848,116,-138.0,-75.9018991044957,2.7746326212473487,-0.03655550986184753,58.2731031629679
33026,117,-177.0,-74.60987408241529,3.5052787008036144,-0.04698143166588951,49.824002486768734
33303,118,-276.0,-79.66612202337933,3.9793920070870903,-0.049950868776056055,44.79901881397631
33440,119,-136.0,-76.07880824847813,2.5846092493290316,-0.033972788334006715,68.2458297079497
33625,120,-184.0,-75.89170994114231,3.4987275916120346,-0.04610157808178873,48.90812625023159
33761,121,-135.0,-75.10465487311868,2.910404444163149,-0.038751319063777975,61.411355780985424
33913,122,-151.0,-76.64634714628521,2.192679625151584,-0.02860775114261731,56.895286461142334
34064,123,-150.0,-75.06128727995008,3.014581659391369,-0.040161603519376435,51.59064157366358
34254,124,-189.0,-75.04405822753907,3.1041779583039073,-0.041364740015682695,47.30215229588119
34518,125,-263.0,-78.24752270091663,4.389894925505407,-0.056102669758438015,49.676723901746854
34661,126,-142.0,-75.37067205255681,2.1366166712640435,-0.028348117551269238,40.87608784009944
34883,127,-221.0,-72.81866633784664,3.82056911188136,-0.05246689213114117,50.21580418904085
35045,128,-161.0,-75.83116046293283,3.0860662405680763,-0.04069654508421485,62.23350239351944
35263,129,-217.0,-74.46551818147712,2.786061865059939,-0.037414120429137845,47.130157939474515
35400,130,-136.0,-75.59926694327027,1.7316491552359305,-0.022905634211180394,45.33640137352865
35585,131,-184.0,-76.97733067692937,1.6198682416970969,-0.0210434452253952,49.03255651601263
35750,132,-164.0,-75.29757297400272,2.186864171396558,-0.02904295696425164,32.18249512238033
35924,133,-173.0,-74.78202096347151,2.4723618429992995,-0.03306091238436796,46.863161512832534
36073,134,-148.0,-75.03973649812225,2.4424059870994173,-0.032548168491510286,51.95004652690567
36224,135,-150.0,-75.96873721697473,1.718393450254517,-0.022619744821433637,57.08640772617416
36368,136,-143.0,-74.17644288804796,2.594945479499701,-0.034983417625136945,50.72529602237046
36517,137,-148.0,-75.61050409918664,2.5236861251345477,-0.033377454035010135,51.30476894894702
36679,138,-161.0,-75.17586865837191,2.362142606264618,-0.0314215538632364,52.96266595605347
37085,139,-405.0,-74.33917899672034,2.3328803537453093,-0.031381572748445746,53.80244601191264
37940,140,-854.0,-76.83586246869717,3.659270654316235,-0.047624514604843765,48.471904003759576
38075,141,-134.0,-74.53199332908348,1.8279154162640288,-0.02452524526203366,35.129139180536626
38220,142,-144.0,-75.07208615007072,1.4727714790960647,-0.019618097146680627,46.248317898450225
38371,143,-150.0,-74.6538296124793,2.0477172720954595,-0.027429500706460188,45.337004987411945
38530,144,-158.0,-73.38533998885245,2.801561841800596,-0.038176042275285024,29.708177329046922
38743,145,-212.0,-73.92800530805275,2.702599888584372,-0.03655718664831859,43.842405612409955
38974,146,-230.0,-76.27231363403848,1.5822328820079952,-0.020744524541364943,59.100698835793
39180,147,-205.0,-74.48891304534615,2.4559511617679153,-0.03297069404506978,54.08879156150285
39349,148,-168.0,-73.77572008843958,2.4559923216788415,-0.033289981022681846,41.46634160343712
39549,149,-199.0,-74.63126644134522,1.9242479418247316,-0.02578340196514086,46.713302607014775
