Episode time step,Mean silhouette score seed_0,Mean silhouette score seed_10,Mean silhouette score seed_20,Mean silhouette score seed_40,Mean silhouette score seed_60,Mean silhouette score seed_80,Mean silhouette score seed_100,Mean silhouette score
626,,,0.3592863,,,,,0.3592863
1000,0.23405232,0.39855322,,0.29298732,0.38061816,0.26561028,0.40832934,0.3300251066666667
1626,,,0.37114754,,,,,0.37114754
1954,,,,0.33340582,,,,0.33340582
2000,0.38848495,0.39058787,,,0.38194478,0.3191676,0.4290663,0.3818503000000001
2626,,,0.36684522,,,,,0.36684522
2954,,,,0.36667705,,,,0.36667705
3000,0.38769826,0.42340025,,,0.33538482,0.31344786,0.43617666,0.37922157
3407,,,0.382224,,,,,0.382224
3954,,,,0.38016456,,,,0.38016456
4000,0.35116175,0.4238684,,,0.315383,0.30872187,0.41392472,0.362611948
4071,,,0.37128264,,,,,0.37128264
4917,,,,,,,0.36754912,0.36754912
4954,,,,0.39726228,,,,0.39726228
5000,0.3591967,0.42366615,,,0.35253826,0.31050006,,0.36147529250000004
5071,,,0.38682672,,,,,0.38682672
5406,,,,,,,0.36688444,0.36688444
5574,,0.41316876,,,,,,0.41316876
5784,,,,,,,0.3858857,0.3858857
5954,,,,0.38466376,,,,0.38466376
6000,0.34791905,,,,0.37633833,0.31737295,,0.34721011
6071,,,0.405642,,,,,0.405642
6288,,,,,,,0.3819293,0.3819293
6574,,0.4072117,,,,,,0.4072117
6783,,,0.41294062,,,,,0.41294062
6954,,,,0.36688834,,,,0.36688834
7000,0.3255857,,,,0.39160272,0.32914135,,0.34877659
7244,,,0.42111078,,,,,0.42111078
7288,,,,,,,0.380285,0.380285
7574,,0.38518763,,,,,,0.38518763
7710,,,0.4229547,,,,,0.4229547
7736,,,,,,,0.37826744,0.37826744
7954,,,,0.35595188,,,,0.35595188
8000,0.32747814,,,,0.3926767,0.34848672,,0.3562138533333334
8188,,,,,,,0.3999831,0.3999831
8248,,,0.41998622,,,,,0.41998622
8477,,0.36865544,,,,,,0.36865544
8549,,,,,,0.34091812,,0.34091812
8617,,,,,,,0.3912288,0.3912288
8839,,,0.41988507,,,,,0.41988507
8897,,,,,,0.35332724,,0.35332724
8948,,,,,,,0.39066777,0.39066777
8954,,,,0.35890213,,,,0.35890213
9000,0.33806777,,,,0.37736836,,,0.35771806500000003
9314,,,,,,0.35496718,,0.35496718
9398,,,0.40710366,,,,,0.40710366
9423,,,,,,,0.40411744,0.40411744
9477,,0.354359,,,,,,0.354359
9540,0.3611726,,,,,,,0.3611726
9738,0.35137123,,,,,,,0.35137123
9749,,,,,,0.34971854,,0.34971854
9815,,,,,,,0.3941417,0.3941417
9916,,,0.40822127,,,,,0.40822127
9924,,0.3498303,,,,,,0.3498303
9954,,,,0.35536855,,,,0.35536855
10000,,,,,0.38951764,,,0.38951764
10037,,,,,,0.34538803,,0.34538803
10139,,,,,,,0.40063468,0.40063468
10152,,,0.40534246,,,,,0.40534246
10222,0.3490724,,,,,,,0.3490724
10336,,,,,,0.3547822,,0.3547822
10419,0.3642861,,,,,,,0.3642861
10423,,,,,,,0.3956472,0.3956472
10536,,,,,0.4185842,,,0.4185842
10686,,,,,,0.3679242,,0.3679242
10845,,,,,,,0.41175386,0.41175386
10872,0.37339863,,,,,,,0.37339863
10924,,0.33027166,,,,,,0.33027166
10954,,,,0.3656987,,,,0.3656987
11122,,,,,,0.39382276,,0.39382276
11131,,,,,,,0.42222685,0.42222685
11132,,,,,0.4081886,,,0.4081886
11152,,,0.41938043,,,,,0.41938043
11381,,,,,,0.38570336,,0.38570336
11403,0.3938497,,,,,,,0.3938497
11462,,,,0.36801004,,,,0.36801004
11514,,,,,,,0.42431584,0.42431584
11727,0.4141734,,,,,,,0.4141734
11730,,,,,,0.37966797,,0.37966797
11767,,,0.41816825,,,,,0.41816825
11812,,,,,,,0.4229982,0.4229982
11924,,0.3279268,,,,,,0.3279268
11986,0.40647748,,,,,,,0.40647748
12017,,,,,0.4304416,,,0.4304416
12229,,,,,,0.36777464,,0.36777464
12241,,,,,,,0.42176223,0.42176223
12332,0.42126837,,,,,,,0.42126837
12462,,,,0.376076,,,,0.376076
12539,,,,,,0.3641765,,0.3641765
12568,,,,,,,0.41731483,0.41731483
12604,,,0.43061092,,,,,0.43061092
12683,0.42546892,,,,,,,0.42546892
12769,,,,,0.4517674,,,0.4517674
12826,,,,,,0.38389197,,0.38389197
12886,,,,,,,0.4137005,0.4137005
12924,,0.32853872,,,,,,0.32853872
12957,0.43331978,,,,,,,0.43331978
13150,,,,,,0.3774304,,0.3774304
13186,0.42323413,,,,,,,0.42323413
13248,,,,0.3715345,,,,0.3715345
13279,,,,,,,0.41128096,0.41128096
13398,,,,,0.49806798,,,0.49806798
13430,0.44555518,,,,,,,0.44555518
13541,,,,,,0.36810943,,0.36810943
13600,,,,,,,0.39784712,0.39784712
13604,,,0.4221782,,,,,0.4221782
13688,0.4293056,,,,,,,0.4293056
13870,,,,0.3734571,,,,0.3734571
13883,,,,,,0.37759504,,0.37759504
13909,0.42615134,,,,,,,0.42615134
13924,,0.32324684,,,,,,0.32324684
13978,,,,,0.522859,,,0.522859
13992,,,,,,,0.3954536,0.3954536
14125,,,,,,0.38934168,,0.38934168
14262,0.43160212,,,,,,,0.43160212
14319,,,,,,,0.40205997,0.40205997
14426,,,,,,0.37820044,,0.37820044
14435,,,,,0.529937,,,0.529937
14509,0.43708894,,,,,,,0.43708894
14604,,,0.42032188,,,,,0.42032188
14728,,,,,,0.40385452,,0.40385452
14747,0.4285985,,,,,,,0.4285985
14787,,,,,,,0.40010726,0.40010726
14870,,,,0.37329453,,,,0.37329453
14895,,,,,0.5270335,,,0.5270335
14924,,0.30779433,,,,,,0.30779433
14972,0.43761295,,,,,,,0.43761295
15036,,,,,,,0.397103,0.397103
15097,,,,,,0.41404027,,0.41404027
15219,0.4420782,,,,,,,0.4420782
15343,,,,,0.52691364,,,0.52691364
15355,,,,,,0.44260693,,0.44260693
15369,,,,,,,0.3830289,0.3830289
15384,,,,0.37735066,,,,0.37735066
15418,0.42421266,,,,,,,0.42421266
15604,,,0.4162474,,,,,0.4162474
15617,,,,,,,0.38734293,0.38734293
15685,,0.2888392,,,,,,0.2888392
15705,,,,,,0.45434168,,0.45434168
15820,,,,0.3847813,,,,0.3847813
15933,,,,,0.52368057,,,0.52368057
15963,0.43870482,,,,,,,0.43870482
16025,,,,,,,0.38094762,0.38094762
16255,0.43703312,,,,,,,0.43703312
16348,,,,,,0.46981534,,0.46981534
16445,,,,,,,0.37540257,0.37540257
16604,,,0.43359005,,,,,0.43359005
16645,0.44111052,,,,,,,0.44111052
16685,,0.28452,,,,,,0.28452
16806,,,,,,0.48517093,,0.48517093
16820,,,,0.38971862,,,,0.38971862
16911,0.42346728,,,,,,,0.42346728
16933,,,,,0.4988659,,,0.4988659
17063,,,,,,,0.36031488,0.36031488
17109,0.42586464,,,,,,,0.42586464
17299,,,,,,0.46493545,,0.46493545
17309,,,,0.39548868,,,,0.39548868
17317,,,,,0.47443044,,,0.47443044
17476,,,,,,,0.3704524,0.3704524
17604,,,0.46295357,,,,,0.46295357
17628,,,,,0.46072266,,,0.46072266
17685,,0.28486392,,,,,,0.28486392
17753,0.41810277,,,,,,,0.41810277
17755,,,,,,,0.34960845,0.34960845
17982,,,,,0.44867608,,,0.44867608
18012,,,,,,0.45407298,,0.45407298
18037,,,,,,,0.36791775,0.36791775
18043,,,,0.39183825,,,,0.39183825
18063,0.41431808,,,,,,,0.41431808
18208,0.40885532,,,,,,,0.40885532
18348,,,,,0.44757798,,,0.44757798
18472,0.41557348,,,,,,,0.41557348
18604,,,0.46311215,,,,,0.46311215
18685,,0.2821141,,,,,,0.2821141
18763,,,,,0.41787204,,,0.41787204
18802,,,,0.3796714,,,,0.3796714
18804,,,,,,,0.36060998,0.36060998
18908,0.4094888,,,,,,,0.4094888
19012,,,,,,0.44457114,,0.44457114
19085,0.4104142,,,,,,,0.4104142
19189,,,,,0.40225154,,,0.40225154
19343,0.39397418,,,,,,,0.39397418
19540,0.40922937,,,,,,,0.40922937
19604,,,0.4404547,,,,,0.4404547
19685,,0.2641922,,,,,,0.2641922
19737,,,,,0.36360595,,,0.36360595
19746,0.40382057,,,,,,,0.40382057
19769,,,,,,,0.33937868,0.33937868
19802,,,,0.38981268,,,,0.38981268
19913,0.39270377,,,,,,,0.39270377
20012,,,,,,0.438728,,0.438728
20314,0.39951852,,,,,,,0.39951852
20390,,,,,,,0.33111006,0.33111006
20604,,,0.36150438,,,,,0.36150438
20685,,0.2644594,,,,,,0.2644594
20737,,,,,0.34903604,,,0.34903604
20755,0.42419392,,,,,,,0.42419392
20802,,,,0.39969742,,,,0.39969742
20913,,,,,,,0.3279655,0.3279655
21012,,,,,,0.4389549,,0.4389549
21078,0.43337065,,,,,,,0.43337065
21103,,0.24792242,,,,,,0.24792242
21450,,,,,0.33770093,,,0.33770093
21473,,,,,,,0.31946772,0.31946772
21604,,,0.31361756,,,,,0.31361756
21802,,,,0.41107577,,,,0.41107577
22006,0.42637476,,,,,,,0.42637476
22012,,,,,,0.44390333,,0.44390333
22103,,0.23656921,,,,,,0.23656921
22281,,,,,0.3321297,,,0.3321297
22395,0.42879137,,,,,,,0.42879137
22473,,,,,,,0.3172305,0.3172305
22604,,,0.29321247,,,,,0.29321247
22648,,,,,0.32674792,,,0.32674792
22735,0.4348076,,,,,,,0.4348076
22802,,,,0.41890568,,,,0.41890568
22974,,,,,0.30982468,,,0.30982468
23012,,,,,,0.43065137,,0.43065137
23103,,0.23319222,,,,,,0.23319222
23473,,,,,,,0.3018582,0.3018582
23536,0.44835111,,,,,,,0.44835111
23604,,,0.28407833,,,,,0.28407833
23772,,0.22975327,,,,,,0.22975327
23802,,,,0.43041986,,,,0.43041986
23974,,,,,0.3060544,,,0.3060544
24012,,,,,,0.4175459,,0.4175459
24243,0.4535169,,,,,,,0.4535169
24473,,,,,,,0.2900698,0.2900698
24474,0.4474489,,0.28689632,,,,,0.36717261
24736,,0.23815595,,,,,,0.23815595
24802,,,,0.42437142,,,,0.42437142
24830,,,0.30498713,,,,,0.30498713
24974,,,,,0.2964153,,,0.2964153
25012,,,,,,0.39877835,,0.39877835
25014,0.45394853,,,,,,,0.45394853
25120,,,,,,,0.2819953,0.2819953
25434,,0.25117674,,,,,,0.25117674
25439,,,,,,0.34090748,,0.34090748
25593,0.4603043,,,,,,,0.4603043
25600,,0.2701131,,,,,,0.2701131
