Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,3,3,3,3,3,3,3,3.0
2,3,3,3,3,3,3,3,3.0
3,3,3,3,3,3,3,3,3.0
4,3,3,3,3,3,3,3,3.0
5,3,3,3,3,3,3,3,3.0
6,3,3,3,3,3,3,3,3.0
7,3,3,3,3,3,3,3,3.0
8,3,3,3,3,3,3,3,3.0
9,3,3,3,3,3,3,3,3.0
10,3,3,3,3,3,3,3,3.0
11,3,3,3,3,3,3,3,3.0
12,3,3,3,3,3,3,3,3.0
13,3,3,3,3,3,3,3,3.0
14,3,3,3,3,3,3,3,3.0
15,3,3,3,3,3,3,3,3.0
16,3,3,3,3,3,3,3,3.0
17,3,3,3,3,3,3,3,3.0
18,3,3,3,3,3,3,3,3.0
19,3,3,3,3,3,3,3,3.0
20,3,3,3,3,3,3,3,3.0
21,3,3,3,3,3,3,3,3.0
22,3,3,3,3,3,3,3,3.0
23,3,3,3,3,3,3,3,3.0
24,3,3,3,3,3,3,3,3.0
25,3,3,3,3,3,3,3,3.0
26,3,3,3,3,3,3,3,3.0
27,3,3,3,3,3,3,3,3.0
28,3,3,3,3,3,3,3,3.0
29,3,3,3,3,3,3,3,3.0
30,3,3,3,3,3,3,3,3.0
31,3,3,3,3,3,3,3,3.0
32,3,3,3,3,3,3,3,3.0
33,3,3,3,3,3,3,3,3.0
34,3,3,3,3,3,3,3,3.0
35,3,3,3,3,3,3,3,3.0
36,3,3,3,3,3,3,3,3.0
37,3,3,3,3,3,3,3,3.0
38,3,3,3,3,3,3,3,3.0
39,3,3,3,3,3,3,3,3.0
40,4,3,3,3,3,3,3,3.142857142857143
41,4,3,3,3,3,3,3,3.142857142857143
42,4,3,3,3,3,3,3,3.142857142857143
43,4,3,3,3,3,3,3,3.142857142857143
44,4,3,3,3,3,3,3,3.142857142857143
45,4,3,3,3,3,3,3,3.142857142857143
46,4,3,3,3,3,3,3,3.142857142857143
47,4,3,3,3,3,3,3,3.142857142857143
48,4,3,3,3,3,3,3,3.142857142857143
49,4,3,3,3,4,3,3,3.2857142857142856
50,4,3,3,3,4,3,4,3.4285714285714284
51,4,3,3,3,4,3,4,3.4285714285714284
52,4,3,3,3,4,3,4,3.4285714285714284
53,4,3,3,3,4,3,4,3.4285714285714284
54,4,4,3,3,4,3,4,3.5714285714285716
55,4,4,3,3,4,3,4,3.5714285714285716
56,4,4,3,3,4,3,4,3.5714285714285716
57,4,4,3,3,4,3,4,3.5714285714285716
58,4,4,3,3,4,3,4,3.5714285714285716
59,4,4,3,3,4,4,4,3.7142857142857144
60,4,4,3,3,4,4,4,3.7142857142857144
61,4,4,3,3,4,4,4,3.7142857142857144
62,4,4,3,3,4,4,4,3.7142857142857144
63,4,4,3,3,4,4,4,3.7142857142857144
64,4,4,3,3,4,4,4,3.7142857142857144
65,4,4,3,3,4,4,4,3.7142857142857144
66,4,4,3,3,4,4,4,3.7142857142857144
67,4,4,3,3,4,4,4,3.7142857142857144
68,4,4,3,3,4,4,4,3.7142857142857144
69,4,4,3,3,4,4,4,3.7142857142857144
70,4,4,3,3,4,4,4,3.7142857142857144
71,4,4,3,3,4,4,4,3.7142857142857144
72,5,4,3,3,5,4,4,4.0
73,5,4,3,3,5,4,4,4.0
74,5,4,3,3,5,4,4,4.0
75,5,4,3,3,5,4,4,4.0
76,5,4,3,3,5,4,4,4.0
77,5,4,3,3,5,4,4,4.0
78,5,4,3,3,5,4,4,4.0
79,5,4,3,3,5,4,4,4.0
80,5,4,3,3,5,4,4,4.0
81,5,4,3,3,5,4,4,4.0
82,5,4,3,3,6,4,4,4.142857142857143
83,5,4,3,3,6,4,4,4.142857142857143
84,5,4,3,3,6,4,4,4.142857142857143
85,5,4,3,3,6,4,4,4.142857142857143
86,5,4,3,3,6,4,4,4.142857142857143
87,5,4,3,3,6,4,4,4.142857142857143
88,5,4,3,3,6,4,4,4.142857142857143
89,5,4,3,3,6,4,4,4.142857142857143
90,5,4,3,3,6,4,4,4.142857142857143
91,5,4,3,3,6,4,4,4.142857142857143
92,5,4,3,3,6,4,4,4.142857142857143
93,5,4,3,3,7,4,4,4.285714285714286
94,5,4,3,3,7,4,4,4.285714285714286
95,5,4,3,3,7,4,4,4.285714285714286
96,5,4,3,3,7,4,4,4.285714285714286
97,5,4,3,3,7,4,4,4.285714285714286
98,5,4,3,3,7,4,4,4.285714285714286
99,5,4,3,3,7,4,4,4.285714285714286
100,5,4,3,3,7,4,4,4.285714285714286
