Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,7,7,7,7,7,7,7,7.0
2,7,7,7,7,7,7,7,7.0
3,7,7,7,7,7,7,7,7.0
4,7,7,7,7,7,7,7,7.0
5,7,7,7,7,7,7,7,7.0
6,7,7,7,7,7,7,7,7.0
7,7,7,7,7,7,7,7,7.0
8,7,7,7,7,7,7,7,7.0
9,7,7,7,7,7,7,7,7.0
10,7,7,7,7,7,7,7,7.0
11,7,7,7,7,7,7,7,7.0
12,7,7,7,7,7,7,7,7.0
13,7,7,7,7,7,7,7,7.0
14,7,7,7,7,7,7,7,7.0
15,7,7,7,7,7,7,7,7.0
16,7,7,7,7,7,7,7,7.0
17,7,7,7,7,7,7,7,7.0
18,7,7,7,7,7,7,7,7.0
19,7,7,7,7,7,7,7,7.0
20,7,7,7,7,7,7,7,7.0
21,7,7,7,7,7,7,7,7.0
22,7,7,7,7,7,7,7,7.0
23,7,7,7,7,7,7,7,7.0
24,7,7,7,7,7,7,7,7.0
25,7,7,7,7,7,7,7,7.0
26,7,7,7,7,7,7,7,7.0
27,7,7,7,7,7,7,7,7.0
28,7,7,7,7,7,7,7,7.0
29,7,7,7,7,7,7,7,7.0
30,7,7,7,7,7,7,7,7.0
31,7,7,7,7,7,7,7,7.0
32,7,7,7,7,7,7,8,7.142857142857143
33,7,7,7,7,7,7,8,7.142857142857143
34,7,7,7,7,7,7,8,7.142857142857143
35,7,7,7,7,7,7,8,7.142857142857143
36,7,7,7,7,7,7,8,7.142857142857143
37,7,7,7,7,7,7,8,7.142857142857143
38,7,7,7,7,7,7,8,7.142857142857143
39,6,7,7,7,7,6,8,6.857142857142857
40,6,7,7,7,7,6,8,6.857142857142857
41,6,7,7,7,7,6,8,6.857142857142857
42,6,7,7,7,7,6,8,6.857142857142857
43,5,8,8,8,7,6,8,7.142857142857143
44,5,8,8,8,7,6,8,7.142857142857143
45,5,8,8,8,7,6,8,7.142857142857143
46,5,9,8,9,8,6,8,7.571428571428571
47,5,9,8,9,8,6,8,7.571428571428571
48,5,9,8,9,8,6,8,7.571428571428571
49,5,9,8,9,8,6,8,7.571428571428571
50,5,10,9,10,8,7,7,8.0
51,5,10,9,10,8,7,7,8.0
52,5,10,9,10,8,7,7,8.0
53,6,11,9,11,9,8,7,8.714285714285714
54,6,11,9,11,9,8,7,8.714285714285714
55,6,11,9,11,9,8,7,8.714285714285714
56,6,11,9,11,9,8,7,8.714285714285714
57,7,12,9,12,10,9,8,9.571428571428571
58,7,12,9,12,10,9,8,9.571428571428571
59,7,12,9,12,10,9,8,9.571428571428571
60,8,13,9,13,11,9,8,10.142857142857142
61,8,13,9,13,11,9,8,10.142857142857142
62,8,13,9,13,11,9,8,10.142857142857142
63,8,13,9,13,11,9,8,10.142857142857142
64,8,13,10,14,12,9,8,10.571428571428571
65,8,13,10,14,12,9,8,10.571428571428571
66,8,13,10,14,12,9,8,10.571428571428571
67,8,12,11,15,12,10,8,10.857142857142858
68,8,12,11,15,12,10,8,10.857142857142858
69,8,12,11,15,12,10,8,10.857142857142858
70,8,12,11,15,12,10,8,10.857142857142858
71,8,12,12,16,13,11,8,11.428571428571429
72,8,12,12,16,13,11,8,11.428571428571429
73,8,12,12,16,13,11,8,11.428571428571429
74,8,12,13,17,14,12,9,12.142857142857142
75,8,12,13,17,14,12,9,12.142857142857142
76,8,12,13,17,14,12,9,12.142857142857142
77,8,12,13,17,14,12,9,12.142857142857142
78,9,13,14,18,15,13,9,13.0
79,9,13,14,18,15,13,9,13.0
80,9,13,14,18,15,13,9,13.0
81,8,13,15,19,16,14,10,13.571428571428571
82,8,13,15,19,16,14,10,13.571428571428571
83,8,13,15,19,16,14,10,13.571428571428571
84,8,13,15,19,16,14,10,13.571428571428571
85,8,12,15,20,17,15,10,13.857142857142858
86,8,12,15,20,17,15,10,13.857142857142858
87,8,12,15,20,17,15,10,13.857142857142858
88,8,13,16,20,18,15,10,14.285714285714286
89,8,13,16,20,18,15,10,14.285714285714286
90,8,13,16,20,18,15,10,14.285714285714286
91,8,13,16,20,18,15,10,14.285714285714286
92,9,14,17,20,19,15,10,14.857142857142858
93,9,14,17,20,19,15,10,14.857142857142858
94,9,14,17,20,19,15,10,14.857142857142858
95,10,14,17,21,20,15,10,15.285714285714286
96,10,14,17,21,20,15,10,15.285714285714286
97,10,14,17,21,20,15,10,15.285714285714286
98,10,14,17,21,20,15,10,15.285714285714286
99,11,15,17,21,20,16,10,15.714285714285714
100,11,15,17,21,20,16,10,15.714285714285714
