Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,-1000.0,-1000.0,-1000.0,-757.0,-846.0,-1000.0,-107.0,-815.7142857142857
2,-1000.0,-1000.0,-1000.0,-468.0,-1000.0,-551.0,-116.0,-733.5714285714286
3,-1000.0,-1000.0,-1000.0,-1000.0,-498.0,-853.0,-133.0,-783.4285714285714
4,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-181.0,-883.0
5,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
6,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
7,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-561.0,-937.2857142857143
8,-1000.0,-372.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-910.2857142857143
9,-730.0,-403.0,-422.0,-1000.0,-1000.0,-592.0,-112.0,-608.4285714285714
10,-139.0,-266.0,-1000.0,-1000.0,-1000.0,-369.0,-440.0,-602.0
11,-150.0,-147.0,-308.0,-464.0,-1000.0,-278.0,-454.0,-400.14285714285717
12,-122.0,-212.0,-136.0,-295.0,-1000.0,-214.0,-527.0,-358.0
13,-131.0,-158.0,-185.0,-329.0,-1000.0,-240.0,-570.0,-373.2857142857143
14,-134.0,-228.0,-174.0,-266.0,-1000.0,-108.0,-132.0,-291.7142857142857
15,-84.0,-337.0,-159.0,-135.0,-1000.0,-96.0,-232.0,-291.85714285714283
16,-127.0,-180.0,-490.0,-232.0,-1000.0,-114.0,-164.0,-329.57142857142856
17,-102.0,-305.0,-217.0,-183.0,-319.0,-262.0,-193.0,-225.85714285714286
18,-104.0,-290.0,-163.0,-140.0,-344.0,-118.0,-113.0,-181.71428571428572
19,-103.0,-197.0,-125.0,-202.0,-244.0,-93.0,-738.0,-243.14285714285714
20,-89.0,-288.0,-176.0,-183.0,-268.0,-138.0,-91.0,-176.14285714285714
21,-90.0,-240.0,-171.0,-263.0,-289.0,-112.0,-168.0,-190.42857142857142
22,-103.0,-587.0,-110.0,-147.0,-293.0,-193.0,-83.0,-216.57142857142858
23,-111.0,-478.0,-127.0,-155.0,-196.0,-135.0,-113.0,-187.85714285714286
24,-108.0,-758.0,-145.0,-127.0,-211.0,-1000.0,-123.0,-353.14285714285717
25,-133.0,-396.0,-169.0,-170.0,-277.0,-181.0,-91.0,-202.42857142857142
26,-99.0,-280.0,-143.0,-895.0,-318.0,-117.0,-122.0,-282.0
27,-129.0,-463.0,-125.0,-265.0,-245.0,-302.0,-148.0,-239.57142857142858
28,-116.0,-1000.0,-137.0,-133.0,-148.0,-144.0,-92.0,-252.85714285714286
29,-111.0,-597.0,-152.0,-90.0,-186.0,-202.0,-84.0,-203.14285714285714
30,-227.0,-505.0,-132.0,-112.0,-244.0,-117.0,-84.0,-203.0
31,-90.0,-564.0,-108.0,-162.0,-158.0,-192.0,-101.0,-196.42857142857142
32,-91.0,-570.0,-309.0,-618.0,-199.0,-139.0,-100.0,-289.42857142857144
33,-84.0,-441.0,-236.0,-126.0,-175.0,-225.0,-113.0,-200.0
34,-101.0,-454.0,-181.0,-176.0,-139.0,-203.0,-92.0,-192.28571428571428
35,-194.0,-1000.0,-753.0,-117.0,-207.0,-445.0,-97.0,-401.85714285714283
36,-135.0,-1000.0,-587.0,-149.0,-161.0,-205.0,-122.0,-337.0
37,-132.0,-1000.0,-916.0,-268.0,-216.0,-1000.0,-154.0,-526.5714285714286
38,-109.0,-1000.0,-1000.0,-567.0,-107.0,-255.0,-87.0,-446.42857142857144
39,-94.0,-1000.0,-1000.0,-533.0,-241.0,-646.0,-110.0,-517.7142857142857
40,-158.0,-1000.0,-1000.0,-843.0,-219.0,-457.0,-106.0,-540.4285714285714
41,-155.0,-1000.0,-1000.0,-288.0,-171.0,-1000.0,-112.0,-532.2857142857143
42,-178.0,-290.0,-1000.0,-920.0,-117.0,-1000.0,-120.0,-517.8571428571429
43,-111.0,-506.0,-1000.0,-1000.0,-149.0,-705.0,-175.0,-520.8571428571429
44,-173.0,-544.0,-1000.0,-1000.0,-125.0,-1000.0,-134.0,-568.0
45,-126.0,-489.0,-1000.0,-1000.0,-480.0,-348.0,-117.0,-508.57142857142856
46,-151.0,-245.0,-1000.0,-1000.0,-690.0,-225.0,-103.0,-487.7142857142857
47,-163.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-105.0,-752.5714285714286
48,-197.0,-295.0,-1000.0,-1000.0,-323.0,-477.0,-166.0,-494.0
49,-124.0,-258.0,-1000.0,-1000.0,-293.0,-1000.0,-213.0,-555.4285714285714
50,-286.0,-149.0,-1000.0,-1000.0,-169.0,-372.0,-152.0,-446.85714285714283
51,-168.0,-351.0,-1000.0,-1000.0,-184.0,-147.0,-154.0,-429.14285714285717
52,-709.0,-568.0,-1000.0,-1000.0,-281.0,-1000.0,-173.0,-675.8571428571429
53,-249.0,-224.0,-946.0,-1000.0,-220.0,-1000.0,-175.0,-544.8571428571429
54,-734.0,-143.0,-714.0,-1000.0,-102.0,-187.0,-1000.0,-554.2857142857143
55,-687.0,-187.0,-644.0,-1000.0,-153.0,-239.0,-177.0,-441.0
56,-209.0,-136.0,-994.0,-1000.0,-221.0,-259.0,-685.0,-500.57142857142856
57,-269.0,-167.0,-299.0,-1000.0,-143.0,-132.0,-416.0,-346.57142857142856
58,-265.0,-1000.0,-289.0,-1000.0,-384.0,-526.0,-431.0,-556.4285714285714
59,-261.0,-200.0,-701.0,-1000.0,-152.0,-262.0,-1000.0,-510.85714285714283
60,-142.0,-141.0,-507.0,-1000.0,-95.0,-182.0,-301.0,-338.2857142857143
61,-214.0,-297.0,-223.0,-1000.0,-167.0,-234.0,-486.0,-374.42857142857144
62,-176.0,-314.0,-177.0,-1000.0,-169.0,-193.0,-959.0,-426.85714285714283
63,-142.0,-222.0,-1000.0,-1000.0,-186.0,-359.0,-443.0,-478.85714285714283
64,-173.0,-616.0,-228.0,-1000.0,-213.0,-246.0,-339.0,-402.14285714285717
65,-197.0,-118.0,-365.0,-1000.0,-100.0,-1000.0,-1000.0,-540.0
66,-162.0,-189.0,-444.0,-1000.0,-173.0,-200.0,-1000.0,-452.57142857142856
67,-444.0,-158.0,-327.0,-1000.0,-102.0,-941.0,-1000.0,-567.4285714285714
68,-105.0,-849.0,-420.0,-1000.0,-142.0,-195.0,-1000.0,-530.1428571428571
69,-206.0,-949.0,-411.0,-1000.0,-76.0,-1000.0,-342.0,-569.1428571428571
70,-246.0,-149.0,-275.0,-1000.0,-98.0,-1000.0,-1000.0,-538.2857142857143
71,-249.0,-412.0,-428.0,-1000.0,-143.0,-1000.0,-1000.0,-604.5714285714286
72,-116.0,-795.0,-413.0,-1000.0,-100.0,-1000.0,-1000.0,-632.0
73,-124.0,-1000.0,-217.0,-1000.0,-104.0,-969.0,-1000.0,-630.5714285714286
74,-435.0,-1000.0,-577.0,-1000.0,-134.0,-1000.0,-1000.0,-735.1428571428571
75,-477.0,-174.0,-1000.0,-1000.0,-147.0,-667.0,-1000.0,-637.8571428571429
76,-107.0,-249.0,-277.0,-1000.0,-106.0,-475.0,-254.0,-352.57142857142856
77,-174.0,-326.0,-494.0,-1000.0,-116.0,-1000.0,-1000.0,-587.1428571428571
78,-198.0,-220.0,-985.0,-1000.0,-136.0,-1000.0,-1000.0,-648.4285714285714
79,-125.0,-1000.0,-333.0,-1000.0,-92.0,-1000.0,-357.0,-558.1428571428571
80,-110.0,-150.0,-1000.0,-1000.0,-84.0,-690.0,-1000.0,-576.2857142857143
81,-134.0,-161.0,-377.0,-1000.0,-194.0,-222.0,-325.0,-344.7142857142857
82,-195.0,-171.0,-238.0,-1000.0,-138.0,-1000.0,-267.0,-429.85714285714283
83,-103.0,-204.0,-229.0,-1000.0,-87.0,-1000.0,-310.0,-419.0
84,-158.0,-387.0,-260.0,-1000.0,-118.0,-1000.0,-343.0,-466.57142857142856
85,-246.0,-188.0,-366.0,-1000.0,-89.0,-1000.0,-498.0,-483.85714285714283
86,-118.0,-165.0,-460.0,-1000.0,-109.0,-1000.0,-414.0,-466.57142857142856
87,-135.0,-245.0,-476.0,-1000.0,-105.0,-1000.0,-496.0,-493.85714285714283
88,-84.0,-114.0,-169.0,-1000.0,-138.0,-1000.0,-662.0,-452.42857142857144
89,-174.0,-717.0,-124.0,-1000.0,-107.0,-1000.0,-309.0,-490.14285714285717
90,-191.0,-217.0,-364.0,-1000.0,-107.0,-1000.0,-554.0,-490.42857142857144
91,-215.0,-151.0,-445.0,-1000.0,-95.0,-1000.0,-711.0,-516.7142857142857
92,-110.0,-164.0,-271.0,-1000.0,-109.0,-1000.0,-492.0,-449.42857142857144
93,-130.0,-139.0,-176.0,-1000.0,-98.0,-1000.0,-769.0,-473.14285714285717
94,-200.0,-160.0,-319.0,-1000.0,-118.0,-533.0,-342.0,-381.7142857142857
95,-217.0,-278.0,-524.0,-1000.0,-189.0,-1000.0,-279.0,-498.14285714285717
96,-259.0,-228.0,-1000.0,-1000.0,-152.0,-1000.0,-182.0,-545.8571428571429
97,-158.0,-102.0,-428.0,-1000.0,-148.0,-1000.0,-373.0,-458.42857142857144
98,-353.0,-151.0,-1000.0,-1000.0,-142.0,-453.0,-331.0,-490.0
99,-546.0,-98.0,-473.0,-1000.0,-80.0,-444.0,-414.0,-436.42857142857144
100,-229.0,-174.0,-379.0,-1000.0,-133.0,-1000.0,-193.0,-444.0
