Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-127.0,-875.2857142857143
2,-1000.0,-480.0,-1000.0,-839.0,-1000.0,-1000.0,-118.0,-776.7142857142857
3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-156.0,-879.4285714285714
4,-1000.0,-1000.0,-1000.0,-420.0,-1000.0,-1000.0,-147.0,-795.2857142857143
5,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-233.0,-890.4285714285714
6,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-257.0,-893.8571428571429
7,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
8,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-409.0,-915.5714285714286
9,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-324.0,-903.4285714285714
10,-1000.0,-1000.0,-614.0,-1000.0,-1000.0,-1000.0,-234.0,-835.4285714285714
11,-1000.0,-1000.0,-496.0,-1000.0,-1000.0,-1000.0,-1000.0,-928.0
12,-1000.0,-1000.0,-695.0,-1000.0,-1000.0,-1000.0,-501.0,-885.1428571428571
13,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
14,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-459.0,-922.7142857142857
15,-1000.0,-1000.0,-396.0,-1000.0,-1000.0,-1000.0,-240.0,-805.1428571428571
16,-1000.0,-1000.0,-313.0,-1000.0,-1000.0,-1000.0,-185.0,-785.4285714285714
17,-1000.0,-934.0,-777.0,-1000.0,-1000.0,-1000.0,-252.0,-851.8571428571429
18,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-194.0,-884.8571428571429
19,-1000.0,-1000.0,-390.0,-1000.0,-1000.0,-220.0,-232.0,-691.7142857142857
20,-251.0,-919.0,-386.0,-1000.0,-1000.0,-235.0,-188.0,-568.4285714285714
21,-251.0,-1000.0,-727.0,-1000.0,-1000.0,-279.0,-104.0,-623.0
22,-237.0,-1000.0,-319.0,-1000.0,-1000.0,-313.0,-203.0,-581.7142857142857
23,-989.0,-1000.0,-651.0,-1000.0,-1000.0,-197.0,-143.0,-711.4285714285714
24,-118.0,-1000.0,-447.0,-1000.0,-1000.0,-133.0,-155.0,-550.4285714285714
25,-97.0,-1000.0,-555.0,-1000.0,-1000.0,-295.0,-140.0,-583.8571428571429
26,-110.0,-468.0,-508.0,-1000.0,-944.0,-154.0,-98.0,-468.85714285714283
27,-327.0,-1000.0,-546.0,-457.0,-277.0,-112.0,-100.0,-402.7142857142857
28,-134.0,-1000.0,-1000.0,-1000.0,-662.0,-128.0,-133.0,-579.5714285714286
29,-118.0,-283.0,-1000.0,-356.0,-261.0,-189.0,-167.0,-339.14285714285717
30,-124.0,-1000.0,-1000.0,-286.0,-547.0,-583.0,-150.0,-527.1428571428571
31,-88.0,-689.0,-1000.0,-945.0,-276.0,-144.0,-221.0,-480.42857142857144
32,-147.0,-401.0,-1000.0,-181.0,-258.0,-200.0,-129.0,-330.85714285714283
33,-217.0,-1000.0,-1000.0,-159.0,-200.0,-162.0,-123.0,-408.7142857142857
34,-97.0,-1000.0,-1000.0,-406.0,-154.0,-284.0,-393.0,-476.2857142857143
35,-181.0,-840.0,-1000.0,-802.0,-334.0,-500.0,-145.0,-543.1428571428571
36,-256.0,-520.0,-1000.0,-187.0,-184.0,-214.0,-123.0,-354.85714285714283
37,-159.0,-602.0,-1000.0,-1000.0,-262.0,-154.0,-126.0,-471.85714285714283
38,-94.0,-1000.0,-1000.0,-1000.0,-214.0,-229.0,-188.0,-532.1428571428571
39,-90.0,-481.0,-1000.0,-1000.0,-442.0,-539.0,-227.0,-539.8571428571429
40,-116.0,-564.0,-1000.0,-319.0,-191.0,-182.0,-155.0,-361.0
41,-169.0,-1000.0,-1000.0,-273.0,-187.0,-1000.0,-130.0,-537.0
42,-112.0,-1000.0,-1000.0,-168.0,-149.0,-418.0,-138.0,-426.42857142857144
