Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward,Episode reward std
1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-153.0,-879.0,296.38825887676455
2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-352.0,-907.4285714285714,226.7527647604999
3,-1000.0,-499.0,-1000.0,-919.0,-328.0,-1000.0,-308.0,-722.0,304.02584476605654
4,-1000.0,-846.0,-1000.0,-462.0,-427.0,-216.0,-355.0,-615.1428571428571,301.27463909739447
5,-1000.0,-1000.0,-1000.0,-361.0,-854.0,-137.0,-253.0,-657.8571428571429,361.1455696100668
6,-1000.0,-984.0,-1000.0,-395.0,-1000.0,-178.0,-567.0,-732.0,322.19913984100845
7,-1000.0,-491.0,-1000.0,-1000.0,-1000.0,-195.0,-674.0,-765.7142857142857,299.7983676147851
8,-744.0,-486.0,-631.0,-341.0,-1000.0,-223.0,-264.0,-527.0,261.72395490560007
9,-1000.0,-702.0,-1000.0,-735.0,-1000.0,-669.0,-289.0,-770.7142857142857,240.86375181578384
10,-886.0,-404.0,-594.0,-576.0,-1000.0,-303.0,-150.0,-559.0,282.7836123762681
11,-1000.0,-361.0,-264.0,-775.0,-1000.0,-302.0,-235.0,-562.4285714285714,323.5494473769955
12,-650.0,-316.0,-1000.0,-652.0,-1000.0,-311.0,-286.0,-602.1428571428571,289.81394453852556
13,-726.0,-192.0,-320.0,-1000.0,-630.0,-244.0,-212.0,-474.85714285714283,290.1464795441033
14,-1000.0,-192.0,-212.0,-796.0,-1000.0,-241.0,-281.0,-531.7142857142857,353.2351358861259
15,-874.0,-169.0,-359.0,-553.0,-389.0,-221.0,-265.0,-404.2857142857143,224.68563072226323
16,-766.0,-189.0,-244.0,-682.0,-272.0,-289.0,-181.0,-374.7142857142857,225.04838482025164
17,-1000.0,-132.0,-115.0,-1000.0,-235.0,-162.0,-175.0,-402.7142857142857,379.37757832899865
18,-731.0,-175.0,-155.0,-371.0,-266.0,-170.0,-179.0,-292.42857142857144,192.631296331958
19,-401.0,-159.0,-101.0,-430.0,-215.0,-164.0,-170.0,-234.28571428571428,118.90898594629216
20,-147.0,-182.0,-104.0,-310.0,-265.0,-124.0,-123.0,-179.28571428571428,73.07083507648939
21,-459.0,-154.0,-157.0,-341.0,-200.0,-143.0,-231.0,-240.71428571428572,109.239859661094
22,-406.0,-417.0,-842.0,-1000.0,-185.0,-163.0,-120.0,-447.57142857142856,320.8563795945635
23,-509.0,-357.0,-317.0,-1000.0,-247.0,-130.0,-182.0,-391.7142857142857,273.59287495198004
24,-211.0,-182.0,-151.0,-1000.0,-187.0,-124.0,-179.0,-290.57142857142856,290.76493065354214
25,-105.0,-236.0,-101.0,-1000.0,-219.0,-173.0,-167.0,-285.85714285714283,295.3692258713435
26,-353.0,-139.0,-88.0,-663.0,-234.0,-119.0,-113.0,-244.14285714285714,191.12032752126797
27,-84.0,-400.0,-214.0,-739.0,-161.0,-147.0,-153.0,-271.14285714285717,212.22725593868785
28,-114.0,-374.0,-161.0,-1000.0,-184.0,-148.0,-397.0,-339.7142857142857,288.9195213133207
29,-112.0,-146.0,-314.0,-469.0,-158.0,-157.0,-178.0,-219.14285714285714,118.04893485503443
30,-103.0,-243.0,-164.0,-120.0,-165.0,-117.0,-91.0,-143.28571428571428,48.452375102374745
31,-97.0,-537.0,-575.0,-240.0,-160.0,-153.0,-145.0,-272.42857142857144,183.8150134882172
32,-118.0,-258.0,-112.0,-688.0,-190.0,-148.0,-132.0,-235.14285714285714,190.77243629250952
33,-115.0,-238.0,-187.0,-257.0,-156.0,-170.0,-161.0,-183.42857142857142,45.5470154043588
34,-107.0,-360.0,-350.0,-584.0,-172.0,-260.0,-118.0,-278.7142857142857,156.72607065989308
35,-162.0,-258.0,-634.0,-1000.0,-192.0,-177.0,-103.0,-360.85714285714283,307.5341693310232
36,-444.0,-135.0,-1000.0,-267.0,-185.0,-231.0,-142.0,-343.42857142857144,285.05581265171674
37,-320.0,-612.0,-560.0,-409.0,-116.0,-225.0,-164.0,-343.7142857142857,178.01501885732986
38,-112.0,-190.0,-917.0,-245.0,-164.0,-220.0,-198.0,-292.2857142857143,258.0258648639231
39,-93.0,-302.0,-620.0,-817.0,-177.0,-1000.0,-137.0,-449.42857142857144,335.50339880878244
40,-305.0,-198.0,-1000.0,-267.0,-166.0,-320.0,-115.0,-338.7142857142857,278.67221619966466
41,-133.0,-1000.0,-664.0,-317.0,-142.0,-256.0,-191.0,-386.14285714285717,301.7830008331098
42,-300.0,-153.0,-1000.0,-341.0,-119.0,-240.0,-272.0,-346.42857142857144,276.5464864786271
43,-122.0,-331.0,-747.0,-378.0,-140.0,-388.0,-93.0,-314.14285714285717,211.5692582120762
44,-114.0,-149.0,-1000.0,-200.0,-227.0,-318.0,-139.0,-306.7142857142857,289.9890216078209
45,-234.0,-126.0,-366.0,-1000.0,-305.0,-427.0,-321.0,-397.0,261.7850808801536
46,-174.0,-178.0,-456.0,-372.0,-144.0,-395.0,-120.0,-262.7142857142857,128.90163945063392
47,-148.0,-107.0,-311.0,-653.0,-142.0,-581.0,-232.0,-310.57142857142856,204.53770671782686
48,-122.0,-116.0,-420.0,-270.0,-234.0,-489.0,-115.0,-252.28571428571428,141.019466017704
49,-140.0,-303.0,-1000.0,-621.0,-174.0,-1000.0,-127.0,-480.7142857142857,363.6818524423763
50,-100.0,-177.0,-464.0,-1000.0,-218.0,-732.0,-197.0,-412.57142857142856,313.34046163551744
51,-143.0,-109.0,-300.0,-635.0,-310.0,-866.0,-218.0,-368.7142857142857,258.4247413441204
52,-139.0,-117.0,-350.0,-1000.0,-211.0,-1000.0,-237.0,-436.2857142857143,363.2754619080262
53,-115.0,-165.0,-255.0,-659.0,-644.0,-1000.0,-139.0,-425.2857142857143,317.97066993478427
54,-211.0,-132.0,-287.0,-1000.0,-194.0,-1000.0,-482.0,-472.2857142857143,349.05943590729413
55,-136.0,-206.0,-230.0,-484.0,-189.0,-810.0,-149.0,-314.85714285714283,229.335953552505
56,-108.0,-156.0,-229.0,-362.0,-630.0,-511.0,-549.0,-363.57142857142856,190.3446927046203
57,-116.0,-255.0,-345.0,-1000.0,-790.0,-736.0,-201.0,-491.85714285714283,318.53209238246467
58,-112.0,-451.0,-374.0,-327.0,-736.0,-554.0,-390.0,-420.57142857142856,179.4036606911569
59,-240.0,-206.0,-422.0,-310.0,-675.0,-874.0,-269.0,-428.0,234.15318551263462
60,-127.0,-413.0,-190.0,-740.0,-498.0,-747.0,-461.0,-453.7142857142857,222.94631915438703
61,-142.0,-137.0,-756.0,-304.0,-1000.0,-760.0,-183.0,-468.85714285714283,332.77724362935487
62,-126.0,-113.0,-426.0,-1000.0,-230.0,-431.0,-286.0,-373.14285714285717,281.8127182425685
63,-247.0,-108.0,-448.0,-418.0,-830.0,-481.0,-147.0,-382.7142857142857,228.24780661484965
64,-158.0,-120.0,-395.0,-605.0,-165.0,-244.0,-138.0,-260.7142857142857,165.3634216641933
65,-126.0,-123.0,-529.0,-612.0,-1000.0,-167.0,-132.0,-384.14285714285717,315.7175177597977
66,-143.0,-180.0,-313.0,-1000.0,-1000.0,-285.0,-119.0,-434.2857142857143,363.70620572329074
67,-192.0,-336.0,-383.0,-877.0,-1000.0,-175.0,-147.0,-444.2857142857143,324.2757707726621
68,-109.0,-137.0,-531.0,-674.0,-1000.0,-289.0,-156.0,-413.7142857142857,310.90362047504334
69,-121.0,-151.0,-174.0,-534.0,-192.0,-219.0,-203.0,-227.71428571428572,128.6920069509417
70,-192.0,-218.0,-300.0,-1000.0,-1000.0,-283.0,-177.0,-452.85714285714283,348.5170332264688
71,-120.0,-129.0,-172.0,-263.0,-1000.0,-222.0,-107.0,-287.57142857142856,295.597630544755
72,-176.0,-419.0,-210.0,-1000.0,-166.0,-332.0,-153.0,-350.85714285714283,280.336750850742
73,-144.0,-483.0,-266.0,-265.0,-173.0,-228.0,-152.0,-244.42857142857142,108.10425806713118
