Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
12,,,,0.7828311361136434,,,,0.7828311361136434
15,,,,,,0.6914201591392385,,0.6914201591392385
16,,,0.5981300610636646,,,,,0.5981300610636646
18,,0.4958251137297458,,,,,,0.4958251137297458
19,,,,,,,0.5748158300303179,0.5748158300303179
22,,,,,0.3838105809770948,,,0.3838105809770948
24,0.4420781976040432,,,,,,,0.4420781976040432
25,,,,0.1054678327694107,,,,0.1054678327694107
30,,,,,,0.1238904903124008,,0.1238904903124008
32,,,0.1254338165816233,,,,,0.1254338165816233
34,,0.0656874222032519,,,,,0.1229407523775399,0.09431408729039589
37,,,,,0.0575208878482302,,,0.0575208878482302
40,0.055383340355626,,,,,,,0.055383340355626
45,,,,0.0787642798539731,,,,0.0787642798539731
49,,,,,,,0.0717454649371045,0.0717454649371045
51,,,0.0649809984229869,,,,,0.0649809984229869
52,0.0421690550968213,,,,0.0325565345493409,,,0.037362794823081094
58,,,,,,0.0680018481495777,,0.0680018481495777
62,,,,0.0253001435663616,,,,0.0253001435663616
64,,,,,,,0.022470891741062,0.022470891741062
67,,,0.0320590369712193,,,0.0119620482824966,,0.02201054262685795
68,,,,,0.0195351596623769,,,0.0195351596623769
72,,0.0505677578181756,,,,,,0.0505677578181756
77,0.0325770757983066,,,,,,,0.0325770757983066
78,,,,0.029702630978388,,,,0.029702630978388
80,,,,,0.0089773999167979,0.0109476318296857,,0.0099625158732418
89,,,0.0387374446221946,0.0105270278070893,,,0.0267076446987025,0.025324039042662134
90,,,,,0.0140178210221436,,,0.0140178210221436
95,,0.0275832545343746,,,,,,0.0275832545343746
101,,,,,,,0.0088362781074431,0.0088362781074431
106,,,,,0.0089282893221279,,,0.0089282893221279
109,,,,0.0179331635176818,,,,0.0179331635176818
112,,,0.0126294743914495,,,,,0.0126294743914495
119,,0.0161118041249343,,,,,,0.0161118041249343
123,,,0.0252722390238749,,,,,0.0252722390238749
131,0.0096515822347844,,,,,,,0.0096515822347844
133,,,,,,0.0066553952826495,,0.0066553952826495
138,,,,,,,0.0089165815036462,0.0089165815036462
140,,0.0264413398022212,0.0093261352481129,,,,,0.01788373752516705
146,,,,0.0221241832731792,,,,0.0221241832731792
147,,,,,0.013390903718981,,,0.013390903718981
151,,0.0166401143974203,,,,,,0.0166401143974203
155,0.0062911129902213,,,,,,,0.0062911129902213
156,,,,,,,0.0238020046132962,0.0238020046132962
158,,,,,0.0252550699536503,0.0055990932693613,,0.0154270816115058
163,,0.0154147539042233,,,,,,0.0154147539042233
169,,,0.0100121394967702,,,,,0.0100121394967702
173,0.0061186357060575,,,,,,,0.0061186357060575
178,,0.014698166187415,,,,,,0.014698166187415
184,,,,,0.0092149961776009,,,0.0092149961776009
187,,,0.0140945434641107,,,,,0.0140945434641107
190,,,,,,0.0076421425532039,,0.0076421425532039
192,,0.0123562209549382,,,,,,0.0123562209549382
193,,,,0.0518372195634297,,,,0.0518372195634297
195,0.0088616734011443,,,,,,,0.0088616734011443
205,,,0.0097724420924702,,0.0103848244322679,,,0.01007863326236905
206,,0.0211717421656023,,,,,,0.0211717421656023
209,0.0133088002472297,,,,,,,0.0133088002472297
212,,,,,,0.0061146096396598,,0.0061146096396598
214,,,,0.011586394814485,,,,0.011586394814485
222,,,0.0188449251580317,,,,,0.0188449251580317
228,,,,,0.0047669864656677,,,0.0047669864656677
229,0.0073677857366533,,,,,,,0.0073677857366533
235,,,0.0148404520255888,,,,,0.0148404520255888
238,,,,,,,0.0066527934004862,0.0066527934004862
243,,,,,,0.00711142115557,,0.00711142115557
247,,,0.0131379213844898,,,,,0.0131379213844898
254,,,,,,0.0150789591010183,,0.0150789591010183
259,,0.0281555556006062,,,,,,0.0281555556006062
262,0.0123830279347759,,,,,,,0.0123830279347759
263,,,,,,,0.0284703347551852,0.0284703347551852
264,,,,,,0.0115652552045895,,0.0115652552045895
265,,,,,0.0110667916374184,,,0.0110667916374184
266,,,0.0082051222117658,,,,,0.0082051222117658
270,,,,0.0231008710274746,,,,0.0231008710274746
274,,0.0143647943299706,,,,,,0.0143647943299706
276,,,,,0.0324428570761226,,,0.0324428570761226
283,,,,,,0.0139781025362265,,0.0139781025362265
284,,,0.0073310738339305,,,,,0.0073310738339305
289,,0.0243772875239913,,,,,,0.0243772875239913
291,,,,,0.009739331041948,,,0.009739331041948
293,0.01099916748446,,,,,,,0.01099916748446
299,,,,0.0103186941507162,,,,0.0103186941507162
301,,,,,0.0156563076698341,,,0.0156563076698341
305,,,,,,,0.0056189238517585,0.0056189238517585
306,,0.0266196479724807,,,,,,0.0266196479724807
309,,,,,0.0294981512272289,,,0.0294981512272289
311,,,0.0169101778627715,,,,,0.0169101778627715
319,0.0026051128658352,,,,,,,0.0026051128658352
320,,,,,,0.006827131771185,,0.006827131771185
322,,,,,,,0.0086365439852529,0.0086365439852529
325,,,0.0237785099366538,0.0170675746414687,,,,0.02042304228906125
330,,,,,0.0060855140959916,,,0.0060855140959916
331,,0.0314451763579726,,,,0.0242607127319954,,0.027852944544984
334,0.0114859123759016,,,,,,0.0236192145615806,0.0175525634687411
340,,,,0.0204668334457303,,,,0.0204668334457303
346,,,,,,,0.005233981942835,0.005233981942835
347,0.0077585183893572,0.0138729759082052,,,,,,0.0108157471487812
354,,,0.0152122686102991,,,,,0.0152122686102991
355,,,,0.0121783387947754,,,,0.0121783387947754
356,,,,,,0.0084610650892637,,0.0084610650892637
357,,,,,0.0230837660447696,,,0.0230837660447696
358,,0.0134891744181315,,,,,,0.0134891744181315
360,0.0162873248489192,,,,,,,0.0162873248489192
364,,,,,,,0.0364604063643212,0.0364604063643212
367,,,,0.0081690828224928,,0.0230133873476868,,0.0155912350850898
374,,,,,0.0219994323727828,,,0.0219994323727828
375,,0.0200863766843905,,,,,,0.0200863766843905
380,0.0092231684743438,,0.0179197257622248,,,,,0.013571447118284301
381,,,,,,,0.0197655965252657,0.0197655965252657
385,,,,,,0.0150283471472122,,0.0150283471472122
387,,,,0.0208887481091943,,,,0.0208887481091943
394,,,0.0136640477434065,,,,,0.0136640477434065
399,,,,,,,0.0369347175727213,0.0369347175727213
405,,,,0.0229997289336574,,,,0.0229997289336574
406,,,,,0.0103476482664298,,,0.0103476482664298
407,,0.032295625298671,,,,,,0.032295625298671
412,,,,,,,0.0310113164826736,0.0310113164826736
416,,,,,0.0220953105207981,,,0.0220953105207981
417,0.0073543826079344,,,,,,,0.0073543826079344
418,,,,,,0.0055966067249765,,0.0055966067249765
420,,,0.0098234010357532,0.064934246894696,,,,0.0373788239652246
426,,0.0293883894923375,,,,,,0.0293883894923375
430,,,,,,0.0061466571878169,,0.0061466571878169
432,,,,,0.01662394178919,,,0.01662394178919
436,0.0034360712837136,,,,,,,0.0034360712837136
438,,,,0.0282709452432262,,,,0.0282709452432262
439,,,,,,0.0251612563802579,,0.0251612563802579
443,,,0.016817218070854,,,,,0.016817218070854
445,,,,,,,0.0184091986210623,0.0184091986210623
449,,0.0175135712792467,,,,,,0.0175135712792467
451,,,,,0.0097812360617421,,,0.0097812360617421
458,,,,,,,0.00809827507974,0.00809827507974
459,,,0.0155237879226929,0.0329888495470274,,,,0.02425631873486015
460,,,,,,0.0036503899114154,,0.0036503899114154
461,0.0050082093848712,0.0142234471426616,,,,,,0.0096158282637664
470,,,,,,,0.0217956717674366,0.0217956717674366
475,,,0.0092707540312685,0.019904605615795,,0.0168325993426882,,0.015335986329917234
483,0.0086114371007222,,,,,,,0.0086114371007222
490,,,0.00913665077184,,,,,0.00913665077184
497,,,,0.015184307346374,0.0097626145575459,,0.0174839340235922,0.014143618642504033
