Epoch time step,Epoch number,Episode reward
400,1,8.0
800,2,8.0
1200,3,8.0
1600,4,10.0
2000,5,10.0
2400,6,10.0
2800,7,8.0
3200,8,12.0
3600,9,8.0
4000,10,11.0
4400,11,13.0
4800,12,11.0
5200,13,9.0
5600,14,20.0
6000,15,16.0
6400,16,12.0
6800,17,14.0
7200,18,12.0
7600,19,10.0
8000,20,1000.0
8400,21,164.0
8800,22,1000.0
9200,23,81.0
9600,24,58.0
10000,25,12.0
10400,26,20.0
10800,27,69.0
11200,28,12.0
11600,29,25.0
12000,30,129.0
12400,31,115.0
12800,32,81.0
13200,33,181.0
13600,34,83.0
14000,35,88.0
14400,36,221.0
14800,37,99.0
15200,38,113.0
15600,39,111.0
16000,40,177.0
16400,41,117.0
16800,42,194.0
17200,43,74.0
17600,44,96.0
18000,45,77.0
18400,46,115.0
18800,47,120.0
19200,48,133.0
19600,49,172.0
20000,50,109.0
20400,51,149.0
20800,52,160.0
21200,53,130.0
21600,54,257.0
22000,55,172.0
22400,56,204.0
22800,57,241.0
23200,58,161.0
23600,59,153.0
24000,60,167.0
24400,61,145.0
24800,62,178.0
25200,63,316.0
25600,64,128.0
26000,65,109.0
26400,66,414.0
26800,67,129.0
27200,68,163.0
27600,69,287.0
28000,70,309.0
28400,71,121.0
28800,72,171.0
29200,73,237.0
29600,74,213.0
30000,75,157.0
30400,76,217.0
30800,77,126.0
31200,78,122.0
31600,79,163.0
32000,80,122.0
32400,81,161.0
32800,82,300.0
33200,83,116.0
33600,84,125.0
34000,85,96.0
34400,86,146.0
34800,87,119.0
35200,88,177.0
35600,89,124.0
36000,90,98.0
36400,91,159.0
36800,92,117.0
37200,93,215.0
37600,94,259.0
38000,95,119.0
38400,96,116.0
38800,97,113.0
39200,98,131.0
39600,99,153.0
40000,100,27.0
