Epoch time step,Epoch number,Episode reward
400,1,10.0
800,2,32.0
1200,3,13.0
1600,4,9.0
2000,5,48.0
2400,6,19.0
2800,7,10.0
3200,8,286.0
3600,9,124.0
4000,10,109.0
4400,11,28.0
4800,12,19.0
5200,13,100.0
5600,14,68.0
6000,15,9.0
6400,16,50.0
6800,17,116.0
7200,18,168.0
7600,19,91.0
8000,20,18.0
8400,21,29.0
8800,22,72.0
9200,23,114.0
9600,24,89.0
10000,25,79.0
10400,26,113.0
10800,27,57.0
11200,28,70.0
11600,29,69.0
12000,30,211.0
12400,31,85.0
12800,32,98.0
13200,33,244.0
13600,34,373.0
14000,35,174.0
14400,36,101.0
14800,37,30.0
15200,38,64.0
15600,39,204.0
16000,40,85.0
16400,41,175.0
16800,42,262.0
17200,43,122.0
17600,44,85.0
18000,45,116.0
18400,46,107.0
18800,47,112.0
19200,48,168.0
19600,49,127.0
20000,50,83.0
20400,51,156.0
20800,52,259.0
21200,53,134.0
21600,54,189.0
22000,55,129.0
22400,56,107.0
22800,57,102.0
23200,58,152.0
23600,59,103.0
24000,60,178.0
24400,61,116.0
24800,62,156.0
25200,63,135.0
25600,64,194.0
26000,65,282.0
26400,66,193.0
26800,67,91.0
27200,68,122.0
27600,69,179.0
28000,70,208.0
28400,71,135.0
28800,72,155.0
29200,73,458.0
29600,74,111.0
30000,75,325.0
30400,76,205.0
30800,77,113.0
31200,78,115.0
31600,79,117.0
32000,80,492.0
32400,81,107.0
32800,82,144.0
33200,83,368.0
33600,84,225.0
34000,85,113.0
34400,86,188.0
34800,87,204.0
35200,88,272.0
35600,89,266.0
36000,90,160.0
36400,91,160.0
36800,92,108.0
37200,93,103.0
37600,94,93.0
38000,95,105.0
38400,96,144.0
38800,97,14.0
39200,98,15.0
39600,99,12.0
40000,100,227.0
