Epoch time step,Epoch number,Episode reward,N steps
400,1,8.0,5
800,2,24.0,5
1200,3,8.0,5
1600,4,10.0,5
2000,5,11.0,5
2400,6,12.0,5
2800,7,77.0,5
3200,8,10.0,5
3600,9,228.0,5
4000,10,31.0,5
4400,11,33.0,5
4800,12,60.0,5
5200,13,8.0,5
5600,14,19.0,5
6000,15,10.0,5
6400,16,123.0,5
6800,17,53.0,5
7200,18,41.0,5
7600,19,52.0,5
8000,20,23.0,5
8400,21,22.0,5
8800,22,101.0,5
9200,23,30.0,4
9600,24,50.0,4
10000,25,150.0,3
10400,26,105.0,3
10800,27,23.0,3
11200,28,56.0,3
11600,29,70.0,3
12000,30,77.0,3
12400,31,51.0,3
12800,32,100.0,3
13200,33,71.0,3
13600,34,38.0,2
14000,35,40.0,2
14400,36,79.0,2
14800,37,28.0,2
15200,38,175.0,3
15600,39,135.0,3
16000,40,159.0,2
16400,41,78.0,2
16800,42,86.0,2
17200,43,101.0,2
17600,44,90.0,2
18000,45,87.0,2
18400,46,114.0,3
18800,47,81.0,3
19200,48,116.0,3
19600,49,148.0,3
20000,50,164.0,4
20400,51,173.0,4
20800,52,146.0,4
21200,53,113.0,3
21600,54,109.0,3
22000,55,168.0,3
22400,56,125.0,2
22800,57,145.0,2
23200,58,224.0,3
23600,59,136.0,4
24000,60,183.0,4
24400,61,163.0,5
24800,62,139.0,4
25200,63,161.0,4
25600,64,185.0,3
26000,65,169.0,3
26400,66,209.0,3
26800,67,153.0,2
27200,68,161.0,2
27600,69,198.0,2
28000,70,131.0,3
28400,71,161.0,2
28800,72,331.0,2
29200,73,126.0,2
29600,74,138.0,3
30000,75,363.0,3
30400,76,114.0,4
30800,77,114.0,3
31200,78,162.0,3
31600,79,139.0,2
32000,80,302.0,2
32400,81,130.0,2
32800,82,129.0,2
33200,83,161.0,3
33600,84,115.0,3
34000,85,18.0,3
34400,86,178.0,2
34800,87,124.0,2
35200,88,158.0,3
35600,89,101.0,2
36000,90,238.0,2
36400,91,114.0,2
36800,92,117.0,3
37200,93,175.0,3
37600,94,154.0,4
38000,95,25.0,4
38400,96,124.0,4
38800,97,107.0,3
39200,98,97.0,4
39600,99,113.0,4
40000,100,137.0,4
