Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss,N steps
26,1,26.0,1.5464176759123802,0.9707424764781177,0.6277362782376266,10.608073106178871,5
42,2,16.0,4.391477108001709,0.5788749050320303,0.1318178122748864,1.495842531323433,5
60,3,18.0,4.772304137547811,0.145082051595797,0.030400839387899035,1.2105692724386852,5
71,4,11.0,4.426822185516357,0.0764458737445385,0.017268792497393166,1.315637463873083,5
91,5,20.0,4.4647864818573,0.06558470709230065,0.01468932665846501,1.2455167844891548,5
108,6,17.0,4.52704241696526,0.06700825549613057,0.014801773282488946,1.065195925095502,5
118,7,10.0,4.607778930664063,0.04625080126969414,0.01003754780028663,1.1908718198537827,5
139,8,21.0,4.447197028568813,0.059039799616871814,0.0132757328352218,1.3761660967554366,5
178,9,39.0,4.520769962897668,0.10716290178132737,0.023704568615705322,1.2259056743903038,5
232,10,54.0,4.49659342235989,0.06891644541927722,0.015326367973715683,1.2715083139914054,5
254,11,22.0,4.470627763054588,0.038401407215119344,0.00858971250804413,1.3214814906770533,5
271,12,17.0,4.576601365033318,0.07169243504340735,0.015664994463175277,1.2155944073901457,5
283,13,12.0,4.457734028498332,0.05296884926496357,0.0118824606686566,1.2843202203512192,5
300,14,17.0,4.50335168838501,0.04798279097494226,0.010654906455273946,1.272259985699373,5
313,15,13.0,4.518591257242056,0.0330630713150136,0.0073171193039473555,1.2335673433083754,5
327,16,14.0,4.6338527883802145,0.03069325477959451,0.0066237008772830445,0.9376060834952763,5
355,17,28.0,4.498178005218506,0.08794357880646766,0.019550933445595307,1.3995027669838496,5
394,18,39.0,4.472297191619873,0.07480170192287143,0.016725566016282147,1.274005338931695,5
432,19,38.0,4.5254639324389005,0.11782466315923285,0.026035930220249,1.2030056958135806,5
479,20,47.0,4.553299731396614,0.087171419899938,0.019144669809206757,1.1761651178623767,5
498,21,19.0,4.523639177021227,0.09753162455155724,0.021560434140501204,1.2079501936310215,5
507,22,9.0,4.533148818545872,0.1312133825004449,0.028945306618575802,0.7171500987476773,5
522,23,15.0,4.5752468744913735,0.13760991979101025,0.03007704798581131,1.2865296920140585,5
538,24,16.0,4.511292636394501,0.07594421686020952,0.016834247516451382,1.2138363048434258,5
550,25,12.0,4.600792407989502,0.041110899318520036,0.00893561275382235,0.9758567735552788,5
575,26,25.0,4.545982131958008,0.08707872959339345,0.01915509719698076,1.2124093961715698,5
588,27,13.0,4.561307356907771,0.0373784348391439,0.00819467576166227,1.0697731192295368,5
639,28,51.0,4.495245512794046,0.14101854744181305,0.03137059967925137,1.276600356487667,5
668,29,29.0,4.5781583292730925,0.16453227249616478,0.03593852826018116,1.1016134629989494,5
685,30,17.0,4.606265544891357,0.07819308708646781,0.016975375458583568,1.0886588412172653,5
700,31,15.0,4.415726661682129,0.07774888351062134,0.01760726817293615,1.3488131841023763,5
729,32,29.0,4.56301629954371,0.0743748160516571,0.0162994850706745,1.2031147079221134,5
754,33,25.0,4.526807327270507,0.09084484006469404,0.020068192325620807,1.333228943347931,5
764,34,10.0,4.434380722045899,0.060982887811628084,0.013752289583175956,0.9766011387109756,5
800,35,36.0,4.586832933955723,0.17209802390634354,0.0375200113857046,1.2142845102482371,5
825,36,25.0,4.514084815979004,0.11529331888741774,0.02554079588387468,1.261157203912735,5
857,37,32.0,4.500688090920448,0.07866180007475473,0.01747772751314286,1.3333617867901921,5
865,38,8.0,4.3507707715034485,0.07061636867037094,0.01623077205834239,1.1082247197628021,5
877,39,12.0,4.627409974733989,0.06993770836029803,0.015113791244381468,1.0048619732260704,5
891,40,14.0,4.505735908235822,0.07995387404943194,0.017744909084282553,1.1703011734145028,5
936,41,45.0,4.557759899563259,0.07080692724419188,0.015535466721486766,1.189063537783093,5
978,42,42.0,4.584441991079421,0.13914761403936438,0.030352137579693017,1.1315093583294324,5
