Epoch time step,Epoch number,Episode reward,N steps
400,1,8.0,6
800,2,8.0,6
1200,3,13.0,6
1600,4,9.0,6
2000,5,10.0,6
2400,6,12.0,6
2800,7,32.0,6
3200,8,14.0,6
3600,9,17.0,6
4000,10,22.0,6
4400,11,58.0,6
4800,12,11.0,6
5200,13,14.0,6
5600,14,8.0,5
6000,15,97.0,5
6400,16,81.0,5
6800,17,45.0,5
7200,18,111.0,5
7600,19,20.0,5
8000,20,16.0,5
8400,21,11.0,5
8800,22,15.0,5
9200,23,18.0,5
9600,24,30.0,5
10000,25,145.0,5
10400,26,31.0,5
10800,27,69.0,5
11200,28,52.0,5
11600,29,30.0,5
12000,30,76.0,5
12400,31,58.0,5
12800,32,53.0,5
13200,33,29.0,5
13600,34,92.0,5
14000,35,40.0,5
14400,36,81.0,5
14800,37,181.0,5
15200,38,69.0,5
15600,39,34.0,5
16000,40,99.0,5
16400,41,143.0,5
16800,42,29.0,5
17200,43,73.0,6
17600,44,43.0,6
18000,45,230.0,6
18400,46,22.0,6
18800,47,77.0,6
19200,48,73.0,6
19600,49,22.0,6
20000,50,42.0,6
20400,51,73.0,6
20800,52,93.0,6
21200,53,65.0,6
21600,54,140.0,6
22000,55,27.0,6
22400,56,92.0,6
22800,57,138.0,6
23200,58,262.0,6
23600,59,111.0,6
24000,60,109.0,6
24400,61,237.0,6
24800,62,147.0,6
25200,63,123.0,6
25600,64,140.0,6
26000,65,258.0,6
26400,66,90.0,6
26800,67,82.0,6
27200,68,12.0,6
27600,69,481.0,6
28000,70,16.0,6
28400,71,185.0,6
28800,72,15.0,6
29200,73,125.0,6
29600,74,122.0,6
30000,75,237.0,6
30400,76,313.0,6
30800,77,196.0,6
31200,78,178.0,6
31600,79,110.0,6
32000,80,286.0,6
32400,81,120.0,6
32800,82,115.0,6
33200,83,655.0,6
33600,84,262.0,6
34000,85,193.0,6
34400,86,198.0,6
34800,87,135.0,7
35200,88,178.0,7
35600,89,173.0,7
36000,90,24.0,7
36400,91,111.0,7
36800,92,25.0,7
37200,93,222.0,7
37600,94,154.0,7
38000,95,133.0,8
38400,96,123.0,8
38800,97,759.0,8
39200,98,94.0,8
39600,99,15.0,8
40000,100,231.0,8
