Epoch time step,Epoch number,Episode reward
400,1,39.0
800,2,51.0
1200,3,11.0
1600,4,12.0
2000,5,11.0
2400,6,8.0
2800,7,9.0
3200,8,9.0
3600,9,11.0
4000,10,11.0
4400,11,11.0
4800,12,11.0
5200,13,20.0
5600,14,11.0
6000,15,11.0
6400,16,11.0
6800,17,12.0
7200,18,17.0
7600,19,13.0
8000,20,269.0
8400,21,13.0
8800,22,138.0
9200,23,100.0
9600,24,23.0
10000,25,75.0
10400,26,137.0
10800,27,158.0
11200,28,82.0
11600,29,195.0
12000,30,96.0
12400,31,164.0
12800,32,78.0
13200,33,98.0
13600,34,19.0
14000,35,67.0
14400,36,111.0
14800,37,101.0
15200,38,75.0
15600,39,29.0
16000,40,69.0
16400,41,101.0
16800,42,94.0
17200,43,88.0
17600,44,89.0
18000,45,85.0
18400,46,146.0
18800,47,85.0
19200,48,74.0
19600,49,71.0
20000,50,82.0
20400,51,130.0
20800,52,86.0
21200,53,82.0
21600,54,87.0
22000,55,82.0
22400,56,84.0
22800,57,78.0
23200,58,88.0
23600,59,95.0
24000,60,103.0
24400,61,109.0
24800,62,116.0
25200,63,89.0
25600,64,130.0
26000,65,86.0
26400,66,89.0
26800,67,145.0
27200,68,117.0
27600,69,129.0
28000,70,121.0
28400,71,116.0
28800,72,115.0
29200,73,18.0
29600,74,103.0
30000,75,18.0
30400,76,222.0
30800,77,117.0
31200,78,131.0
31600,79,142.0
32000,80,231.0
32400,81,196.0
32800,82,101.0
33200,83,87.0
33600,84,106.0
34000,85,467.0
34400,86,17.0
34800,87,187.0
35200,88,119.0
35600,89,121.0
36000,90,18.0
36400,91,114.0
36800,92,113.0
37200,93,116.0
37600,94,117.0
38000,95,124.0
38400,96,113.0
38800,97,108.0
39200,98,18.0
39600,99,115.0
40000,100,96.0
