Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,5,5,5,5,5,5,5,5.0
2,5,5,5,5,5,5,5,5.0
3,5,5,5,4,5,5,4,4.714285714285714
4,5,5,5,4,5,5,4,4.714285714285714
5,5,5,5,4,5,5,4,4.714285714285714
6,5,5,5,4,5,5,3,4.571428571428571
7,5,5,4,4,5,5,3,4.428571428571429
8,5,5,3,4,5,5,3,4.285714285714286
9,5,5,3,4,5,5,3,4.285714285714286
10,4,5,3,4,5,5,3,4.142857142857143
11,4,5,3,4,5,5,3,4.142857142857143
12,3,5,3,4,5,5,3,4.0
13,3,4,3,4,5,5,3,3.857142857142857
14,3,4,3,5,5,5,3,4.0
15,3,4,3,4,5,5,3,3.857142857142857
16,3,4,3,4,5,5,3,3.857142857142857
17,3,4,3,4,5,5,3,3.857142857142857
18,3,3,4,3,5,5,2,3.5714285714285716
19,3,3,4,3,5,5,3,3.7142857142857144
20,3,3,4,3,5,5,3,3.7142857142857144
21,3,2,4,3,5,5,3,3.5714285714285716
22,3,2,4,3,5,5,4,3.7142857142857144
23,3,2,4,3,5,5,4,3.7142857142857144
24,4,2,5,3,5,5,4,4.0
25,4,2,5,3,5,5,4,4.0
26,4,2,5,2,5,5,4,3.857142857142857
27,4,2,5,2,5,5,4,3.857142857142857
28,4,3,5,2,6,5,4,4.142857142857143
29,4,3,5,2,6,5,4,4.142857142857143
30,4,3,5,2,6,5,4,4.142857142857143
31,4,3,5,2,6,5,4,4.142857142857143
32,3,4,5,2,6,5,4,4.142857142857143
33,3,4,5,2,6,5,4,4.142857142857143
34,3,4,5,2,6,5,4,4.142857142857143
35,3,4,5,2,6,5,4,4.142857142857143
36,3,4,5,2,6,5,4,4.142857142857143
37,2,4,5,2,6,5,4,4.0
38,2,5,5,2,6,6,5,4.428571428571429
39,3,5,5,2,6,6,5,4.571428571428571
40,3,5,5,2,6,6,5,4.571428571428571
41,3,5,5,2,6,6,5,4.571428571428571
42,2,5,4,2,6,6,5,4.285714285714286
43,2,5,4,2,6,6,5,4.285714285714286
44,2,5,4,2,6,6,5,4.285714285714286
45,2,5,4,2,6,6,5,4.285714285714286
46,2,5,5,2,6,6,5,4.428571428571429
47,2,5,5,2,6,6,6,4.571428571428571
48,1,5,5,2,6,6,6,4.428571428571429
49,1,5,5,2,6,7,6,4.571428571428571
50,1,5,5,2,6,7,6,4.571428571428571
51,1,4,5,2,6,7,6,4.428571428571429
52,1,4,5,2,6,7,6,4.428571428571429
53,1,4,5,2,6,7,6,4.428571428571429
54,1,4,5,2,6,7,6,4.428571428571429
55,1,4,5,3,6,7,6,4.571428571428571
56,1,4,4,3,7,7,6,4.571428571428571
57,1,4,4,3,7,7,6,4.571428571428571
58,1,4,4,3,7,8,6,4.714285714285714
59,2,4,4,3,8,8,6,5.0
60,2,4,4,3,8,8,6,5.0
61,2,4,5,3,7,8,6,5.0
62,2,4,5,3,7,9,6,5.142857142857143
63,2,5,5,3,7,9,6,5.285714285714286
64,2,5,5,3,7,9,6,5.285714285714286
65,2,5,5,3,7,9,6,5.285714285714286
66,2,5,5,3,7,9,6,5.285714285714286
67,2,5,5,3,7,9,6,5.285714285714286
68,2,5,5,3,7,9,6,5.285714285714286
69,2,5,5,3,7,9,6,5.285714285714286
70,2,5,5,3,7,9,6,5.285714285714286
71,2,5,5,3,7,9,6,5.285714285714286
72,2,5,5,3,7,9,6,5.285714285714286
73,2,6,5,3,7,9,6,5.428571428571429
74,3,6,5,3,7,9,6,5.571428571428571
75,3,6,5,3,7,9,6,5.571428571428571
76,3,6,5,3,7,9,6,5.571428571428571
77,3,6,5,3,7,8,6,5.428571428571429
78,3,6,5,3,7,8,6,5.428571428571429
79,3,6,5,3,7,8,6,5.428571428571429
80,3,7,5,3,7,8,6,5.571428571428571
81,3,7,4,3,7,8,6,5.428571428571429
82,3,7,4,3,7,8,7,5.571428571428571
83,3,7,4,3,8,8,7,5.714285714285714
84,3,8,4,4,8,8,7,6.0
85,3,8,4,4,8,8,7,6.0
86,3,8,4,4,8,8,7,6.0
87,3,8,4,4,8,8,7,6.0
88,3,8,4,4,8,8,7,6.0
89,2,7,3,4,8,8,7,5.571428571428571
90,2,7,3,4,8,8,7,5.571428571428571
91,2,7,3,4,8,8,7,5.571428571428571
92,2,7,3,4,8,8,7,5.571428571428571
93,2,7,3,4,8,8,7,5.571428571428571
94,2,7,3,4,8,7,8,5.571428571428571
95,2,7,3,4,8,7,8,5.571428571428571
96,1,7,3,4,8,7,8,5.428571428571429
97,1,7,4,4,8,7,8,5.571428571428571
98,1,7,4,4,8,7,8,5.571428571428571
99,1,7,4,3,8,7,7,5.285714285714286
100,1,7,4,3,8,7,7,5.285714285714286
