Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,9.0,10.0,12.0,8.0,12.0,11.0,9.0,10.142857142857142
2,11.0,12.0,11.0,16.0,8.0,10.0,13.0,11.571428571428571
3,15.0,9.0,10.0,27.0,8.0,8.0,18.0,13.571428571428571
4,11.0,9.0,10.0,52.0,12.0,12.0,123.0,32.714285714285715
5,39.0,142.0,36.0,12.0,18.0,13.0,10.0,38.57142857142857
6,25.0,14.0,11.0,49.0,9.0,19.0,10.0,19.571428571428573
7,27.0,57.0,10.0,21.0,8.0,11.0,9.0,20.428571428571427
8,26.0,67.0,18.0,64.0,86.0,10.0,12.0,40.42857142857143
9,13.0,120.0,8.0,532.0,10.0,24.0,91.0,114.0
10,25.0,17.0,23.0,10.0,8.0,32.0,12.0,18.142857142857142
11,117.0,19.0,10.0,29.0,19.0,112.0,126.0,61.714285714285715
12,10.0,32.0,8.0,88.0,30.0,38.0,18.0,32.0
13,8.0,10.0,40.0,39.0,61.0,85.0,82.0,46.42857142857143
14,11.0,39.0,25.0,53.0,38.0,24.0,36.0,32.285714285714285
15,55.0,11.0,121.0,84.0,10.0,90.0,76.0,63.857142857142854
16,119.0,104.0,25.0,20.0,31.0,28.0,10.0,48.142857142857146
17,72.0,28.0,37.0,60.0,125.0,45.0,21.0,55.42857142857143
18,101.0,223.0,8.0,10.0,35.0,11.0,148.0,76.57142857142857
19,11.0,35.0,56.0,53.0,24.0,124.0,38.0,48.714285714285715
20,34.0,11.0,65.0,32.0,170.0,75.0,16.0,57.57142857142857
21,11.0,55.0,180.0,259.0,37.0,9.0,12.0,80.42857142857143
22,68.0,31.0,17.0,24.0,39.0,26.0,53.0,36.857142857142854
23,18.0,99.0,99.0,46.0,8.0,209.0,32.0,73.0
24,113.0,35.0,16.0,34.0,30.0,47.0,148.0,60.42857142857143
25,43.0,86.0,40.0,34.0,47.0,11.0,35.0,42.285714285714285
26,89.0,36.0,42.0,43.0,23.0,47.0,20.0,42.857142857142854
27,11.0,123.0,31.0,22.0,117.0,47.0,128.0,68.42857142857143
28,57.0,90.0,71.0,63.0,25.0,8.0,91.0,57.857142857142854
