Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,7,7,7,7,7,7,7,7.0
2,7,7,7,7,7,7,7,7.0
3,7,7,7,6,7,7,7,6.857142857142857
4,7,7,7,6,7,7,7,6.857142857142857
5,7,7,7,6,7,7,7,6.857142857142857
6,7,7,7,6,7,7,7,6.857142857142857
7,7,7,7,6,7,7,7,6.857142857142857
8,7,7,7,6,7,7,7,6.857142857142857
9,6,7,7,6,7,7,7,6.714285714285714
10,6,7,7,6,7,7,7,6.714285714285714
11,6,7,7,6,6,7,7,6.571428571428571
12,6,7,7,6,6,7,7,6.571428571428571
13,6,7,7,6,5,7,7,6.428571428571429
14,6,7,7,6,5,7,7,6.428571428571429
15,6,7,7,6,5,7,7,6.428571428571429
16,6,7,7,6,5,7,7,6.428571428571429
17,6,7,7,6,5,7,7,6.428571428571429
18,6,7,7,6,5,7,7,6.428571428571429
19,6,7,7,7,5,7,7,6.571428571428571
20,6,7,7,7,5,7,7,6.571428571428571
21,5,8,7,7,5,7,7,6.571428571428571
22,5,8,7,7,5,7,7,6.571428571428571
23,6,8,6,7,5,7,7,6.571428571428571
24,6,8,6,7,5,7,7,6.571428571428571
25,6,8,6,7,5,7,7,6.571428571428571
26,6,8,6,7,5,7,7,6.571428571428571
27,5,7,6,7,5,7,7,6.285714285714286
28,5,7,6,7,5,7,7,6.285714285714286
29,5,7,6,7,4,7,8,6.285714285714286
30,5,7,6,7,4,7,8,6.285714285714286
31,5,7,6,7,4,7,8,6.285714285714286
32,5,7,6,7,4,7,8,6.285714285714286
33,4,7,5,7,4,7,7,5.857142857142857
34,4,7,5,7,4,7,7,5.857142857142857
35,4,8,5,7,3,7,7,5.857142857142857
36,4,8,5,7,3,7,7,5.857142857142857
37,4,8,5,8,3,7,7,6.0
38,4,8,5,8,3,7,7,6.0
39,4,8,4,8,2,7,8,5.857142857142857
40,4,8,4,8,2,7,8,5.857142857142857
41,5,8,4,7,1,7,8,5.714285714285714
42,5,8,4,7,1,7,8,5.714285714285714
43,5,8,4,7,1,7,8,5.714285714285714
44,5,8,4,7,1,7,8,5.714285714285714
45,5,7,5,8,2,7,7,5.857142857142857
46,5,7,5,8,2,7,7,5.857142857142857
47,4,7,4,8,2,7,6,5.428571428571429
48,4,7,4,8,2,7,6,5.428571428571429
49,4,7,4,8,2,8,5,5.428571428571429
50,4,7,4,8,2,8,5,5.428571428571429
51,5,7,3,8,3,8,5,5.571428571428571
52,5,7,3,8,3,8,5,5.571428571428571
53,5,8,3,8,2,8,4,5.428571428571429
54,5,8,3,8,2,8,4,5.428571428571429
55,6,9,4,9,2,8,3,5.857142857142857
56,6,9,4,9,2,8,3,5.857142857142857
57,6,9,4,9,2,8,3,5.857142857142857
58,6,9,4,9,2,8,3,5.857142857142857
59,7,10,4,9,2,8,2,6.0
60,7,10,4,9,2,8,2,6.0
61,7,11,4,9,3,9,2,6.428571428571429
62,7,11,4,9,3,9,2,6.428571428571429
63,7,12,4,10,4,9,2,6.857142857142857
64,7,12,4,10,4,9,2,6.857142857142857
65,7,13,4,9,4,9,2,6.857142857142857
66,7,13,4,9,4,9,2,6.857142857142857
67,7,13,4,9,4,9,1,6.714285714285714
68,7,13,4,9,4,9,1,6.714285714285714
69,7,14,4,9,5,9,2,7.142857142857143
70,7,14,4,9,5,9,2,7.142857142857143
71,7,13,5,9,5,9,3,7.285714285714286
72,7,13,5,9,5,9,3,7.285714285714286
73,6,14,5,9,5,9,3,7.285714285714286
74,6,14,5,9,5,9,3,7.285714285714286
75,6,14,4,10,6,10,3,7.571428571428571
76,6,14,4,10,6,10,3,7.571428571428571
77,7,14,4,9,5,10,3,7.428571428571429
78,7,14,4,9,5,10,3,7.428571428571429
79,7,14,4,8,5,10,3,7.285714285714286
80,7,14,4,8,5,10,3,7.285714285714286
81,8,15,5,9,6,11,3,8.142857142857142
82,8,15,5,9,6,11,3,8.142857142857142
83,7,15,6,9,7,12,4,8.571428571428571
84,7,15,6,9,7,12,4,8.571428571428571
85,7,16,6,8,6,13,3,8.428571428571429
86,7,16,6,8,6,13,3,8.428571428571429
87,6,16,5,9,5,14,3,8.285714285714286
88,6,16,5,9,5,14,3,8.285714285714286
89,7,17,5,8,6,13,4,8.571428571428571
90,7,17,5,8,6,13,4,8.571428571428571
91,6,16,6,7,7,13,5,8.571428571428571
92,6,16,6,7,7,13,5,8.571428571428571
93,5,17,6,7,7,12,5,8.428571428571429
94,5,17,6,7,7,12,5,8.428571428571429
95,6,16,7,6,6,13,6,8.571428571428571
96,6,16,7,6,6,13,6,8.571428571428571
97,5,17,7,5,5,12,5,8.0
98,5,17,7,5,5,12,5,8.0
99,6,18,8,5,6,13,6,8.857142857142858
100,6,18,8,5,6,13,6,8.857142857142858
