Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,15.0,12.0,10.0,8.0,56.0,16.0,10.0,18.142857142857142
2,13.0,25.0,20.0,10.0,17.0,10.0,10.0,15.0
3,10.0,9.0,8.0,10.0,10.0,15.0,10.0,10.285714285714286
4,9.0,9.0,9.0,12.0,8.0,8.0,12.0,9.571428571428571
5,12.0,14.0,8.0,8.0,10.0,19.0,10.0,11.571428571428571
6,17.0,9.0,8.0,10.0,10.0,9.0,10.0,10.428571428571429
7,8.0,14.0,10.0,12.0,12.0,8.0,13.0,11.0
8,14.0,12.0,163.0,10.0,14.0,10.0,9.0,33.142857142857146
9,11.0,13.0,9.0,10.0,11.0,10.0,62.0,18.0
10,9.0,13.0,12.0,14.0,42.0,15.0,115.0,31.428571428571427
11,8.0,246.0,10.0,8.0,17.0,10.0,17.0,45.142857142857146
12,13.0,15.0,131.0,10.0,63.0,14.0,9.0,36.42857142857143
13,40.0,12.0,117.0,25.0,13.0,31.0,15.0,36.142857142857146
14,92.0,19.0,14.0,15.0,19.0,125.0,51.0,47.857142857142854
15,11.0,18.0,11.0,9.0,27.0,11.0,216.0,43.285714285714285
16,106.0,13.0,14.0,78.0,77.0,11.0,10.0,44.142857142857146
17,60.0,293.0,12.0,70.0,18.0,22.0,9.0,69.14285714285714
18,19.0,84.0,151.0,87.0,25.0,47.0,13.0,60.857142857142854
19,24.0,101.0,119.0,24.0,14.0,88.0,110.0,68.57142857142857
20,19.0,11.0,231.0,40.0,14.0,53.0,10.0,54.0
21,44.0,111.0,69.0,40.0,36.0,170.0,115.0,83.57142857142857
22,67.0,68.0,50.0,50.0,84.0,191.0,241.0,107.28571428571429
23,19.0,12.0,13.0,25.0,57.0,119.0,142.0,55.285714285714285
24,117.0,54.0,52.0,21.0,26.0,134.0,108.0,73.14285714285714
25,87.0,74.0,85.0,256.0,63.0,141.0,137.0,120.42857142857143
26,36.0,132.0,66.0,49.0,121.0,247.0,88.0,105.57142857142857
27,144.0,52.0,21.0,35.0,100.0,134.0,89.0,82.14285714285714
28,126.0,75.0,55.0,34.0,67.0,152.0,111.0,88.57142857142857
29,59.0,184.0,67.0,40.0,19.0,366.0,245.0,140.0
30,79.0,98.0,67.0,59.0,22.0,82.0,89.0,70.85714285714286
31,118.0,61.0,153.0,36.0,190.0,54.0,123.0,105.0
32,153.0,14.0,85.0,72.0,80.0,100.0,136.0,91.42857142857143
33,62.0,60.0,183.0,64.0,70.0,109.0,123.0,95.85714285714286
34,80.0,95.0,76.0,227.0,93.0,162.0,263.0,142.28571428571428
35,66.0,29.0,161.0,74.0,205.0,85.0,231.0,121.57142857142857
36,135.0,108.0,61.0,131.0,121.0,111.0,297.0,137.71428571428572
37,124.0,67.0,87.0,69.0,115.0,95.0,203.0,108.57142857142857
38,98.0,289.0,85.0,64.0,188.0,176.0,118.0,145.42857142857142
39,91.0,122.0,101.0,88.0,46.0,68.0,74.0,84.28571428571429
40,116.0,127.0,175.0,23.0,82.0,200.0,105.0,118.28571428571429
41,148.0,143.0,84.0,89.0,86.0,27.0,120.0,99.57142857142857
42,65.0,81.0,190.0,204.0,29.0,87.0,91.0,106.71428571428571
43,117.0,115.0,94.0,223.0,85.0,134.0,12.0,111.42857142857143
44,77.0,77.0,81.0,20.0,63.0,132.0,112.0,80.28571428571429
45,96.0,104.0,121.0,219.0,87.0,138.0,14.0,111.28571428571429
46,169.0,136.0,205.0,48.0,82.0,77.0,112.0,118.42857142857143
47,104.0,94.0,99.0,75.0,194.0,15.0,125.0,100.85714285714286
48,91.0,126.0,110.0,82.0,102.0,181.0,121.0,116.14285714285714
49,165.0,76.0,68.0,33.0,92.0,90.0,102.0,89.42857142857143
50,155.0,30.0,105.0,87.0,70.0,144.0,90.0,97.28571428571429
