Epoch time step,Epoch number,Episode reward
400,1,52.0
800,2,12.0
1200,3,16.0
1600,4,10.0
2000,5,9.0
2400,6,130.0
2800,7,10.0
3200,8,10.0
3600,9,8.0
4000,10,21.0
4400,11,21.0
4800,12,19.0
5200,13,166.0
5600,14,13.0
6000,15,14.0
6400,16,95.0
6800,17,92.0
7200,18,12.0
7600,19,92.0
8000,20,23.0
8400,21,215.0
8800,22,13.0
9200,23,56.0
9600,24,68.0
10000,25,288.0
10400,26,103.0
10800,27,110.0
11200,28,54.0
11600,29,63.0
12000,30,200.0
12400,31,70.0
12800,32,90.0
13200,33,130.0
13600,34,77.0
14000,35,84.0
14400,36,74.0
14800,37,82.0
15200,38,60.0
15600,39,72.0
16000,40,81.0
16400,41,92.0
16800,42,79.0
17200,43,116.0
17600,44,50.0
18000,45,166.0
18400,46,112.0
18800,47,78.0
19200,48,131.0
19600,49,119.0
20000,50,119.0
20400,51,102.0
20800,52,140.0
21200,53,102.0
21600,54,81.0
22000,55,86.0
22400,56,94.0
22800,57,241.0
23200,58,87.0
23600,59,122.0
24000,60,126.0
24400,61,114.0
24800,62,154.0
25200,63,99.0
25600,64,140.0
26000,65,95.0
26400,66,104.0
26800,67,209.0
27200,68,585.0
27600,69,232.0
28000,70,123.0
28400,71,104.0
28800,72,184.0
29200,73,136.0
29600,74,103.0
30000,75,134.0
30400,76,136.0
30800,77,255.0
31200,78,125.0
31600,79,238.0
32000,80,132.0
32400,81,207.0
32800,82,136.0
33200,83,152.0
33600,84,199.0
34000,85,203.0
34400,86,264.0
34800,87,124.0
35200,88,186.0
35600,89,118.0
36000,90,156.0
36400,91,197.0
36800,92,171.0
37200,93,151.0
37600,94,139.0
38000,95,103.0
38400,96,143.0
38800,97,119.0
39200,98,232.0
39600,99,127.0
40000,100,165.0
