Episode time step,Mean silhouette score seed_0,Mean silhouette score seed_10,Mean silhouette score seed_20,Mean silhouette score seed_40,Mean silhouette score seed_60,Mean silhouette score seed_80,Mean silhouette score seed_100,Mean silhouette score
9,,,,0.54877895,,,,0.54877895
10,,,0.5020362,,0.5711178,,,0.5365770000000001
13,,0.5169808,,,,,,0.5169808
19,,,,,,,0.5150186,0.5150186
30,,0.5471318,,,,,,0.5471318
36,,,,0.5756636,0.59027195,0.5924553,,0.5861302833333334
38,0.5739922,,,,,,,0.5739922
39,,,0.5046148,,,,,0.5046148
43,,0.53767633,,,,,,0.53767633
47,0.56038857,,,,,0.5749589,,0.5676737350000001
52,,,0.5148251,,,,,0.5148251
63,,,,,,0.580099,,0.580099
67,,,,0.5735044,,,,0.5735044
70,,,,,,,0.498233,0.498233
73,,,,,0.590944,,,0.590944
78,0.5814804,,,,,,,0.5814804
79,,0.54399574,,,,,,0.54399574
81,,,,0.55901253,,,,0.55901253
82,,,,,,,0.5241663,0.5241663
86,,,0.5298055,,,,,0.5298055
87,,,,,,0.5976484,,0.5976484
92,0.5895304,,,,0.57801616,,,0.58377328
96,,0.55941176,,,,,,0.55941176
101,0.5922292,,,,,,,0.5922292
107,,,0.52392495,,,,,0.52392495
110,,,,,,0.56393296,,0.56393296
118,0.5710444,,,,,,,0.5710444
122,,,,,,0.5700153,,0.5700153
124,,0.5457384,,,,,,0.5457384
127,,,0.5156296,,,,,0.5156296
128,,,,0.57925093,,,,0.57925093
136,,0.536449,,,,,0.5253916,0.5309203
137,,,,,0.5774793,,,0.5774793
141,,,,0.60228866,,,,0.60228866
142,,,0.52444685,,,,,0.52444685
145,,,,,,,0.48533842,0.48533842
146,0.56558985,,,,,,,0.56558985
152,,,,,,0.5685895,,0.5685895
155,,,0.5109898,,,,,0.5109898
159,,,,0.582752,,,,0.582752
163,,,,,,0.56632864,,0.56632864
166,,0.53065246,0.532799,,,,,0.53172573
168,,,,,,,0.5261611,0.5261611
175,0.56379896,,,,,,,0.56379896
178,,,,,0.57746,,,0.57746
179,,,,0.56544816,,,,0.56544816
180,,,,,,,0.49373576,0.49373576
185,,,0.52925694,,,,,0.52925694
191,0.5340935,,,,,,,0.5340935
192,,0.5296674,,,,0.5696796,,0.5496734999999999
198,,,,,,,0.5138506,0.5138506
199,,,,0.573021,,,,0.573021
202,,0.5487931,,,,,,0.5487931
203,0.5696649,,,,,,,0.5696649
208,,,,0.5797747,,0.5671547,,0.5734646999999999
209,,,,,0.5681078,,,0.5681078
214,,0.54761875,,,,,,0.54761875
216,,,,,,,0.5309245,0.5309245
217,0.5730808,,,,,,,0.5730808
221,,,0.5339664,,,,,0.5339664
227,,,,0.5662528,,,,0.5662528
230,,,,,,,0.4978762,0.4978762
231,,,0.5489125,,,,,0.5489125
232,,,,,0.57309717,,,0.57309717
237,,,,,,0.5526281,,0.5526281
243,,,,,0.56226516,,,0.56226516
244,0.57014585,,,,,,,0.57014585
248,,,,,,,0.5546387,0.5546387
257,,,0.53092855,,,0.55726844,0.5449497,0.5443822300000001
267,0.5540524,,,,,,,0.5540524
271,,,,0.53946227,0.55861783,0.55204403,,0.5500413766666666
277,0.5727079,,0.5455143,,,,,0.5591111
279,,,,0.538427,,,,0.538427
281,,,,,,,0.5409398,0.5409398
294,0.55385053,,,,,,,0.55385053
297,,,,,0.5565693,,,0.5565693
298,,,0.5407454,,,,,0.5407454
300,,,,,,,0.51906645,0.51906645
303,,,,0.5565132,,,,0.5565132
304,,0.55245864,,,,,,0.55245864
306,0.5591054,,,,,,,0.5591054
310,,,,,,0.565844,,0.565844
314,,,0.5538891,,,,,0.5538891
315,,,,,,,0.55719864,0.55719864
318,,,,0.5627199,,,,0.5627199
319,,0.5715603,,,,,,0.5715603
323,,,,,0.5491697,,,0.5491697
325,,,0.5463035,,,,,0.5463035
328,,,,,,,0.56508297,0.56508297
336,,,,,,0.558935,,0.558935
341,0.5689838,,,,,,,0.5689838
342,,,,,0.53982514,,,0.53982514
347,,0.55562615,,,,,,0.55562615
348,,,,,,0.5504277,,0.5504277
350,,,,0.56073415,,,,0.56073415
355,,,,,,,0.5459988,0.5459988
356,,0.5634414,,,,,,0.5634414
357,0.55826867,,,,,,,0.55826867
358,,,,0.5375423,,,,0.5375423
364,,,,,,0.54570496,,0.54570496
366,,,0.5439302,,,,,0.5439302
370,,0.57546,,,,,,0.57546
372,,,,,0.53369385,,,0.53369385
373,0.566734,,,,,,,0.566734
374,,,,,,,0.54784274,0.54784274
383,,,,0.55979556,,,,0.55979556
384,,,,,,0.5601501,,0.5601501
387,0.548379,,,,,,,0.548379
389,,,0.55567896,,,,,0.55567896
390,,,,,0.5149816,,0.52624136,0.52061148
392,,0.5796407,,0.57522583,,,,0.577433265
402,,,,,0.53040326,,,0.53040326
404,,,,0.5513828,,,,0.5513828
406,,,,,,,0.54023075,0.54023075
407,,0.5852982,0.54766005,,,,,0.566479125
409,0.5551387,,,,,,,0.5551387
417,,,,,,0.5451385,,0.5451385
421,0.55763286,,,,,,,0.55763286
424,,,,0.56004035,,,,0.56004035
426,,0.5754768,,,,,,0.5754768
436,,,,0.5572453,,,,0.5572453
437,,,,,,,0.54089755,0.54089755
438,,,0.546457,,,,,0.546457
439,,,,,0.5273386,,,0.5273386
441,,,,,,0.5585856,,0.5585856
444,,0.58041334,,,,,,0.58041334
446,0.55292946,,,,,,,0.55292946
452,,,,,0.5301489,,,0.5301489
460,,,0.5509251,,,,,0.5509251
462,,0.56936336,,,,0.5602323,,0.5647978300000001
463,0.5487045,,,,,,,0.5487045
466,,,,0.5769629,,,,0.5769629
472,,,,,0.5195068,,,0.5195068
477,,,,,,,0.52053195,0.52053195
480,,,0.55097723,,,,,0.55097723
484,,,,,,0.5675716,,0.5675716
488,,,0.5755855,,,,,0.5755855
489,,,,0.57280916,,,,0.57280916
492,,,,,0.5354029,,,0.5354029
499,0.53653544,,,,,,,0.53653544
500,,0.56474406,,,,,,0.56474406
507,,,,,,0.5607973,,0.5607973
509,,,,,,,0.52331406,0.52331406
510,,,,,0.5154777,,,0.5154777
512,0.5441938,,,,,,,0.5441938
513,,0.5818041,0.5527188,0.5662593,,,,0.5669274
518,,,,,,0.5754882,,0.5754882
523,,,,,0.5434006,,0.5289209,0.5361607500000001
525,,,,0.55938095,,,,0.55938095
539,,0.57486624,,,,,,0.57486624
540,0.55627054,,,,,,,0.55627054
541,,,,,,0.5801106,,0.5801106
548,,,,0.54859257,,,,0.54859257
550,,,,,,0.5571236,,0.5571236
551,,0.5663046,,,,,,0.5663046
556,0.572936,,,,,,,0.572936
566,,,,,0.5392694,,,0.5392694
569,,,0.5410144,0.54332256,,,,0.54216848
574,,,,,0.55071646,,,0.55071646
575,,,,,,0.59020567,,0.59020567
577,0.563669,,,,,,,0.563669
584,,,,,,,0.53537357,0.53537357
586,,,,,,0.56568944,,0.56568944
590,,,,0.55207366,,,,0.55207366
591,,,,,0.54053235,,,0.54053235
601,,,,,,,0.5326021,0.5326021
604,,0.58155483,,,,,,0.58155483
605,,,,,,0.56442714,,0.56442714
607,,,,0.5430429,,,,0.5430429
615,,,,,,0.59890634,0.53517556,0.56704095
619,,,0.5495348,,,,,0.5495348
624,0.5689292,,,,,,,0.5689292
626,,,,,,0.59247416,,0.59247416
630,,,,,0.5549122,,,0.5549122
634,,,,0.5565669,,,,0.5565669
635,,0.5922044,,,,,,0.5922044
640,0.5782747,,,,,0.5779835,0.535176,0.5638114
643,,,,,0.55289453,,,0.55289453
651,0.5738157,,,,,,,0.5738157
652,,,0.5446975,0.52610224,,,,0.53539987
656,,,,,0.5634793,,,0.5634793
661,,,0.54109836,,,,,0.54109836
663,,,,,,0.6028921,,0.6028921
668,,,,0.53369886,,,,0.53369886
673,,0.59613234,,,,,,0.59613234
677,,,0.52583355,,,,,0.52583355
683,0.57702917,,,,,,,0.57702917
690,,,0.53791887,,,,,0.53791887
694,0.55940044,,,,,,,0.55940044
696,,,,0.5461339,,,,0.5461339
700,,0.5856795,,,,,,0.5856795
703,,,,,0.5566725,,,0.5566725
704,,,,,,0.5934046,,0.5934046
705,,,0.56030643,,,,,0.56030643
707,,,,,,,0.5602585,0.5602585
710,0.6013791,,,,,,,0.6013791
713,,,,0.5466553,,,,0.5466553
720,,,,,,,0.5588481,0.5588481
723,,,,0.5364439,,,,0.5364439
727,,,0.563157,,,,,0.563157
733,,,,,,,0.5364873,0.5364873
743,,,,,0.54899937,,,0.54899937
744,,,0.55590415,,,,,0.55590415
745,0.57012415,0.59882027,,,,,,0.58447221
746,,,,0.5398897,,,,0.5398897
757,,,0.56247306,,,,,0.56247306
761,,,,0.5383943,0.55356723,,,0.5459807649999999
771,,,0.55341935,,,,0.5492599,0.551339625
773,0.56819016,,,,,,,0.56819016
775,,,,,0.5559177,,,0.5559177
780,,0.58860403,,,,,,0.58860403
783,,,,0.5315618,,,,0.5315618
786,0.5789049,,,,,,,0.5789049
789,,,,,0.5637357,,,0.5637357
793,,,,,,,0.52023476,0.52023476
