Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,3,3,3,3,3,3,3,3.0
2,3,3,3,3,3,2,3,2.857142857142857
3,3,2,3,3,3,2,2,2.5714285714285716
4,3,2,3,3,3,2,2,2.5714285714285716
5,3,2,3,3,3,3,2,2.7142857142857144
6,2,2,3,2,3,2,2,2.2857142857142856
7,2,2,3,2,3,2,2,2.2857142857142856
8,2,2,3,2,3,2,2,2.2857142857142856
9,2,2,3,2,3,2,2,2.2857142857142856
10,2,3,3,2,3,2,2,2.4285714285714284
11,2,3,3,2,3,2,2,2.4285714285714284
12,2,3,3,2,3,2,2,2.4285714285714284
13,2,3,3,2,3,2,1,2.2857142857142856
14,2,3,3,2,3,2,1,2.2857142857142856
15,2,2,4,2,3,2,1,2.2857142857142856
16,2,2,3,2,2,2,1,2.0
17,2,1,3,2,2,2,1,1.8571428571428572
18,2,1,4,2,2,2,1,2.0
19,2,1,3,2,2,2,1,1.8571428571428572
20,2,1,2,2,2,2,1,1.7142857142857142
21,3,1,2,2,2,2,1,1.8571428571428572
22,2,1,1,2,2,2,1,1.5714285714285714
23,3,1,2,2,2,2,1,1.8571428571428572
24,3,1,3,2,2,2,1,2.0
25,3,1,3,1,2,1,1,1.7142857142857142
26,3,2,3,1,2,1,1,1.8571428571428572
27,3,2,3,1,1,1,1,1.7142857142857142
28,3,2,3,1,1,1,1,1.7142857142857142
29,3,3,4,1,1,1,1,2.0
30,3,4,3,2,1,1,1,2.142857142857143
31,3,4,3,2,2,1,1,2.2857142857142856
32,4,4,3,2,2,1,1,2.4285714285714284
33,5,4,3,2,2,1,1,2.5714285714285716
34,4,4,3,3,1,1,1,2.4285714285714284
35,4,4,3,3,1,2,1,2.5714285714285716
36,5,4,3,3,1,2,1,2.7142857142857144
37,6,4,3,3,1,2,1,2.857142857142857
38,6,5,4,4,1,3,2,3.5714285714285716
39,5,5,4,3,1,3,2,3.2857142857142856
40,5,4,4,3,1,3,1,3.0
41,5,5,4,3,1,3,1,3.142857142857143
42,5,5,4,3,1,4,1,3.2857142857142856
43,4,4,4,3,1,4,2,3.142857142857143
44,4,4,4,2,1,4,2,3.0
45,3,4,3,3,1,5,2,3.0
46,3,4,3,3,1,5,3,3.142857142857143
47,3,4,3,4,1,4,3,3.142857142857143
48,3,4,3,4,1,4,2,3.0
49,3,4,2,4,2,5,2,3.142857142857143
50,3,4,2,5,2,5,2,3.2857142857142856
51,3,4,2,5,1,5,2,3.142857142857143
52,3,4,3,5,1,5,2,3.2857142857142856
53,3,4,3,6,1,5,2,3.4285714285714284
54,3,4,3,6,1,5,2,3.4285714285714284
55,3,4,3,7,1,5,2,3.5714285714285716
56,3,4,3,7,1,5,1,3.4285714285714284
57,3,4,2,7,1,4,1,3.142857142857143
58,3,4,2,8,1,4,1,3.2857142857142856
59,3,4,2,8,1,4,1,3.2857142857142856
60,3,4,2,8,2,4,1,3.4285714285714284
61,3,4,2,8,2,3,1,3.2857142857142856
62,4,4,2,8,2,3,1,3.4285714285714284
63,4,4,2,8,2,3,1,3.4285714285714284
64,4,4,1,9,2,3,1,3.4285714285714284
65,4,4,1,9,2,3,1,3.4285714285714284
66,4,4,1,9,3,4,1,3.7142857142857144
67,4,3,1,9,3,4,1,3.5714285714285716
68,4,3,1,9,3,4,1,3.5714285714285716
69,4,3,1,8,3,4,1,3.4285714285714284
70,4,3,1,8,3,4,1,3.4285714285714284
71,4,3,1,8,2,4,1,3.2857142857142856
72,4,3,1,7,2,4,1,3.142857142857143
73,4,3,1,7,2,3,2,3.142857142857143
74,4,3,1,7,2,3,2,3.142857142857143
75,3,3,1,7,2,3,2,3.0
76,3,2,1,8,2,3,2,3.0
77,3,2,1,8,2,3,3,3.142857142857143
78,3,2,1,8,2,4,3,3.2857142857142856
79,3,2,1,8,3,4,3,3.4285714285714284
80,4,2,1,8,3,4,3,3.5714285714285716
81,4,2,1,8,3,4,3,3.5714285714285716
82,4,2,1,8,3,4,3,3.5714285714285716
83,4,2,1,8,3,3,3,3.4285714285714284
84,4,2,1,7,3,3,3,3.2857142857142856
85,4,2,1,7,3,3,3,3.2857142857142856
86,4,2,1,7,3,3,3,3.2857142857142856
87,4,2,2,7,3,3,3,3.4285714285714284
88,4,2,2,7,2,3,3,3.2857142857142856
89,4,2,2,7,2,3,3,3.2857142857142856
90,4,2,2,7,2,3,3,3.2857142857142856
91,4,2,2,7,2,3,3,3.2857142857142856
92,4,2,2,7,2,3,3,3.2857142857142856
93,4,2,2,7,2,3,3,3.2857142857142856
94,5,2,2,7,2,3,3,3.4285714285714284
95,5,3,3,7,3,3,3,3.857142857142857
96,5,3,3,7,3,3,3,3.857142857142857
97,5,3,3,7,3,3,3,3.857142857142857
98,5,3,3,8,3,3,3,4.0
99,5,3,3,8,3,3,3,4.0
100,5,3,2,8,3,3,3,3.857142857142857
