Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,4,4,4,4,4,4,4,4.0
2,4,4,4,4,4,4,4,4.0
3,4,4,4,4,4,4,4,4.0
4,4,4,4,4,4,4,4,4.0
5,4,4,4,4,4,4,4,4.0
6,4,4,4,4,4,4,4,4.0
7,4,4,4,4,4,4,4,4.0
8,4,4,4,4,4,4,4,4.0
9,4,4,4,4,4,4,4,4.0
10,4,4,4,4,4,4,4,4.0
11,4,4,4,4,4,4,4,4.0
12,4,4,4,4,4,4,4,4.0
13,4,4,4,4,4,4,4,4.0
14,4,4,4,4,4,4,4,4.0
15,4,4,4,4,4,4,4,4.0
16,5,4,4,4,4,4,4,4.142857142857143
17,5,4,4,4,4,4,4,4.142857142857143
18,5,4,4,4,4,4,4,4.142857142857143
19,5,5,4,5,4,4,4,4.428571428571429
20,5,5,4,5,4,4,4,4.428571428571429
21,5,5,4,5,4,4,4,4.428571428571429
22,5,5,4,4,5,4,4,4.428571428571429
23,5,5,4,4,5,4,4,4.428571428571429
24,5,5,4,4,5,4,4,4.428571428571429
25,5,5,4,4,5,4,4,4.428571428571429
26,5,5,4,4,5,4,4,4.428571428571429
27,5,5,4,4,5,4,4,4.428571428571429
28,5,5,4,4,5,4,4,4.428571428571429
29,5,5,4,4,5,4,4,4.428571428571429
30,5,5,4,4,5,4,4,4.428571428571429
31,5,5,4,4,6,4,4,4.571428571428571
32,5,5,4,4,6,4,4,4.571428571428571
33,5,5,4,4,6,4,4,4.571428571428571
34,5,5,4,4,6,4,4,4.571428571428571
35,5,5,4,4,6,4,4,4.571428571428571
36,5,5,4,4,6,4,4,4.571428571428571
37,5,5,4,3,6,4,3,4.285714285714286
38,5,5,4,3,6,4,3,4.285714285714286
39,5,5,4,3,6,4,3,4.285714285714286
40,5,5,4,3,6,4,4,4.428571428571429
41,5,5,4,3,6,4,4,4.428571428571429
42,5,5,4,3,6,4,4,4.428571428571429
43,5,6,3,2,6,4,3,4.142857142857143
44,5,6,3,2,6,4,3,4.142857142857143
45,5,6,3,2,6,4,3,4.142857142857143
46,5,5,2,2,6,4,3,3.857142857142857
47,5,5,2,2,6,4,3,3.857142857142857
48,5,5,2,2,6,4,3,3.857142857142857
49,5,5,2,2,6,4,3,3.857142857142857
50,5,5,2,2,6,4,3,3.857142857142857
51,5,5,2,2,6,4,3,3.857142857142857
52,5,5,1,2,6,4,3,3.7142857142857144
53,5,5,1,2,6,4,3,3.7142857142857144
54,5,5,1,2,6,4,3,3.7142857142857144
55,5,5,1,2,6,3,4,3.7142857142857144
56,5,5,1,2,6,3,4,3.7142857142857144
57,5,5,1,2,6,3,4,3.7142857142857144
58,4,5,1,2,7,4,4,3.857142857142857
59,4,5,1,2,7,4,4,3.857142857142857
60,4,5,1,2,7,4,4,3.857142857142857
61,4,6,1,2,7,4,5,4.142857142857143
62,4,6,1,2,7,4,5,4.142857142857143
63,4,6,1,2,7,4,5,4.142857142857143
64,3,6,1,2,7,3,5,3.857142857142857
65,3,6,1,2,7,3,5,3.857142857142857
66,3,6,1,2,7,3,5,3.857142857142857
67,3,7,2,2,8,4,5,4.428571428571429
68,3,7,2,2,8,4,5,4.428571428571429
69,3,7,2,2,8,4,5,4.428571428571429
70,3,7,3,1,9,4,6,4.714285714285714
71,3,7,3,1,9,4,6,4.714285714285714
72,3,7,3,1,9,4,6,4.714285714285714
73,3,8,3,2,10,4,6,5.142857142857143
74,3,8,3,2,10,4,6,5.142857142857143
75,3,8,3,2,10,4,6,5.142857142857143
76,4,8,4,2,10,4,6,5.428571428571429
77,4,8,4,2,10,4,6,5.428571428571429
78,4,8,4,2,10,4,6,5.428571428571429
79,4,7,4,2,9,4,6,5.142857142857143
80,4,7,4,2,9,4,6,5.142857142857143
81,4,7,4,2,9,4,6,5.142857142857143
82,4,7,3,2,9,3,7,5.0
83,4,7,3,2,9,3,7,5.0
84,4,7,3,2,9,3,7,5.0
85,5,7,3,2,9,3,7,5.142857142857143
86,5,7,3,2,9,3,7,5.142857142857143
87,5,7,3,2,9,3,7,5.142857142857143
88,6,7,3,2,8,3,7,5.142857142857143
89,6,7,3,2,8,3,7,5.142857142857143
90,6,7,3,2,8,3,7,5.142857142857143
91,6,7,4,2,7,4,7,5.285714285714286
92,6,7,4,2,7,4,7,5.285714285714286
93,6,7,4,2,7,4,7,5.285714285714286
94,7,7,5,3,7,4,8,5.857142857142857
95,7,7,5,3,7,4,8,5.857142857142857
96,7,7,5,3,7,4,8,5.857142857142857
97,7,8,5,2,7,5,8,6.0
98,7,8,5,2,7,5,8,6.0
99,7,8,5,2,7,5,8,6.0
100,6,9,5,1,8,4,8,5.857142857142857
