Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,37.0,12.0,10.0,8.0,12.0,10.0,9.0,14.0
2,21.0,12.0,8.0,8.0,29.0,30.0,11.0,17.0
3,14.0,12.0,8.0,8.0,11.0,15.0,10.0,11.142857142857142
4,11.0,11.0,10.0,10.0,10.0,8.0,9.0,9.857142857142858
5,8.0,10.0,8.0,10.0,10.0,11.0,12.0,9.857142857142858
6,36.0,24.0,8.0,10.0,8.0,10.0,10.0,15.142857142857142
7,28.0,18.0,12.0,8.0,11.0,11.0,9.0,13.857142857142858
8,9.0,9.0,10.0,12.0,8.0,8.0,10.0,9.428571428571429
9,11.0,22.0,53.0,8.0,18.0,10.0,10.0,18.857142857142858
10,10.0,79.0,10.0,11.0,11.0,14.0,9.0,20.571428571428573
11,12.0,18.0,11.0,13.0,10.0,10.0,9.0,11.857142857142858
12,8.0,10.0,19.0,11.0,10.0,10.0,10.0,11.142857142857142
13,15.0,15.0,18.0,9.0,11.0,13.0,10.0,13.0
14,29.0,13.0,139.0,20.0,13.0,10.0,10.0,33.42857142857143
15,178.0,15.0,236.0,16.0,10.0,13.0,55.0,74.71428571428571
16,142.0,9.0,12.0,12.0,12.0,12.0,64.0,37.57142857142857
17,121.0,11.0,117.0,14.0,14.0,138.0,10.0,60.714285714285715
18,52.0,15.0,22.0,12.0,17.0,13.0,12.0,20.428571428571427
19,12.0,12.0,75.0,10.0,12.0,13.0,39.0,24.714285714285715
20,42.0,10.0,10.0,1000.0,11.0,18.0,13.0,157.71428571428572
21,14.0,143.0,23.0,164.0,11.0,22.0,12.0,55.57142857142857
22,15.0,149.0,14.0,1000.0,227.0,79.0,40.0,217.71428571428572
23,105.0,162.0,65.0,81.0,75.0,94.0,105.0,98.14285714285714
24,180.0,100.0,76.0,58.0,91.0,23.0,77.0,86.42857142857143
25,65.0,92.0,67.0,12.0,15.0,10.0,98.0,51.285714285714285
26,13.0,101.0,13.0,20.0,18.0,222.0,74.0,65.85714285714286
27,16.0,302.0,93.0,69.0,68.0,84.0,113.0,106.42857142857143
28,131.0,20.0,103.0,12.0,56.0,173.0,17.0,73.14285714285714
29,78.0,56.0,13.0,25.0,114.0,106.0,13.0,57.857142857142854
30,76.0,72.0,25.0,129.0,69.0,65.0,76.0,73.14285714285714
31,269.0,88.0,97.0,115.0,56.0,84.0,63.0,110.28571428571429
32,115.0,78.0,82.0,81.0,34.0,70.0,119.0,82.71428571428571
33,183.0,81.0,89.0,181.0,192.0,134.0,63.0,131.85714285714286
34,69.0,69.0,156.0,83.0,136.0,96.0,179.0,112.57142857142857
35,49.0,69.0,101.0,88.0,212.0,109.0,342.0,138.57142857142858
36,44.0,69.0,147.0,221.0,127.0,19.0,14.0,91.57142857142857
37,495.0,18.0,113.0,99.0,224.0,176.0,127.0,178.85714285714286
38,132.0,170.0,95.0,113.0,78.0,102.0,87.0,111.0
39,73.0,165.0,163.0,111.0,76.0,134.0,100.0,117.42857142857143
40,202.0,245.0,95.0,177.0,194.0,93.0,80.0,155.14285714285714
41,300.0,54.0,174.0,117.0,16.0,108.0,72.0,120.14285714285714
42,116.0,45.0,107.0,194.0,171.0,191.0,62.0,126.57142857142857
43,143.0,203.0,138.0,74.0,126.0,405.0,93.0,168.85714285714286
