Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,30.0,10.0,8.0,10.0,10.0,8.0,28.0,14.857142857142858
2,11.0,12.0,9.0,8.0,10.0,24.0,10.0,12.0
3,8.0,55.0,16.0,12.0,11.0,8.0,10.0,17.142857142857142
4,11.0,11.0,8.0,10.0,12.0,10.0,9.0,10.142857142857142
5,12.0,43.0,10.0,8.0,8.0,11.0,9.0,14.428571428571429
6,12.0,10.0,27.0,34.0,27.0,12.0,9.0,18.714285714285715
7,61.0,16.0,9.0,10.0,610.0,77.0,9.0,113.14285714285714
8,25.0,10.0,11.0,11.0,53.0,10.0,39.0,22.714285714285715
9,132.0,58.0,10.0,16.0,39.0,228.0,31.0,73.42857142857143
10,37.0,9.0,48.0,13.0,16.0,31.0,57.0,30.142857142857142
11,12.0,67.0,42.0,10.0,10.0,33.0,109.0,40.42857142857143
12,8.0,98.0,148.0,20.0,8.0,60.0,14.0,50.857142857142854
13,8.0,41.0,31.0,67.0,22.0,8.0,16.0,27.571428571428573
14,58.0,43.0,38.0,15.0,40.0,19.0,9.0,31.714285714285715
15,23.0,21.0,28.0,51.0,20.0,10.0,36.0,27.0
16,249.0,43.0,65.0,68.0,29.0,123.0,71.0,92.57142857142857
17,123.0,61.0,19.0,43.0,10.0,53.0,48.0,51.0
18,102.0,9.0,58.0,201.0,20.0,41.0,48.0,68.42857142857143
19,12.0,76.0,27.0,11.0,25.0,52.0,175.0,54.0
20,28.0,10.0,8.0,105.0,99.0,23.0,62.0,47.857142857142854
21,15.0,14.0,16.0,82.0,120.0,22.0,172.0,63.0
22,87.0,83.0,81.0,72.0,39.0,101.0,93.0,79.42857142857143
23,13.0,118.0,80.0,223.0,8.0,30.0,81.0,79.0
24,23.0,78.0,91.0,129.0,150.0,162.0,38.0,95.85714285714286
25,29.0,18.0,83.0,158.0,89.0,40.0,74.0,70.14285714285714
26,48.0,43.0,19.0,23.0,51.0,151.0,138.0,67.57142857142857
27,73.0,77.0,92.0,112.0,34.0,91.0,25.0,72.0
28,130.0,42.0,19.0,21.0,63.0,94.0,67.0,62.285714285714285
29,26.0,58.0,45.0,59.0,10.0,17.0,129.0,49.142857142857146
30,115.0,80.0,113.0,18.0,47.0,62.0,75.0,72.85714285714286
31,57.0,10.0,138.0,87.0,80.0,75.0,103.0,78.57142857142857
32,25.0,50.0,172.0,130.0,39.0,18.0,10.0,63.42857142857143
33,57.0,38.0,21.0,52.0,25.0,152.0,334.0,97.0
34,66.0,96.0,73.0,141.0,42.0,75.0,72.0,80.71428571428571
35,148.0,77.0,127.0,25.0,37.0,130.0,76.0,88.57142857142857
36,52.0,23.0,22.0,68.0,29.0,177.0,76.0,63.857142857142854
37,45.0,52.0,111.0,177.0,55.0,131.0,69.0,91.42857142857143
38,85.0,98.0,79.0,49.0,31.0,62.0,71.0,67.85714285714286
39,110.0,103.0,68.0,25.0,46.0,97.0,153.0,86.0
40,134.0,69.0,106.0,51.0,37.0,189.0,136.0,103.14285714285714
41,101.0,143.0,111.0,83.0,127.0,148.0,107.0,117.14285714285714
42,91.0,69.0,52.0,55.0,64.0,104.0,240.0,96.42857142857143
43,125.0,106.0,204.0,65.0,40.0,228.0,48.0,116.57142857142857
44,108.0,215.0,548.0,19.0,46.0,99.0,232.0,181.0
45,117.0,85.0,21.0,199.0,60.0,118.0,107.0,101.0
46,158.0,108.0,146.0,140.0,105.0,102.0,72.0,118.71428571428571
47,280.0,66.0,105.0,67.0,88.0,59.0,116.0,111.57142857142857
48,160.0,126.0,191.0,106.0,56.0,82.0,59.0,111.42857142857143
49,201.0,59.0,29.0,188.0,29.0,36.0,102.0,92.0
50,162.0,127.0,149.0,74.0,67.0,26.0,94.0,99.85714285714286
51,97.0,67.0,88.0,98.0,48.0,237.0,182.0,116.71428571428571
52,258.0,54.0,100.0,193.0,226.0,153.0,137.0,160.14285714285714
53,26.0,29.0,86.0,46.0,83.0,160.0,17.0,63.857142857142854
54,155.0,236.0,113.0,64.0,73.0,140.0,107.0,126.85714285714286
55,148.0,112.0,85.0,156.0,114.0,326.0,165.0,158.0
56,114.0,243.0,142.0,116.0,69.0,128.0,17.0,118.42857142857143
57,188.0,258.0,147.0,86.0,133.0,249.0,22.0,154.71428571428572
58,96.0,110.0,211.0,56.0,52.0,152.0,121.0,114.0
59,155.0,44.0,104.0,49.0,90.0,120.0,128.0,98.57142857142857
60,176.0,45.0,65.0,110.0,54.0,154.0,133.0,105.28571428571429
61,144.0,253.0,137.0,240.0,59.0,142.0,107.0,154.57142857142858
62,96.0,145.0,110.0,67.0,191.0,211.0,179.0,142.71428571428572
63,120.0,138.0,193.0,157.0,75.0,244.0,10.0,133.85714285714286
64,279.0,156.0,188.0,28.0,26.0,105.0,194.0,139.42857142857142
65,145.0,113.0,155.0,86.0,105.0,29.0,111.0,106.28571428571429
66,128.0,149.0,92.0,330.0,166.0,193.0,160.0,174.0
67,106.0,202.0,115.0,131.0,206.0,188.0,233.0,168.71428571428572
68,106.0,118.0,219.0,135.0,159.0,178.0,249.0,166.28571428571428
