Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,12.0,12.0,8.0,10.0,25.0,10.0,10.0,12.428571428571429
2,12.0,12.0,8.0,10.0,20.0,34.0,10.0,15.142857142857142
3,48.0,12.0,13.0,8.0,10.0,13.0,9.0,16.142857142857142
4,14.0,10.0,10.0,13.0,31.0,14.0,12.0,14.857142857142858
5,28.0,10.0,8.0,10.0,14.0,16.0,10.0,13.714285714285714
6,11.0,32.0,9.0,8.0,10.0,12.0,10.0,13.142857142857142
7,21.0,10.0,79.0,11.0,11.0,9.0,13.0,22.0
8,9.0,10.0,13.0,11.0,10.0,8.0,12.0,10.428571428571429
9,11.0,9.0,9.0,10.0,8.0,11.0,11.0,9.857142857142858
10,10.0,55.0,10.0,10.0,10.0,13.0,10.0,16.857142857142858
11,8.0,10.0,10.0,12.0,59.0,12.0,10.0,17.285714285714285
12,10.0,15.0,14.0,12.0,12.0,22.0,11.0,13.714285714285714
13,14.0,25.0,16.0,14.0,96.0,8.0,11.0,26.285714285714285
14,19.0,11.0,79.0,15.0,10.0,10.0,9.0,21.857142857142858
15,16.0,14.0,66.0,474.0,67.0,13.0,10.0,94.28571428571429
16,12.0,18.0,15.0,1000.0,13.0,11.0,11.0,154.28571428571428
17,70.0,10.0,14.0,1000.0,17.0,9.0,10.0,161.42857142857142
18,13.0,24.0,18.0,10.0,28.0,71.0,10.0,24.857142857142858
19,8.0,21.0,46.0,68.0,70.0,213.0,10.0,62.285714285714285
20,16.0,13.0,78.0,14.0,76.0,13.0,11.0,31.571428571428573
21,15.0,10.0,137.0,14.0,242.0,198.0,69.0,97.85714285714286
22,24.0,26.0,13.0,16.0,152.0,338.0,63.0,90.28571428571429
23,300.0,147.0,14.0,17.0,79.0,11.0,15.0,83.28571428571429
24,26.0,15.0,11.0,79.0,17.0,10.0,107.0,37.857142857142854
25,10.0,18.0,84.0,127.0,15.0,11.0,113.0,54.0
26,215.0,16.0,109.0,66.0,20.0,194.0,84.0,100.57142857142857
27,18.0,139.0,11.0,115.0,101.0,87.0,87.0,79.71428571428571
28,138.0,99.0,12.0,21.0,146.0,75.0,181.0,96.0
29,141.0,121.0,138.0,68.0,60.0,68.0,85.0,97.28571428571429
30,90.0,106.0,61.0,42.0,68.0,143.0,100.0,87.14285714285714
31,116.0,13.0,10.0,79.0,19.0,73.0,104.0,59.142857142857146
32,319.0,93.0,144.0,77.0,88.0,15.0,65.0,114.42857142857143
33,109.0,115.0,80.0,95.0,19.0,79.0,111.0,86.85714285714286
34,19.0,94.0,74.0,133.0,119.0,15.0,69.0,74.71428571428571
35,19.0,191.0,9.0,21.0,116.0,73.0,63.0,70.28571428571429
36,74.0,178.0,65.0,82.0,146.0,120.0,77.0,106.0
37,108.0,55.0,95.0,71.0,276.0,9.0,79.0,99.0
38,90.0,116.0,82.0,365.0,12.0,11.0,36.0,101.71428571428571
39,91.0,44.0,96.0,43.0,77.0,95.0,29.0,67.85714285714286
40,58.0,18.0,59.0,126.0,81.0,74.0,66.0,68.85714285714286
41,149.0,125.0,114.0,69.0,84.0,108.0,206.0,122.14285714285714
42,126.0,140.0,97.0,80.0,103.0,121.0,92.0,108.42857142857143
43,69.0,141.0,100.0,260.0,69.0,124.0,113.0,125.14285714285714
44,99.0,112.0,78.0,67.0,100.0,90.0,58.0,86.28571428571429
45,107.0,159.0,68.0,81.0,213.0,110.0,84.0,117.42857142857143
46,88.0,183.0,122.0,147.0,102.0,125.0,154.0,131.57142857142858
47,124.0,149.0,81.0,87.0,113.0,81.0,123.0,108.28571428571429
48,84.0,119.0,49.0,99.0,97.0,180.0,176.0,114.85714285714286
49,149.0,315.0,68.0,98.0,81.0,204.0,99.0,144.85714285714286
50,92.0,113.0,157.0,150.0,92.0,193.0,96.0,127.57142857142857
51,178.0,152.0,108.0,30.0,113.0,91.0,96.0,109.71428571428571
52,114.0,110.0,144.0,87.0,81.0,105.0,92.0,104.71428571428571
53,115.0,129.0,104.0,102.0,78.0,123.0,110.0,108.71428571428571
54,150.0,152.0,90.0,81.0,96.0,211.0,136.0,130.85714285714286
55,107.0,132.0,88.0,249.0,123.0,117.0,120.0,133.71428571428572
56,87.0,139.0,121.0,72.0,236.0,98.0,106.0,122.71428571428571
57,60.0,31.0,122.0,188.0,127.0,139.0,101.0,109.71428571428571
