Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,30.0,10.0,8.0,10.0,10.0,8.0,28.0,14.857142857142858
2,11.0,12.0,9.0,8.0,10.0,24.0,10.0,12.0
3,8.0,55.0,16.0,12.0,11.0,8.0,10.0,17.142857142857142
4,11.0,11.0,8.0,10.0,12.0,10.0,9.0,10.142857142857142
5,12.0,43.0,10.0,8.0,8.0,11.0,9.0,14.428571428571429
6,12.0,10.0,27.0,34.0,27.0,12.0,9.0,18.714285714285715
7,61.0,16.0,9.0,10.0,610.0,77.0,9.0,113.14285714285714
8,25.0,10.0,11.0,11.0,53.0,10.0,39.0,22.714285714285715
9,132.0,58.0,10.0,16.0,39.0,228.0,31.0,73.42857142857143
10,37.0,9.0,48.0,13.0,16.0,31.0,57.0,30.142857142857142
11,12.0,67.0,42.0,10.0,17.0,33.0,109.0,41.42857142857143
12,8.0,98.0,148.0,20.0,10.0,60.0,14.0,51.142857142857146
13,8.0,41.0,31.0,67.0,10.0,8.0,25.0,27.142857142857142
14,58.0,43.0,38.0,15.0,11.0,19.0,9.0,27.571428571428573
15,23.0,21.0,28.0,51.0,68.0,10.0,27.0,32.57142857142857
16,249.0,43.0,171.0,68.0,14.0,123.0,60.0,104.0
17,123.0,61.0,16.0,43.0,15.0,53.0,77.0,55.42857142857143
18,102.0,9.0,17.0,201.0,26.0,41.0,63.0,65.57142857142857
19,12.0,76.0,205.0,11.0,10.0,52.0,26.0,56.0
20,28.0,10.0,82.0,79.0,30.0,23.0,79.0,47.285714285714285
21,15.0,14.0,58.0,69.0,56.0,22.0,13.0,35.285714285714285
22,43.0,83.0,116.0,98.0,8.0,101.0,69.0,74.0
23,47.0,118.0,77.0,138.0,9.0,30.0,82.0,71.57142857142857
24,102.0,78.0,211.0,83.0,98.0,50.0,69.0,98.71428571428571
25,113.0,18.0,146.0,22.0,60.0,150.0,31.0,77.14285714285714
26,29.0,43.0,56.0,22.0,55.0,105.0,79.0,55.57142857142857
27,138.0,77.0,90.0,86.0,113.0,23.0,54.0,83.0
28,116.0,42.0,84.0,122.0,164.0,56.0,59.0,91.85714285714286
29,20.0,58.0,91.0,46.0,36.0,70.0,125.0,63.714285714285715
30,94.0,80.0,209.0,189.0,39.0,77.0,78.0,109.42857142857143
31,38.0,10.0,63.0,53.0,11.0,51.0,59.0,40.714285714285715
32,29.0,63.0,101.0,292.0,66.0,100.0,31.0,97.42857142857143
33,57.0,68.0,171.0,25.0,82.0,71.0,65.0,77.0
34,23.0,60.0,172.0,81.0,90.0,38.0,94.0,79.71428571428571
35,85.0,32.0,141.0,71.0,108.0,40.0,98.0,82.14285714285714
36,128.0,32.0,88.0,173.0,52.0,79.0,100.0,93.14285714285714
37,99.0,48.0,85.0,48.0,65.0,28.0,52.0,60.714285714285715
38,109.0,132.0,60.0,69.0,162.0,175.0,71.0,111.14285714285714
39,126.0,58.0,20.0,142.0,195.0,135.0,95.0,110.14285714285714
40,20.0,108.0,76.0,288.0,8.0,159.0,81.0,105.71428571428571
41,19.0,108.0,61.0,151.0,28.0,78.0,74.0,74.14285714285714
42,110.0,67.0,63.0,24.0,95.0,86.0,40.0,69.28571428571429
43,101.0,120.0,155.0,38.0,64.0,101.0,59.0,91.14285714285714
44,92.0,133.0,125.0,33.0,76.0,90.0,48.0,85.28571428571429
45,108.0,80.0,75.0,47.0,129.0,87.0,44.0,81.42857142857143
46,65.0,43.0,78.0,81.0,64.0,114.0,234.0,97.0
47,75.0,108.0,142.0,440.0,34.0,81.0,69.0,135.57142857142858
48,143.0,108.0,97.0,161.0,81.0,116.0,32.0,105.42857142857143
49,27.0,68.0,141.0,150.0,201.0,148.0,111.0,120.85714285714286
50,117.0,173.0,76.0,96.0,38.0,164.0,25.0,98.42857142857143
51,87.0,63.0,158.0,53.0,126.0,173.0,123.0,111.85714285714286
52,100.0,166.0,77.0,84.0,124.0,146.0,127.0,117.71428571428571
53,24.0,159.0,172.0,94.0,119.0,113.0,141.0,117.42857142857143
54,25.0,164.0,192.0,89.0,75.0,109.0,198.0,121.71428571428571
55,150.0,110.0,144.0,84.0,155.0,168.0,309.0,160.0
56,14.0,30.0,67.0,91.0,165.0,125.0,121.0,87.57142857142857
57,103.0,208.0,116.0,175.0,106.0,145.0,162.0,145.0
58,107.0,108.0,102.0,161.0,92.0,224.0,403.0,171.0
59,27.0,145.0,127.0,71.0,87.0,136.0,149.0,106.0
60,137.0,171.0,232.0,169.0,19.0,183.0,131.0,148.85714285714286
61,192.0,131.0,109.0,141.0,413.0,163.0,179.0,189.71428571428572
62,103.0,110.0,203.0,21.0,106.0,139.0,171.0,121.85714285714286
63,234.0,135.0,491.0,113.0,108.0,161.0,95.0,191.0
64,114.0,173.0,124.0,1000.0,134.0,185.0,115.0,263.57142857142856
65,119.0,97.0,95.0,117.0,120.0,169.0,265.0,140.28571428571428
66,146.0,105.0,133.0,83.0,255.0,209.0,164.0,156.42857142857142
67,268.0,25.0,116.0,252.0,140.0,153.0,92.0,149.42857142857142
68,147.0,332.0,107.0,104.0,121.0,161.0,147.0,159.85714285714286
