Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,39.0,10.0,10.0,10.0,10.0,10.0,10.0,14.142857142857142
2,51.0,14.0,10.0,10.0,10.0,11.0,10.0,16.571428571428573
3,11.0,14.0,9.0,9.0,10.0,10.0,9.0,10.285714285714286
4,12.0,14.0,10.0,10.0,11.0,12.0,11.0,11.428571428571429
5,11.0,10.0,32.0,9.0,32.0,10.0,10.0,16.285714285714285
6,8.0,10.0,14.0,10.0,11.0,11.0,9.0,10.428571428571429
7,9.0,10.0,8.0,8.0,14.0,13.0,10.0,10.285714285714286
8,9.0,17.0,9.0,8.0,12.0,12.0,11.0,11.142857142857142
9,11.0,106.0,23.0,10.0,11.0,37.0,10.0,29.714285714285715
10,11.0,12.0,10.0,10.0,10.0,11.0,9.0,10.428571428571429
11,11.0,85.0,8.0,14.0,10.0,10.0,10.0,21.142857142857142
12,11.0,14.0,8.0,12.0,10.0,56.0,10.0,17.285714285714285
13,20.0,23.0,12.0,9.0,11.0,102.0,10.0,26.714285714285715
14,11.0,13.0,11.0,13.0,18.0,13.0,10.0,12.714285714285714
15,11.0,9.0,11.0,8.0,10.0,12.0,13.0,10.571428571428571
16,11.0,14.0,13.0,11.0,72.0,19.0,11.0,21.571428571428573
17,12.0,12.0,12.0,10.0,15.0,11.0,309.0,54.42857142857143
18,17.0,52.0,23.0,10.0,10.0,10.0,192.0,44.857142857142854
19,13.0,17.0,134.0,12.0,690.0,36.0,10.0,130.28571428571428
20,269.0,13.0,13.0,82.0,786.0,15.0,10.0,169.71428571428572
21,13.0,17.0,19.0,10.0,75.0,10.0,122.0,38.0
22,138.0,17.0,11.0,83.0,10.0,115.0,57.0,61.57142857142857
23,100.0,12.0,64.0,12.0,16.0,13.0,27.0,34.857142857142854
24,23.0,72.0,82.0,10.0,13.0,61.0,94.0,50.714285714285715
25,75.0,85.0,73.0,12.0,13.0,110.0,10.0,54.0
26,137.0,12.0,78.0,72.0,12.0,12.0,115.0,62.57142857142857
27,158.0,80.0,91.0,13.0,17.0,109.0,23.0,70.14285714285714
28,82.0,15.0,91.0,336.0,27.0,13.0,60.0,89.14285714285714
