Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,11.0,19.0,10.0,8.0,52.0,12.0,10.0,17.428571428571427
2,12.0,10.0,10.0,8.0,12.0,10.0,13.0,10.714285714285714
3,23.0,9.0,15.0,10.0,16.0,10.0,9.0,13.142857142857142
4,11.0,9.0,18.0,13.0,10.0,13.0,10.0,12.0
5,8.0,18.0,10.0,10.0,9.0,10.0,9.0,10.571428571428571
6,10.0,11.0,13.0,13.0,130.0,10.0,13.0,28.571428571428573
7,8.0,10.0,8.0,8.0,10.0,73.0,9.0,18.0
8,14.0,9.0,20.0,11.0,10.0,12.0,11.0,12.428571428571429
9,13.0,16.0,42.0,12.0,8.0,10.0,12.0,16.142857142857142
10,24.0,18.0,31.0,13.0,21.0,10.0,10.0,18.142857142857142
11,34.0,46.0,14.0,15.0,21.0,51.0,100.0,40.142857142857146
12,11.0,15.0,18.0,284.0,19.0,13.0,9.0,52.714285714285715
13,15.0,135.0,14.0,16.0,166.0,17.0,20.0,54.714285714285715
14,71.0,10.0,107.0,13.0,13.0,142.0,122.0,68.28571428571429
15,11.0,20.0,57.0,86.0,14.0,13.0,133.0,47.714285714285715
16,68.0,17.0,10.0,95.0,95.0,9.0,74.0,52.57142857142857
17,19.0,19.0,14.0,14.0,92.0,189.0,61.0,58.285714285714285
18,86.0,44.0,27.0,81.0,12.0,15.0,157.0,60.285714285714285
19,92.0,70.0,85.0,15.0,92.0,168.0,24.0,78.0
20,61.0,11.0,15.0,248.0,23.0,79.0,66.0,71.85714285714286
21,77.0,22.0,140.0,17.0,215.0,59.0,127.0,93.85714285714286
22,176.0,52.0,19.0,133.0,13.0,105.0,22.0,74.28571428571429
23,45.0,67.0,74.0,22.0,56.0,130.0,42.0,62.285714285714285
24,77.0,11.0,95.0,154.0,68.0,48.0,41.0,70.57142857142857
25,111.0,24.0,91.0,90.0,288.0,179.0,25.0,115.42857142857143
26,263.0,39.0,30.0,281.0,103.0,14.0,65.0,113.57142857142857
27,121.0,174.0,25.0,84.0,110.0,123.0,112.0,107.0
28,68.0,50.0,84.0,92.0,54.0,79.0,88.0,73.57142857142857
29,97.0,17.0,98.0,83.0,63.0,95.0,166.0,88.42857142857143
30,93.0,76.0,333.0,133.0,200.0,81.0,104.0,145.71428571428572
31,69.0,82.0,83.0,72.0,70.0,53.0,290.0,102.71428571428571
32,97.0,51.0,27.0,22.0,90.0,51.0,85.0,60.42857142857143
33,62.0,49.0,100.0,24.0,130.0,65.0,125.0,79.28571428571429
34,217.0,60.0,80.0,112.0,77.0,90.0,76.0,101.71428571428571
35,137.0,51.0,62.0,355.0,84.0,156.0,105.0,135.71428571428572
36,60.0,51.0,155.0,85.0,74.0,149.0,90.0,94.85714285714286
37,140.0,85.0,66.0,75.0,82.0,134.0,101.0,97.57142857142857
38,127.0,134.0,85.0,75.0,60.0,137.0,79.0,99.57142857142857
39,100.0,70.0,116.0,105.0,72.0,93.0,136.0,98.85714285714286
40,100.0,73.0,229.0,91.0,81.0,67.0,119.0,108.57142857142857
41,65.0,214.0,64.0,89.0,92.0,85.0,62.0,95.85714285714286
42,90.0,58.0,102.0,17.0,79.0,69.0,125.0,77.14285714285714
43,97.0,77.0,82.0,79.0,116.0,121.0,139.0,101.57142857142857
44,293.0,225.0,171.0,91.0,50.0,133.0,125.0,155.42857142857142
45,90.0,36.0,75.0,83.0,166.0,134.0,131.0,102.14285714285714
46,75.0,172.0,94.0,57.0,112.0,141.0,129.0,111.42857142857143
47,119.0,74.0,90.0,22.0,78.0,111.0,417.0,130.14285714285714
48,131.0,96.0,108.0,70.0,131.0,104.0,118.0,108.28571428571429
49,188.0,139.0,214.0,71.0,119.0,144.0,112.0,141.0
50,28.0,96.0,124.0,89.0,119.0,80.0,185.0,103.0
51,154.0,122.0,412.0,113.0,102.0,159.0,99.0,165.85714285714286
52,77.0,160.0,331.0,76.0,140.0,151.0,154.0,155.57142857142858
53,138.0,133.0,80.0,86.0,102.0,121.0,102.0,108.85714285714286
54,101.0,114.0,99.0,73.0,81.0,98.0,115.0,97.28571428571429
55,109.0,140.0,81.0,68.0,86.0,154.0,89.0,103.85714285714286
56,93.0,82.0,233.0,90.0,94.0,225.0,233.0,150.0
