Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
933,,-0.6132111847496874,,,,,,-0.6132111847496874
1000,-1.2066537932233157,,-0.6929815127213933,-0.5905491411223452,-1.0482988583098276,-0.6985213742209709,-0.5917255872664958,-0.8047883778107248
1933,,-0.3229809483160021,,,,,,-0.3229809483160021
2000,-0.3795941232359185,,-0.3531814238187098,-0.3552266390718647,-0.3786871945280747,-0.3197296409130151,-0.3507821512791402,-0.3562001954744538
2933,,-0.1655001158045578,,,,,,-0.1655001158045578
3000,-0.2230360076215181,,-0.186346474803853,-0.1759619663864662,-0.2368590253805324,-0.1966596351782336,-0.201004692279979,-0.20331130027509706
3933,,-0.1128260048115721,,,,,,-0.1128260048115721
4000,-0.1321818756626468,,-0.1197813773361853,-0.1114769910693061,-0.2050353576343419,-0.121951206101977,-0.1223386325795486,-0.1354609067306676
4933,,-0.1253602751195365,,,,,,-0.1253602751195365
5000,-0.1091047108303481,,-0.1303094112129737,-0.0906253745670804,-0.1163173152892875,-0.0910289444694628,-0.0779670827804469,-0.10255880652493325
5933,,-0.0881914962551132,,,,,,-0.0881914962551132
6000,-0.0972834915334948,,-0.0723710361266004,-0.0605446975912363,-0.0855091688433832,-0.0971721474418119,-0.065926077780296,-0.07980110321947043
6933,,-0.0386564739976529,,,,,,-0.0386564739976529
7000,-0.0548836880994997,,-0.0610063395581127,-0.1156798552978376,-0.1017898788677961,-0.1219240819525429,-0.0614393080177191,-0.08612052529891802
7933,,-0.0460022789367381,,,,,,-0.0460022789367381
8000,-0.0998349582413588,,-0.0931437403459756,-0.0471513782006467,-0.1467971772567942,-0.0418790865820506,-0.0689610170787841,-0.08296122628426833
8933,,-0.0398728890494183,,,,,,-0.0398728890494183
9000,-0.0487452874836323,,-0.0762525721834338,-0.1144664968268756,-0.0469550872729562,-0.0415606645077516,-0.0741559197893038,-0.06702267134399222
9933,,-0.0271274260082836,,,,,,-0.0271274260082836
10000,-0.0997362217588605,,-0.0668881406133973,-0.0419048532245225,-0.120227660561731,-0.049903658740207,-0.147463737329875,-0.08768737870476555
10933,,-0.0286997456320842,,,,,,-0.0286997456320842
11000,-0.0344476871670502,,-0.0706739394115168,-0.0269821880004472,-0.0390921164159568,-0.0337236927737929,-0.0584257468319763,-0.04389089510012337
11933,,-0.0224781973155844,,,,,,-0.0224781973155844
12000,-0.0386995126821967,,-0.0541256549394171,-0.0721807216800838,-0.0459608055360882,-0.0664352691067455,-0.0314684209028922,-0.051478397474570586
12933,,-0.0160380040461255,,,,,,-0.0160380040461255
13000,-0.0908390096846396,,-0.0394726578613813,-0.0858788268707782,-0.0480365886227475,-0.0361702418451264,-0.0583062578152081,-0.059783930449980184
13933,,-0.0273754842818365,,,,,,-0.0273754842818365
14000,-0.0206469722589038,,-0.0427893654585809,-0.059031561201087,-0.0294388370136446,-0.0540932665068162,-0.0485035999108486,-0.04241726705831352
14933,,-0.0317181232907187,,,,,,-0.0317181232907187
15000,-0.0437747029073022,,-0.0382748870952774,-0.0300847283534526,-0.0542283014328979,-0.0564031745836658,-0.0385686017214432,-0.043555732682339844
15933,,-0.0262997978987159,,,,,,-0.0262997978987159
16000,-0.0228482619193949,,-0.0245574146054953,-0.0207171791631149,-0.0203131907453584,-0.0270678438681451,-0.0404149034771114,-0.02598646562977
16933,,-0.0246500514254113,,,,,,-0.0246500514254113
17000,-0.0520551942885453,,-0.0309687172777179,-0.0181175623940607,-0.0569065714222912,-0.0278099915235106,-0.0330496953572984,-0.03648462204390402
17933,,-0.0286810441260373,,,,,,-0.0286810441260373
18000,-0.0479682264150557,,-0.0245805792762986,-0.0172266820130924,-0.0527342925992816,-0.0380936889417705,-0.0361541329472941,-0.036126267032132155
