Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
1000,-1.2224206266205306,-0.612920369255123,-0.6939790799506531,-0.5735283237242367,-1.0362959266208258,-0.6982373430251263,-0.5821858871097434,-0.774223936615177
2000,-0.3875354975474879,-0.3153389424592256,-0.3501954244093027,-0.3427157212627472,-0.3798715325920413,-0.3100836970380567,-0.3501375088727897,-0.34798261774023587
3000,-0.2224004847955052,-0.1662455149850007,-0.1893219711568159,-0.1727291216086569,-0.2612285340329801,-0.1866385438899249,-0.2012218510679678,-0.19996943164812161
4000,-0.1346053041996039,-0.1032713988773676,-0.1104036978577189,-0.1956960635635567,-0.162821781871732,-0.133337260095441,-0.1829248552567075,-0.14615148024601823
5000,-0.0943920929776393,-0.1152278538654114,-0.1352557455032839,-0.1014003554638131,-0.1034782754050329,-0.0951679930176502,-0.0856830644563482,-0.10437219724131129
6000,-0.1054405332581945,-0.0925012683298609,-0.0664003505492536,-0.1577302258886116,-0.0919152681586097,-0.1170872939919632,-0.0594283523034004,-0.09864332749712769
7000,-0.0646780727115706,-0.0746524757364165,-0.0611089098156039,-0.0493593373310507,-0.0601373688773566,-0.0853374957737638,-0.0467379169064334,-0.06314451102174222
8000,-0.0650212527594694,-0.0361442273453185,-0.0743500823479946,-0.0473146775297585,-0.1265694115297068,-0.0678088331569557,-0.0608781457581512,-0.06829809006105067
9000,-0.0949478499852241,-0.0392500267043201,-0.0887551349380645,-0.0867150072383713,-0.0601961144621632,-0.0490988736442821,-0.0539772612580286,-0.06756289546149342
10000,-0.0922793330999298,-0.0311705099048511,-0.0551286093407415,-0.0450078164495569,-0.1163614600615766,-0.0448125518361892,-0.0559398654851641,-0.0629571637397156
11000,-0.0333483450037759,-0.0476947987389332,-0.0654341395927621,-0.0246245066031482,-0.0410171014508624,-0.0347004245121462,-0.0462641007720092,-0.04186905952480531
12000,-0.0388506411960425,-0.0359055164753134,-0.0515843999655358,-0.0635322228626311,-0.0472619242044483,-0.0699712151760734,-0.0275321727230601,-0.04780544180044351
13000,-0.078635292305842,-0.0165330188689329,-0.0306509593885714,-0.0599237285015082,-0.0262539587204325,-0.0433984645916254,-0.0476415159796912,-0.04329099119380051
14000,-0.0295630117438284,-0.0326267985728334,-0.0418363447464017,-0.0534094983467834,-0.0303701439768126,-0.0583958035087632,-0.039540982851384,-0.04082036910668667
15000,-0.0287327231813001,-0.0312658790356897,-0.0404449902788925,-0.0246130978344909,-0.053388744061384,-0.0602246545983,-0.03165762363281,-0.0386182446604096
16000,-0.0377229753229065,-0.0251161664669029,-0.0236053839534136,-0.0205944741566463,-0.0215196177976717,-0.0371623943284901,-0.0358552889333095,-0.028796614422762944
17000,-0.0416425642262082,-0.0269511066109675,-0.0266973564821804,-0.0157650621976294,-0.0579961281724736,-0.0283480223200973,-0.0294205219068886,-0.032402965988063574
18000,-0.0395182014758016,-0.0313838634435967,-0.0201841982763275,-0.0150659248707251,-0.0562823629799807,-0.0388719936975373,-0.0319510248463074,-0.03332250994146804
19000,-0.0226481739681938,-0.0228617858788805,-0.0180695292601481,-0.019809395059487,-0.0192484453040744,-0.0137918328890513,-0.0211781478907809,-0.019658187178659425
20000,-0.0187529773471744,-0.0415178575756644,-0.0162527050712142,-0.0373067942311657,-0.0359414750052573,-0.0254711619782664,-0.0153330449360833,-0.027225145163546533
21000,-0.0309640137757837,-0.0198013033764796,-0.0194894703503958,-0.0347898925471389,-0.0260506614415158,-0.0153475484706089,-0.0124776606281914,-0.022702935798587728
22000,-0.0171552804759998,-0.0290713926413695,-0.0179302013349958,-0.0377797796356086,-0.0234345030351615,-0.0197848479189274,-0.0259912258405037,-0.024449604411795188
23000,-0.0251055272050534,-0.0499855984784418,-0.0177895959865636,-0.0365276930611255,-0.0157758914588997,-0.0291781898704214,-0.0137994146435247,-0.026880272957718585
24000,-0.0211809430196668,-0.0213703539477873,-0.0235188928845699,-0.0402935893693469,-0.0160739965628143,-0.0297790024935101,-0.0402533209641107,-0.027495728463115147
25000,-0.0527026192929759,-0.0164704593384554,-0.0143069442739474,-0.0419785873942625,-0.0192280438925872,-0.0253295199828915,-0.0230585557738272,-0.02758210427842101
26000,-0.0548891870744727,-0.0189092629843339,-0.0135736668585984,-0.0436984615745916,-0.0354753321671805,-0.0284481550262745,-0.0307461208008759,-0.03224859806947535
27000,-0.0241929056514044,-0.013307801109319,-0.0252682030527044,-0.0251175234142613,-0.0561754052849898,-0.0172312066021644,-0.0220653441891857,-0.026194055614861288
28000,-0.0547746161750239,-0.0169134431318064,-0.0228550405317618,-0.0271448233756864,-0.0246826912525236,-0.0211322955332705,-0.0386540093278342,-0.029450988475415257
29000,-0.050239547479327,-0.014953575386837,-0.0501582264876889,-0.0302051661756616,-0.0539725866020594,-0.0315521618015294,-0.0272088753701573,-0.03689859132903722
30000,-0.0553025238360772,-0.0088526707942124,-0.0164041611925623,-0.0250939240185392,-0.0210231344849452,-0.0245268207483586,-0.0517586184138145,-0.02899455049835849
31000,-0.030776470308588,-0.0044614248537294,-0.017179317092113,-0.0162498465924921,-0.037229731467642,-0.0271571974672508,-0.0214005186868168,-0.02206492949551887
32000,-0.0618634542580084,-0.0035843166920341,-0.0454769002677156,-0.0360186821503197,-0.047557095176786,-0.0181260649809529,-0.0113396422354956,-0.0319951651087589
33000,-0.0388764216597266,-0.0041725621869139,-0.0116817563331247,-0.0210669483323673,-0.0237624368988838,-0.0278810907712052,-0.032930543013966,-0.022910251313741074
34000,-0.0378277462845762,-0.0118302130687828,-0.0262866780630026,-0.0219450447794387,-0.0545989418599493,-0.0187248130870636,-0.0214292429144663,-0.027520382865325637
35000,-0.0654158099607139,-0.0085115572775556,-0.0310524226308765,-0.0161851672079944,-0.0258194204793067,-0.0237193718379422,-0.0146379659712291,-0.02647738790937406
36000,-0.0385962391778932,-0.0056672583981833,-0.0252473876183986,-0.0088829078823478,-0.028766201044042,-0.0104442697253856,-0.012447649374753,-0.018578844745857644
37000,-0.0345228070202441,-0.0028167930105706,-0.0131439844246471,-0.0045093396862164,-0.0205544674914388,-0.0245632413127089,-0.0140495487242919,-0.0163085973814454
38000,-0.0389222969370737,-0.0035994706130274,-0.0188668759292753,-0.0056473229610291,-0.0238470032316921,-0.0134917438088493,-0.0052606329155785,-0.015662192342360774
39000,-0.0277403598529875,-0.0019068789894111,-0.0108014554028956,-0.0066747407017847,-0.0783170008916859,-0.0111161824980468,-0.006199850501502,-0.02039378126261623
40000,-0.0240926330440456,-0.00338927855719,-0.008690336643937,-0.0074372643516337,-0.0333611856806374,-0.0101818911482651,-0.0087758736720108,-0.013704066156817086
41000,-0.0141841854696991,-0.0058470582523985,-0.0110474326336927,-0.0076795342959014,-0.0179776900715866,-0.01226391067844,-0.0099821649424084,-0.011283139477732388
42000,-0.0176796304762275,-0.0032560643910663,-0.0054623068183241,-0.0192874445465087,-0.0406153609871544,-0.0043951314864642,-0.0055544430748472,-0.01375005454008463
43000,-0.0093143147637024,-0.0014027972093376,-0.0035360316415356,-0.0086780980008007,-0.0288573989013009,-0.0048071882435008,-0.002651641738773,-0.008463924356993
44000,-0.0026542034632255,-0.0028469656356246,-0.0065476057231213,-0.0019556604293213,-0.0171037967900475,-0.00672178304361,-0.002420909396011,-0.005750132068708743
45000,-0.0044246220095325,-0.0024668611448741,-0.0030249579021051,-0.0044944357238806,-0.030284057846283,-0.0115227520737994,-0.0029480378050425,-0.008452246357931029
46000,-0.0083127304723602,-0.002667580468657,-0.0088348097622876,-0.0043653864061523,-0.013004495494042,-0.0108106620921407,-0.0016431103561369,-0.007091253578825243
47000,-0.0119422011640617,-0.0019443722830143,-0.0064237573852008,-0.0033136181005479,-0.0066639291206793,-0.0046581804582869,-0.0015944054607745,-0.005220066281795057
48000,-0.0153026357251362,-0.0007667110822797,-0.0041993632049709,-0.0027174064548884,-0.010154135130827,-0.0039354320284627,-0.0016336688839297,-0.005529907501499229
49000,-0.0110189283154224,-0.0027825406739111,-0.0060832301380909,-0.0016658341176839,-0.0046487843337831,-0.0057743844332573,-0.0007189122551884,-0.004670373466762442
50000,-0.0034560040541643,-0.0020999796282364,-0.0085780718299018,-0.0052790409061722,-0.0051287502248629,-0.0025161542447755,-0.0005529330607376,-0.003944419135550101
51000,-0.0086487847631642,-0.0008747688644376,-0.0032684485277202,-0.0007672512504279,-0.0046153242358222,-0.0013032926582759,-0.0006426091839156,-0.0028743542119662284
52000,-0.0031658512901715,-0.0010827441000216,-0.001966175378709,-0.002317034448252,-0.0074475644909021,-0.0037990664632707,-0.0007412901237424,-0.0029313894707241857
53000,-0.0018632422146486,-0.0008875982087406,-0.0016693393018433,-0.0018026205964805,-0.0193519028398925,-0.0027791606257421,-0.0004761751167,-0.004118576986292514
54000,-0.0055150693290238,-0.0008180827830527,-0.0023885914967575,-0.0009678209143963,-0.0100640950123453,-0.004865703508114,-0.0004122639310047,-0.003575946710670614
54919,,-0.0014327875596806,,,,,,-0.0014327875596806
55000,-0.001849269791035,,-0.0040895313011507,-0.0019425060535053,-0.0058712282698533,-0.0010177324668992,-0.0002247889934385,-0.0024991761459803334
55919,,-0.0011775379080696,,,,,,-0.0011775379080696
56000,-0.0030895548586226,,-0.0013203029814484,-0.0019140320579698,-0.0093964277988919,-0.0006958771373494,-0.0002534486535601,-0.002778273914640367
56919,,-0.0004375491775559,,,,,,-0.0004375491775559
57000,-0.0036883662583142,,-0.0013188343071127,-0.0008536900652597,-0.0097881140435237,-0.0018201400399633,-0.0002011630032333,-0.0029450512862344833
57919,,-0.0010208251587128,,,,,,-0.0010208251587128
58000,-0.0017901600871286,,-0.0013904558839941,-0.0008667813101504,-0.0048197343669085,-0.0008341600092292,-0.0001757585976866,-0.001646175042516233
58919,,-0.0011776266639693,,,,,,-0.0011776266639693
59000,-0.0009745674711766,,-0.0010717907804564,-0.0004282002643191,-0.0105040335176692,-0.0013734107314902,-0.0001778370791442,-0.0024216399740426167
59919,,-0.0004968172480913,,,,,,-0.0004968172480913
60000,-0.0009881244388985,,-0.0017685304193376,-0.0021031183067452,-0.0038976323167669,-0.000934856712434,-0.0003713467793414,-0.0016772681622539334
60919,,-0.0006837791062034,,,,,,-0.0006837791062034
60930,-0.0033885060315649,,,,,,,-0.0033885060315649
61000,,,-0.001084408294156,-0.0043688882991989,-0.0139060369168838,-0.0004704541072995,-9.86182233290264e-05,-0.003985681168173445
61919,,-0.000565669688906,,,,,,-0.000565669688906
61930,-0.0014202526814548,,,,,,,-0.0014202526814548
62000,,,-0.0015277565873258,-0.0003720992994839,-0.0027858184118164,-0.000776405898118,-0.0001839503359068,-0.00112920610653018
62919,,-0.0006532536863351,,,,,,-0.0006532536863351
62930,-0.0009517072729818,,,,,,,-0.0009517072729818
63000,,,-0.0016176660051437,-0.000544186061368,-0.0036281680055572,-0.0006908244731558,-9.60902015959611e-05,-0.001315386949364132
63791,,-0.0008989758494315,,,,,,-0.0008989758494315
63930,-0.0009215779083648,,,,,,,-0.0009215779083648
64000,,,-0.0008219730632546,-0.0016061692516239,-0.0071010430334951,-0.0003090706470219,-5.462211487432549e-05,-0.001978575622053965
64791,,-0.0007407871500613,,,,,,-0.0007407871500613
64930,-0.0009735021767875,,,,,,,-0.0009735021767875
65000,,,-0.000494361247293,-0.0001458544882665,-0.0035312132473028,-0.0002837972895995,-6.65828985153802e-05,-0.000904361834195436
65791,,-0.0007802997607528,,,,,,-0.0007802997607528
65930,-0.0006523995446082,,,,,,,-0.0006523995446082
66000,,,-0.0005387901061877,-0.000920603070874,-0.002970837855151,-0.000311400823262,-6.045710070261492e-05,-0.000960417791235463
66791,,-0.0007272564579972,,,,,,-0.0007272564579972
66930,-0.0005684376667311,,,,,,,-0.0005684376667311
67000,,,-0.0004226222497266,-0.0003015760973118,-0.0028545377686187,-0.0005109897459149,-5.500558674324993e-05,-0.00082894628966305
67428,,-0.0007427605916312,,,,,,-0.0007427605916312
67930,-0.000364315821449,,,,,,,-0.000364315821449
68000,,,-0.000306050736101,-0.0002945578652573,-0.0022741508533902,-0.0003716444702074,-4.3149814538306815e-05,-0.0006579107478988414
68428,,-0.0005008303862619,,,,,,-0.0005008303862619
68930,-0.0003765695070474,,,,,,,-0.0003765695070474
69000,,,-0.0002941258062866,-0.0001087741649261,-0.0021353383650766,-0.0001811746105711,-6.52610170706196e-05,-0.0005569347927862039
69428,,-0.0005630916489332,,,,,,-0.0005630916489332
69930,-0.0003694156598925,,,,,,,-0.0003694156598925
70000,,,-0.0001782119709951,-0.0001694431815505,-0.0015353571851343,-0.0002764009259774,-0.0012160532933666,-0.00067509331140478
70428,,-0.0003272848202011,,,,,,-0.0003272848202011
70930,-0.0003685010619142,,,,,,,-0.0003685010619142
71000,,,-0.0002303968149562,-0.0001934413901878,-0.0032383739713323,-0.0001978293096872,-0.0001392489755757,-0.00079985809234784
71428,,-0.0006005050187075,,,,,,-0.0006005050187075
71930,-0.0003911790467114,,,,,,,-0.0003911790467114
72000,,,-0.0001827258442641,-0.0001949122512057,-0.0037978936975972,-9.437259484230536e-05,-0.0001544861395936,-0.0008848781055005811
72428,,-0.0007056697185009,,,,,,-0.0007056697185009
72930,-0.0002417132235977,,,,,,,-0.0002417132235977
73000,,,-0.0001323742311421,-7.327118689496398e-05,-0.003572283666067,-7.28124182252857e-05,-0.0001367571440863,-0.00079749972928313
73100,,-0.0007947448752708,,,,,,-0.0007947448752708
73930,-0.0001785786816074,,,,,,,-0.0001785786816074
74000,,,-0.0001261151865297,-7.396232408782821e-05,-0.0008671672964445,-9.118110325112903e-05,-0.0008278974378792,-0.00039726466963847145
74100,,-0.000747587664223,,,,,,-0.000747587664223
74745,-0.0002339327726436,,,,,,,-0.0002339327726436
75000,,,-0.0001093929330865,-0.0001292170496537,-0.0005663364061953,-9.16839103709026e-05,-0.0003491025966957,-0.00024914657920042054
75100,,-0.0005763090325851,,,,,,-0.0005763090325851
75745,-0.0003684995768631,,,,,,,-0.0003684995768631
75953,,-0.0005609805666066,,,,,,-0.0005609805666066
76000,,,-9.08856815840798e-05,-0.000259576540936,-0.0010384815119486,-4.380083472547244e-05,-0.0001640394588884,-0.0003193568056165105
76745,-0.0001670663103504,,,,,,,-0.0001670663103504
76953,,-0.0006280699157903,,,,,,-0.0006280699157903
77000,,,-7.57432901207934e-05,-5.506512075758312e-05,-0.0013566075474878,-6.11254760910392e-05,-0.0002317097374659,-0.00035605023438462315
77745,-0.0002268461053622,,,,,,,-0.0002268461053622
77953,,-0.0004903234641458,,,,,,-0.0004903234641458
78000,,,-4.928462262357318e-05,-7.26980883133479e-05,-0.003877067992935,-5.009106538147929e-05,-0.0001419949853747,-0.00083822735092562
78745,-0.00021003792972,,,,,,,-0.00021003792972
78953,,-0.0003530294733021,,,,,,-0.0003530294733021
79000,,,-4.752411746879104e-05,-4.457243475058971e-05,-0.0007176992249195,-3.727706271872604e-05,-0.0006138713058221,-0.0002921888291359413
79745,-0.0001314546348841,,,,,,,-0.0001314546348841
79948,,-0.0007115423308518,,,,,,-0.0007115423308518
80000,,,-5.92923444601111e-05,-5.4192188502759645e-05,-0.0007468612563988,-2.592629476206499e-05,-0.0004439803663707,-0.00026605049009888714
80588,-0.0002521771226793,,,,,,,-0.0002521771226793
80843,,-0.0007134103749141,,,,,,-0.0007134103749141
81000,,,-2.7088780116399284e-05,-4.274696541576984e-05,-0.0003828250281885,-2.667280460793938e-05,-0.0001537641838018,-0.0001266195524260817
81449,-0.000308294939376,,,,,,,-0.000308294939376
81843,,-0.0005397425795645,,,,,,-0.0005397425795645
