Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
1000,-1.2224206266205306,-0.612920369255123,-0.6939790799506531,-0.5735283237242367,-1.0362959266208258,-0.6982373430251263,-0.5821858871097434,-0.774223936615177
2000,-0.3875354975474879,-0.3153389424592256,-0.3501954244093027,-0.3427157212627472,-0.3798715325920413,-0.3100836970380567,-0.3501375088727897,-0.34798261774023587
3000,-0.2224004847955052,-0.1662455149850007,-0.1893219711568159,-0.1727291216086569,-0.2612285340329801,-0.1866385438899249,-0.2012218510679678,-0.19996943164812161
4000,-0.1346053041996039,-0.1032713988773676,-0.1104036978577189,-0.1956960635635567,-0.162821781871732,-0.133337260095441,-0.1829248552567075,-0.14615148024601823
5000,-0.0943920929776393,-0.1152278538654114,-0.1352557455032839,-0.1014003554638131,-0.1034782754050329,-0.0951679930176502,-0.0856830644563482,-0.10437219724131129
6000,-0.1054405332581945,-0.0925012683298609,-0.0664003505492536,-0.1577302258886116,-0.0919152681586097,-0.1170872939919632,-0.0594283523034004,-0.09864332749712769
7000,-0.0646780727115706,-0.0746524757364165,-0.0611089098156039,-0.0493593373310507,-0.0601373688773566,-0.0853374957737638,-0.0467379169064334,-0.06314451102174222
8000,-0.0650212527594694,-0.0361442273453185,-0.0743500823479946,-0.0473146775297585,-0.1265694115297068,-0.0678088331569557,-0.0813737859210705,-0.07122603865575342
9000,-0.0949478499852241,-0.0392500267043201,-0.0887551349380645,-0.0867150072383713,-0.0601961144621632,-0.0490988736442821,-0.0670301956537023,-0.06942760037516109
10000,-0.0922793330999298,-0.0311705099048511,-0.0551286093407415,-0.0552638125932659,-0.1163614600615766,-0.0448125518361892,-0.1180693312305898,-0.07329794400959198
11000,-0.0333483450037759,-0.0476947987389332,-0.0654341395927621,-0.0339965205610209,-0.0410171014508624,-0.0347004245121462,-0.0468685122706683,-0.04329426316145272
12000,-0.0388506411960425,-0.0359055164753134,-0.0515843999655358,-0.0576448438499449,-0.0472619242044483,-0.0699712151760734,-0.0234996292547643,-0.04638831001744608
13000,-0.078635292305842,-0.0165330188689329,-0.0306509593885714,-0.0480818178896547,-0.0262539587204325,-0.0433984645916254,-0.021061160712718,-0.03780209606825385
14000,-0.0295630117438284,-0.0326267985728334,-0.0418363447464017,-0.0396682455080979,-0.0303701439768126,-0.0583958035087632,-0.0243928538990024,-0.036693314565105654
15000,-0.0287327231813001,-0.0312658790356897,-0.0404449902788925,-0.0208283182144086,-0.053388744061384,-0.0602246545983,-0.0213471223534148,-0.03660463310334139
16000,-0.0377229753229065,-0.0251161664669029,-0.0236053839534136,-0.0257180700663393,-0.0215196177976717,-0.0371623943284901,-0.0265244814345797,-0.028195584195757684
17000,-0.0416425642262082,-0.0269511066109675,-0.0266973564821804,-0.0244228527480906,-0.0579961281724736,-0.0283480223200973,-0.029620985303951,-0.0336684308377098
18000,-0.0395182014758016,-0.0313838634435967,-0.0201841982763275,-0.0219774206370627,-0.0562823629799807,-0.0388719936975373,-0.0264640314818963,-0.0335260102846004
19000,-0.0226481739681938,-0.0228617858788805,-0.0180695292601481,-0.0369046670044326,-0.0192484453040744,-0.0137918328890513,-0.0304697419225861,-0.023427739461052404
20000,-0.0187529773471744,-0.0415178575756644,-0.0237901839392612,-0.0104910130935895,-0.0359414750052573,-0.0254711619782664,-0.0252187940942276,-0.025883351861920114
21000,-0.0309640137757837,-0.0198013033764796,-0.02982331092635,-0.0339699957160923,-0.0260506614415158,-0.0153475484706089,-0.0126136814658909,-0.0240815021675316
22000,-0.0171552804759998,-0.0290713926413695,-0.0196698192414319,-0.0354882577921719,-0.0234345030351615,-0.0225834848778553,-0.0066086489085987,-0.022001626710369804
23000,-0.0251055272050534,-0.0499855984784418,-0.0205473997592182,-0.0080104837398475,-0.0157758914588997,-0.0277019319549844,-0.0128972779973216,-0.02286058722768094
24000,-0.0211809430196668,-0.0213703539477873,-0.0279978425380559,-0.0148264356728217,-0.0160739965628143,-0.0329062997195294,-0.0146606521053804,-0.021288074795150828
25000,-0.0527026192929759,-0.0164704593384554,-0.018312011555285,-0.0140499561830464,-0.0192280438925872,-0.0266109844916517,-0.0059443445245744,-0.021902631325510857
26000,-0.0548891870744727,-0.0189092629843339,-0.0277683686153471,-0.0080695967154891,-0.0354753321671805,-0.0296108231560154,-0.005632777117395,-0.025765049690033383
27000,-0.0241929056514044,-0.0115874074927917,-0.0271797123753274,-0.0036577296727191,-0.0588951821494828,-0.0288036793040915,-0.0039186906082152,-0.022605043893433156
28000,-0.0547746161750239,-0.0111411473561171,-0.0282308175507678,-0.0025306598227212,-0.0271459851564523,-0.0155715883184758,-0.0022726160040567,-0.020238204340516402
29000,-0.050239547479327,-0.0128639263917451,-0.0354456618172514,-0.0036774616053743,-0.0457078192760609,-0.0206900530056791,-0.0018688125684956,-0.02435618316341906
30000,-0.0553025238360772,-0.0116598730800741,-0.0151480427458826,-0.0010211963069801,-0.0261295565574119,-0.017757981791587,-0.0011047428388526,-0.018303416736695072
31000,-0.030776470308588,-0.00699659141217,-0.0068041383354754,-0.0005904564349843,-0.0284098422880486,-0.0084511950718249,-0.0003729703879167,-0.01177166631985827
32000,-0.0618634542580084,-0.0030438165467509,-0.0058631354994844,-0.0005257802841759,-0.0338175547024229,-0.013940787367181,-0.0001806070833765,-0.0170335908202
33000,-0.0388764216597266,-0.0017687976018081,-0.0025480100301866,-0.0001855809433326,-0.0182787113887312,-0.0031704925830961,-0.0001745242438945,-0.009286076921539385
34000,-0.0378277462845762,-0.0007943437779781,-0.0032991482357762,-0.0002151418049656,-0.0367016403745738,-0.0018124456077631,-0.0001047685860854,-0.01153646209595977
35000,-0.0654158099607139,-0.0003637233291272,-0.0022403948980023,-0.0001862587796995,-0.0144015772106912,-0.0011006061848659,-0.0001129335281191,-0.011974471984459872
36000,-0.0385962391778932,-0.0001424633396441,-0.0007970465011032,-0.0001092604695966,-0.031606263696318,-0.0005407220010667,-7.712200621203749e-05,-0.010267016741690548
37000,-0.0345228070202441,-8.178093303382259e-05,-0.0001571525902237,-8.080939879058887e-05,-0.0151381348644397,-0.000302462527397,-6.180760010602283e-05,-0.007192136419176418
38000,-0.0389222969370737,-3.705248503698187e-05,-8.668748798371936e-05,-0.0005159858343987,-0.0073824870112845,-0.0001638143177318,-4.187057650969851e-05,-0.00673574209285987
39000,-0.0277403598529875,-4.855127176925541e-05,-6.230658701913034e-05,-0.0001014015047795,-0.0140628637961929,-9.517225352413294e-05,-5.041445487149232e-05,-0.006023009960163415
40000,-0.021202227199226,-4.485381469502986e-05,-3.719894346027036e-05,-0.0014959732608146,-0.0047556430645062,-0.0001236072048051,-4.469269069941087e-05,-0.003957742311172374
41000,-0.0095000874906481,-4.902540525858137e-05,-2.086485565178396e-05,-0.0002048536458433,-0.0018020309905207,-0.0002203230824801,-3.661457091501942e-05,-0.0016905428630453693
42000,-0.0068777594782189,-3.5564040704675816e-05,-1.6213027366159146e-05,-0.0001690709667749,-0.0012781307575875,-0.0001756747524089,-2.968982387954237e-05,-0.0012260146924200823
43000,-0.0181507260674632,-4.48124676792816e-05,-1.4029195128293696e-05,-0.0001618285862979,-0.0007362703197454,-0.0001502010181299,-3.02490897251134e-05,-0.0027554452491670126
44000,-0.0125481107997915,-4.151823328662081e-05,-1.6676187812637107e-05,-9.539654469180404e-05,-0.0010000970289189,-0.0001450954070923,-3.460416947590056e-05,-0.001983071195867095
45000,-0.0048168491238791,-4.597379542806572e-05,-2.0371040445419463e-05,-0.0001135632137826,-0.0004290078553829,-0.0001131372449381,-2.530074035292102e-05,-0.0007948861448870153
46000,-0.0027873632363685,-3.1193044551715274e-05,-1.4016651384204328e-05,-0.0003806632888933,-0.0002375568456565,-6.114173795409233e-05,-2.6660553064088327e-05,-0.0005055136225532
47000,-0.0012255140874907,-4.040609685188866e-05,-1.945540999668581e-05,-0.0001108077921619,-0.0002895536055977,-3.106481260183672e-05,-3.011627093284428e-05,-0.0002495597250905079
48000,-0.0005275775010844,-3.0108486018113583e-05,-2.176456655273544e-05,-7.480130718894625e-05,-0.0001833675303288,-2.605637988270379e-05,-2.808394025853575e-05,-0.0001273942444734621
49000,-0.0002156287415879,-3.800476002923512e-05,-1.7024675249079645e-05,-6.012311883448791e-05,-0.0001785838745462,-2.670271209901007e-05,-2.4989861689142387e-05,-8.015110629072215e-05
50000,-8.803819045542387e-05,-3.213905070383073e-05,-3.11861350499016e-05,-4.416711786013765e-05,-4.012249310488837e-05,-2.5906962264389754e-05,-2.91099722640888e-05,-4.1524274528951544e-05
51000,-7.40571666851342e-05,-2.6381621386997067e-05,-9.278223252189586e-06,-4.806922393320702e-05,-0.0013601628822172,-1.9016235565465435e-05,-2.474507753562881e-05,-0.0002231014900822603
51950,,,,-0.0007951486069654,,,,-0.0007951486069654
52000,-3.4763408657372874e-05,-2.480008664459423e-05,-1.832253460990239e-05,,-0.0002021375738628,-2.4032117631314584e-05,-3.1395442429418005e-05,-5.590852730590035e-05
52950,,,,-0.0007665058501543,,,,-0.0007665058501543
53000,-4.9352318555301953e-05,-2.407698265928276e-05,-1.6281723541755368e-05,,-0.0001586981122392,-1.64410528408539e-05,-2.5568154830141743e-05,-4.8403057444422615e-05
53940,,-3.1728984223732135e-05,,,,,,-3.1728984223732135e-05
53950,,,,-0.0003574958390443,,,,-0.0003574958390443
54000,-4.563522796252749e-05,,-2.1523751767340613e-05,,-0.0001371554761491,-2.0927396714969064e-05,-2.669822754665993e-05,-5.038801602811942e-05
54940,,-0.0004859882602387,,,,,,-0.0004859882602387
54950,,,,-0.000393143108387,,,,-0.000393143108387
55000,-4.301422912864493e-05,,-1.7568135658199296e-05,,-9.725337258992122e-05,-1.6588771197302847e-05,-2.41585683860548e-05,-3.971661539202462e-05
55940,,-0.0003931886964071,,,,,,-0.0003931886964071
55950,,,,-0.0003552032868162,,,,-0.0003552032868162
56000,-2.754955489170729e-05,,-1.940512303488886e-05,,-0.0002479738037783,-3.19288052847929e-05,-2.551551066930006e-05,-7.047455953179782e-05
56777,,,,-0.0008246731027205,,,,-0.0008246731027205
56940,,-0.0004489687113992,,,,,,-0.0004489687113992
57000,-3.905766174540689e-05,,-1.7471905533476493e-05,,-0.0014957452540372,-1.6372951796730672e-05,-2.139831141813209e-05,-0.00031800921690618926
57777,,,,-0.0005693630751834,,,,-0.0005693630751834
57940,,-0.0004663728600843,,,,,,-0.0004663728600843
58000,-2.5585307344729765e-05,,-1.6108813550021233e-05,,-0.0002468703564282,-1.6556360205353733e-05,-1.8922785615325933e-05,-6.480872462872613e-05
58777,,,,-0.0004654340389705,,,,-0.0004654340389705
58940,,-0.0003788798600769,,,,,,-0.0003788798600769
59000,-3.073476825507589e-05,,-1.535041000827164e-05,,-0.0001640118022146,-1.9229192093178463e-05,-3.1073856186753764e-05,-5.208000575157595e-05
59777,,,,-0.0004757120249229,,,,-0.0004757120249229
59940,,-0.0003243086605469,,,,,,-0.0003243086605469
60000,-2.6222962126143737e-05,,-1.7871313511156718e-05,,-0.0001494486005225,-1.644206526626827e-05,-2.5239363454953827e-05,-4.704486097620451e-05
60777,,,,-0.0003654034265907,,,,-0.0003654034265907
60940,,-0.0003494744319368,,,,,,-0.0003494744319368
61000,-2.9195708446035967e-05,,-1.8374696915557423e-05,,-0.0002046329201528,-1.7178397319862104e-05,-2.697756417113511e-05,-5.927185740107813e-05
61777,,,,-0.0004828842952736,,,,-0.0004828842952736
61940,,-0.0004400233126067,,,,,,-0.0004400233126067
62000,-2.1045361695389865e-05,,-1.4516890260507123e-05,,-0.0001536719875889,-1.7200234183062798e-05,-2.2727470385644045e-05,-4.5832388822700766e-05
62394,,,,-0.0010007482373023,,,,-0.0010007482373023
62940,,-0.0003615246912295,,,,,,-0.0003615246912295
63000,-1.880679073622861e-05,,-1.7937954289670493e-05,,-0.0013198636687522,-2.226968405468593e-05,-2.232792586625453e-05,-0.0002802412047398079
63394,,,,-0.0005547311485674,,,,-0.0005547311485674
63940,,-0.0003319592956492,,,,,,-0.0003319592956492
64000,-2.0072039913868723e-05,,-1.993483353066316e-05,,-0.00019943539464,-1.5538920315091082e-05,-2.920584091814992e-05,-5.683740586355457e-05
64394,,,,-0.0008066469656084,,,,-0.0008066469656084
64880,,-0.0001583705458831,,,,,,-0.0001583705458831
65000,-1.841049660077732e-05,,-2.5767761725556897e-05,,-0.0020396419074287,-2.1097373761148077e-05,-2.740749038176608e-05,-0.00042646500597958966
65060,,,,-0.0007397159501961,,,,-0.0007397159501961
65880,,-0.0005345560827533,,,,,,-0.0005345560827533
65946,,,,-0.0008109870012987,,,,-0.0008109870012987
66000,-1.7277194819277776e-05,,-1.276628073098922e-05,,-0.0002215430044535,-1.646780991325622e-05,-2.4241968142838142e-05,-5.845925161197228e-05
66880,,-0.0003213860186829,,,,,,-0.0003213860186829
66936,,,,-0.0011879683335049,,,,-0.0011879683335049
67000,-2.057553594092561e-05,,-2.664332725089324e-05,,-0.0002052370680841,-1.820141277199013e-05,-2.358652899320005e-05,-5.8848774608221807e-05
67719,,,,-0.0008650716155326,,,,-0.0008650716155326
67880,,-0.000455345153843,,,,,,-0.000455345153843
68000,-1.8771530164185844e-05,,-1.380594318155462e-05,,-0.0001739248757747,-1.4306465267331047e-05,-2.0656283827916705e-05,-4.829301964313764e-05
68719,,,,-0.0006141474997242,,,,-0.0006141474997242
68880,,-0.0003932317619897,,,,,,-0.0003932317619897
69000,-2.4928395268189896e-05,,-1.794803751873669e-05,,-0.0001795184374415,-2.0688531838134848e-05,-0.0020951694134148,-0.0004676505630962722
69719,,,,-0.0005460806070916,,,,-0.0005460806070916
69880,,-0.0003238174433136,,,,,,-0.0003238174433136
70000,-1.97186978813364e-05,,-1.8699100268398675e-05,,-0.000122232786391,-1.5354089931197708e-05,-0.0016322819130126,-0.0003616573174969065
70499,,,,-0.0007790473640525,,,,-0.0007790473640525
70880,,-0.0003801218668476,,,,,,-0.0003801218668476
71000,-1.0647392410444987e-05,,-1.951719861530593e-05,,-0.0001291614235609,-3.05362564825317e-05,-0.0002294480281298,-8.386205983979653e-05
71314,,,,-0.0010699831812457,,,,-0.0010699831812457
71880,,-0.0002804937210848,,,,,,-0.0002804937210848
72000,-2.4786538988915765e-05,,-1.605532049490274e-05,,-7.849070254519779e-05,-9.591131994661598e-06,-0.0001786441332648,-6.151356545769558e-05
72314,,,,-0.0006819062178681,,,,-0.0006819062178681
72880,,-0.0003297793327708,,,,,,-0.0003297793327708
73000,-1.607914676640047e-05,,-1.601923835840028e-05,,-9.995196475274998e-05,-1.5352587552029116e-05,-0.0002121177831596,-7.190414411783597e-05
73314,,,,-0.0009342557050725,,,,-0.0009342557050725
73880,,-0.0003077692375919,,,,,,-0.0003077692375919
74000,-1.3423596411896568e-05,,-2.94402776513104e-05,,-6.069801792440773e-05,-1.7471844856776995e-05,-0.0002150092144356,-6.720859025599833e-05
74314,,,,-0.0004474490390026,,,,-0.0004474490390026
74880,,-0.000215304933174,,,,,,-0.000215304933174
75000,-2.108992900319121e-05,,-3.2363975044971904e-06,,-4.86124295493501e-05,-2.0216531033027217e-05,-0.000110549784212,-4.074101426041314e-05
75314,,,,-0.0004294522445881,,,,-0.0004294522445881
75880,,-7.964224845119945e-05,,,,,,-7.964224845119945e-05
76000,-1.6217716024994105e-05,,-2.128528211736518e-05,,-0.0003135839736973,-1.7113722040445503e-05,-0.0001058527100888,-9.481068079378098e-05
76314,,,,-0.000766829400877,,,,-0.000766829400877
76880,,-2.3251259084046475e-05,,,,,,-2.3251259084046475e-05
