Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
1000,-1.280928749645878,-0.6220318403764264,-0.7047591978560875,-0.5885324513351006,-1.07112167024843,-0.6906564130999435,-0.6240280228144414,-0.7974369064823296
2000,-0.4000494307535875,-0.3366503527482776,-0.3575244333927214,-0.3409568063746397,-0.3769374655477239,-0.3367538498128947,-0.3858735191894344,-0.3621065511170399
3000,-0.2470852225392864,-0.2087519566581867,-0.2108928306623027,-0.2351649348005673,-0.2577349732103242,-0.2237264736640397,-0.2136261256612549,-0.2281403595994231
4000,-0.1770843858697425,-0.1289246698221925,-0.1413762324356214,-0.1405959763447241,-0.178902735194744,-0.1512143904031902,-0.1462471185314506,-0.15204935837166647
5000,-0.1431275533916526,-0.0882264634359166,-0.1242991386137222,-0.0964015057390742,-0.1277304272099922,-0.104001500444085,-0.0850239459778506,-0.1098300764017562
6000,-0.0703714784204469,-0.0668798187516958,-0.0652536230888894,-0.1118115840630295,-0.1393540114272864,-0.0860095827370977,-0.0740260525299983,-0.08767230728834914
7000,-0.0876227306372693,-0.0549321480974111,-0.0875837691132748,-0.0612501952492739,-0.1018955207456895,-0.0826202111653946,-0.063577513385379,-0.07706886977052745
8000,-0.0547075045169332,-0.0631779104105474,-0.0344997312343328,-0.0756065231438345,-0.1575394819465957,-0.1301749221816729,-0.0790075568843698,-0.08495909004546946
9000,-0.0830707762156779,-0.0535404450246308,-0.044500152217352,-0.054698570103278,-0.0330355463173981,-0.0691176302076423,-0.0545856136301149,-0.05607839053087056
10000,-0.0595647534802622,-0.0273501219009553,-0.0365310227051682,-0.0612508129256585,-0.0394956792908188,-0.0371649732292609,-0.0555897123918008,-0.04527815370341781
11000,-0.0427727834303187,-0.0253286364773641,-0.0767002106503766,-0.0299027347529933,-0.068837089347452,-0.0453154989223371,-0.0473997694287936,-0.0480366747156622
12000,-0.0362294717127555,-0.0399648718556743,-0.0758430103827566,-0.0265145029825762,-0.0786431175449095,-0.0491197019395624,-0.0278366150341543,-0.04773589877891269
13000,-0.0392111239205582,-0.0259613427181341,-0.0588554907637682,-0.0277241094407456,-0.0637136578366943,-0.0709492491891513,-0.0424393560293092,-0.046979189985480126
14000,-0.0353811273897649,-0.0108827955482468,-0.0541108955898117,-0.044060062128802,-0.0503270158754965,-0.025247624255271,-0.0317839581529464,-0.03597049699147704
15000,-0.0185277183162501,-0.0177157638076236,-0.0643582628598663,-0.0120291659225511,-0.0229321926483228,-0.0103621298291379,-0.0315526102995834,-0.025353977669047883
16000,-0.0303722963434192,-0.0095506851702489,-0.0211536543552204,-0.0092121559381072,-0.0202537796987785,-0.0206155294769385,-0.0183435396919917,-0.018500234382100626
17000,-0.0260656645066175,-0.0129865605417194,-0.0344923498045403,-0.0274238444151946,-0.0326698545817654,-0.0196014914765085,-0.0145639775380862,-0.023971963266347412
18000,-0.0121986572140584,-0.0158647616361642,-0.0238297658541535,-0.019628495828794,-0.0193213244919454,-0.0116306178870393,-0.0095914758592205,-0.016009299824482185
19000,-0.0160790439797465,-0.0145996196457166,-0.0312532317088663,-0.0133184738654455,-0.0191177046699246,-0.0204956298574603,-0.0143013011101771,-0.018452143548190986
20000,-0.016001526269015,-0.0410410140699082,-0.0096225257105591,-0.0188536225651481,-0.0132039336073628,-0.0270415566660128,-0.0082963158005683,-0.0191514992412249
21000,-0.03187380651406,-0.0205479690236007,-0.0171472948630455,-0.0202864288723251,-0.0122780238168434,-0.0180676233439241,-0.0357610764455529,-0.0222803175541931
22000,-0.0198728752282664,-0.0187714591575144,-0.0166660906846933,-0.0249100814257936,-0.0284047093479644,-0.0134999496930006,-0.0167178465133774,-0.019834716007230014
23000,-0.0337474870746983,-0.0074250590079513,-0.0355088400915548,-0.0259226811576731,-0.0159463852928363,-0.0331444966277331,-0.045090479482244,-0.028112204104955844
24000,-0.0238753436114622,-0.02098938823775,-0.0310249707398386,-0.0269937213888812,-0.0340261299600216,-0.0182903112705924,-0.0201382825530661,-0.025048306823087445
25000,-0.0148323663620735,-0.0108294995399438,-0.02432521351124,-0.013298912562122,-0.0117455425590808,-0.0098855763495038,-0.0383142201056092,-0.0176044758556533
26000,-0.0166418899450317,-0.0111611527997493,-0.0136284408522787,-0.0054837437105823,-0.0140870667406679,-0.0172713050360502,-0.0193164915717928,-0.013941441522307557
27000,-0.0172791709986011,-0.005395162438935,-0.0155710449202062,-0.0050884649124739,-0.0204163991907424,-0.0241661726848121,-0.0127153243120942,-0.014375962779694985
28000,-0.0165595760839694,-0.0019990457013532,-0.0202351549752417,-0.0027016153943102,-0.0346312707187935,-0.0341770338842942,-0.0138304113652586,-0.017733444017602972
29000,-0.0196936839179298,-0.0027590675016889,-0.0156225842008831,-0.0015810949261424,-0.0148561153042841,-0.0059933446000773,-0.0255908013869254,-0.012299527405418715
30000,-0.0233769645135864,-0.0024022047250647,-0.0111343779355342,-0.0005383899819958,-0.0259743299596221,-0.0117567729567509,-0.0188327107328782,-0.013430821543633186
31000,-0.0248986407753667,-0.000820728501813,-0.0146725848762334,-0.000424996196128,-0.015226335524518,-0.0099988125736943,-0.014132407821141,-0.011453500895556343
32000,-0.0187635735145403,-0.000671986400735,-0.0101216120518939,-0.0003906440067732,-0.0194083325077654,-0.0039684591973264,-0.0126395478953979,-0.009423450796347443
33000,-0.0139287600312149,-0.0006642996794166,-0.0048714233681943,-0.0002294391187235,-0.0141850856152694,-0.0025714473411633,-0.0030818508499219,-0.005647472286271986
34000,-0.0080672080431722,-0.0002855406428834,-0.0017458401428647,-0.0003339858551763,-0.0074728235351922,-0.0009243516698354,-0.0018070437936578,-0.0029481133832545713
35000,-0.0136657340355066,-0.0003033633733627,-0.0017433079537666,-0.0004583480348785,-0.0097389661010503,-0.0018555829990637,-0.0017656877265063,-0.0042187128891621
36000,-0.0059746101293442,-0.0003972960391828,-0.0016270767136401,-0.0003899584881983,-0.0099311264656983,-0.0008259979750943,-0.0028104359778192,-0.0031366431127110286
37000,-0.0029787062608878,-0.000223346867229,-0.0015429049114732,-0.000562061864883,-0.0052704441539935,-0.0005907070151285,-0.0012353763155354,-0.001771935341304343
38000,-0.00197587921862,-0.0001430614864679,-0.0005327815871343,-0.0001960025923886,-0.0015511816082823,-0.0001957025643629,-0.0007111426191963,-0.0007579645252074713
39000,-0.0016343966182481,-9.312216570861403e-05,-0.0003439158789506,-0.0001401261569026,-0.0017153907901777,-0.0001257476004487,-0.0007719362776895,-0.0006892336411608305
40000,-0.0048445808752924,-0.0001436416836261,-0.0002125831933955,-0.0006537669518419,-0.0081179699045556,-0.0001295586342371,-0.0003997003691777,-0.0020716859445894715
41000,-0.001014299396471,-8.011073549101296e-05,-0.0002615608032961,-0.0002283136741932,-0.0016498628028649,-0.0001546951780519,-0.0001908261815001,-0.0005113812531240304
42000,-0.0012271450145209,-5.014153763072075e-05,-0.0001563405691381,-0.0001665298571997,-0.0049251724901912,-0.0001791246058926,-0.000295975589352,-0.001000061380560746
42805,,-6.486989977086568e-05,,,,,,-6.486989977086568e-05
43000,-0.0008661757195529,,-0.0001340519750696,-0.0005494365618043,-0.0009266438043352,-0.0001546758025363,-0.0002407524399065,-0.0004786227172008
43805,,-4.308973923826662e-05,,,,,,-4.308973923826662e-05
44000,-0.0006341665073488,,-0.0006442594257264,-0.0001080777589324,-0.000766000201296,-0.0001345654362592,-0.0001860773429529,-0.00041219111208595
44805,,-0.0001493972700438,,,,,,-0.0001493972700438
45000,-0.0004300608036521,,-0.000148652369997,-0.0001981108468077,-0.0080388035081181,-0.0001737581498904,-0.0001676495014711,-0.0015261725299894
45805,,-0.0002854123281037,,,,,,-0.0002854123281037
46000,-0.0001904800484459,,-8.04927513423589e-05,-0.0003621401524461,-0.0009776484451247,-0.000176458836015,-9.98759886100034e-05,-0.00031451603699734376
46508,,-0.0001639687993804,,,,,,-0.0001639687993804
47000,-0.0002517210932122,,-0.0001120008972163,-9.558411450523786e-05,-0.0004664476506024,-0.0001536905726723,-0.0002029976792193,-0.00021374033457128964
47508,,-0.0001795405410745,,,,,,-0.0001795405410745
48000,-0.0001454686818739,,-8.447127463105746e-05,-8.632457215991368e-05,-0.000345610062211,-8.812608959612181e-05,-0.0001127735826571,-0.0001437957105215155
48508,,-0.0001269159545001,,,,,,-0.0001269159545001
48910,,,,-0.0007452398684398,,,,-0.0007452398684398
49000,-0.0001367590406088,,-7.215253754335569e-05,,-0.0003188604929929,-0.0001035747562322,-0.0001050760905124,-0.00014728458357793115
49508,,-0.0001508786867147,,,,,,-0.0001508786867147
49910,,,,-0.0003617739098704,,,,-0.0003617739098704
50000,-0.0001280980610382,,-7.752838041184834e-05,,-0.0011214817470659,-9.593545070158264e-05,-6.54849926374274e-05,-0.00029770572637099167
50508,,-0.0002044633266427,,,,,,-0.0002044633266427
50910,,,,-0.0001991112510579,,,,-0.0001991112510579
