Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
933,,-0.6389121663781371,,,,,,-0.6389121663781371
1000,-1.2715311946238823,,-0.7094525051174203,-0.608118165387753,-1.1299175318024544,-0.7247394923449201,-0.6225064260459264,-0.844377552553726
1933,,-0.3230809681910745,,,,,,-0.3230809681910745
2000,-0.3928551084904048,,-0.3535748136484106,-0.3274566544826257,-0.3857090974214616,-0.3300896690381375,-0.3400794673472694,-0.3549608017380516
2933,,-0.213304303390849,,,,,,-0.213304303390849
3000,-0.2386471265174782,,-0.2255196213866621,-0.2229477775709874,-0.2550782059627032,-0.2236780705045394,-0.2352103581144455,-0.23351352667613598
3933,,-0.1394809714939245,,,,,,-0.1394809714939245
4000,-0.1709121435331175,,-0.153290420749837,-0.1481336911073776,-0.2360304441639965,-0.1549228878544208,-0.156950049911723,-0.17003993955341204
4933,,-0.1535475368888085,,,,,,-0.1535475368888085
5000,-0.1263986762040345,,-0.1489994731413489,-0.1025556717605217,-0.1371592182290332,-0.1088083525081166,-0.0913565825009971,-0.11921299572400867
5933,,-0.0986856900130461,,,,,,-0.0986856900130461
6000,-0.1124505143883576,,-0.062814949300667,-0.0748836543160076,-0.0948007901179908,-0.1100905886437927,-0.0610664694312498,-0.08601782769967758
6933,,-0.0706931373227238,,,,,,-0.0706931373227238
7000,-0.0649807084662409,,-0.0780322618372111,-0.0892988261004264,-0.0530618362974518,-0.1059344347490164,-0.0445499180434471,-0.07264299758229896
7933,,-0.0302062620174239,,,,,,-0.0302062620174239
8000,-0.083842237499839,,-0.044625105594748,-0.0979574074565266,-0.1210027240837755,-0.0855039392096393,-0.0616101703696729,-0.08242359736903355
8933,,-0.025535154791675,,,,,,-0.025535154791675
9000,-0.0490494724377631,,-0.0796723447632198,-0.0808484787453196,-0.0576560642960079,-0.0433392420848504,-0.0615428693100964,-0.06201807860620953
9933,,-0.0185155700979241,,,,,,-0.0185155700979241
10000,-0.0879466560045748,,-0.0579345659580509,-0.0393428831504965,-0.1479329024429936,-0.0432025612712521,-0.0593603366762513,-0.07261998425060319
10933,,-0.0160627627056374,,,,,,-0.0160627627056374
11000,-0.0372821701755977,,-0.0435629337763651,-0.0252168244594433,-0.048480565885848,-0.0253779197134055,-0.056385825635551,-0.03938437327436844
11933,,-0.0169394886535513,,,,,,-0.0169394886535513
12000,-0.0274620361695391,,-0.041021364188501,-0.0588808874768411,-0.050702895987527,-0.0262286228453841,-0.0202907458171294,-0.03743109208082028
12933,,-0.0119901127344004,,,,,,-0.0119901127344004
13000,-0.0650369765850303,,-0.0204873406395373,-0.0660791469958259,-0.029699468566248,-0.0153173279768181,-0.035208332180796,-0.0386380988240426
13933,,-0.0368549349736822,,,,,,-0.0368549349736822
14000,-0.013916247298992,,-0.0255516909524689,-0.0337536352710904,-0.0120813027341459,-0.0220885778128133,-0.0342007323018057,-0.023598697728552703
14933,,-0.0427761671787302,,,,,,-0.0427761671787302
15000,-0.0436045517788706,,-0.018535589693346,-0.0171612490321246,-0.0357053408928542,-0.0232090957814414,-0.0310087912344696,-0.02820410306885106
15933,,-0.027285640322546,,,,,,-0.027285640322546
16000,-0.0118997013283513,,-0.018122221832178,-0.0159912259798977,-0.0144199708444937,-0.0184500293164151,-0.0303990415549078,-0.0182136984760406
