Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss
1000,1,-1000.0,-1.0692794800382108,0.7409909115988242,-0.6929815127213933,0.5444309077709913
2000,2,-1000.0,-5.601402969360351,1.9783114761010379,-0.3531814238187098,0.26354197013750674
3000,3,-1000.0,-13.588353881835937,2.5321418442673784,-0.186346474803853,0.1681941927438602
4000,4,-1000.0,-21.70870150566101,2.600298166528196,-0.11978137733618532,0.11668917984282598
5000,5,-1000.0,-28.869386003494263,3.7619526921954023,-0.13030941121297374,0.08990468480391428
6000,6,-1000.0,-35.36281506729126,2.5592435667732247,-0.07237103612660041,0.0810309596247971
7000,7,-1000.0,-41.1290955696106,2.509135570037736,-0.06100633955811277,0.07569347177911549
8000,8,-1000.0,-46.50400963973999,4.3315573989306895,-0.09314374034597563,0.07475752549804747
9000,9,-1000.0,-50.94690359115601,3.88483244360707,-0.07625257218343387,0.08141003486327827
10000,10,-1000.0,-54.974697925567625,3.6771553250244104,-0.06688814061339735,0.08562041201815009
11000,11,-1000.0,-59.13283949661255,4.179150715814544,-0.07067393941151681,0.09057198965549469
12000,12,-1000.0,-62.26240270233154,3.3699933243654314,-0.05412565493941716,0.09065703387185932
13000,13,-1000.0,-65.00896195220948,2.566076513063122,-0.03947265786138134,0.08374332912638784
14000,14,-1000.0,-67.49414759826661,2.888031747897636,-0.04278936545858099,0.07522705685533583
15000,15,-1000.0,-69.71579368591308,2.6683641320859772,-0.03827488709527741,0.061999130737036466
16000,16,-1000.0,-71.90744342041016,1.7658609012962119,-0.024557414605495362,0.046813376881182193
17000,17,-1000.0,-73.56789371490478,2.278303301174092,-0.030968717277717984,0.036914343807846306
18000,18,-1000.0,-75.20469211578369,1.8485748965016506,-0.024580579276298618,0.028216993569396435
19000,19,-1000.0,-76.59029156494141,1.6860361524455163,-0.02201370588876679,0.017560047574806958
20000,20,-1000.0,-77.95499043273925,1.3595225202285333,-0.01743983948534443,0.011444436636054888
21000,21,-1000.0,-78.94995459747314,1.5267929815514847,-0.019338744263196206,0.00772813651303295
22000,22,-1000.0,-79.92547677612305,1.6229628666535376,-0.020305951645425552,0.006895223144791089
23000,23,-1000.0,-80.99449300384522,1.4178619232837875,-0.01750565835650671,0.008973331498214976
24000,24,-1000.0,-81.80613236999511,1.7329046608979024,-0.02118306550736651,0.013859833116177469
25000,25,-1000.0,-82.86998296356201,1.0270564323557931,-0.012393588071659078,0.018449380089063196
26000,26,-1000.0,-83.70764056396484,1.054808074827757,-0.012601096718545422,0.0233675807970576
27000,27,-1000.0,-84.71055936431885,1.953277469532286,-0.02305825252707552,0.027014977782964706
28000,28,-1000.0,-85.59192001342774,3.229794168168411,-0.03773480215961644,0.031450546160340306
29000,29,-1000.0,-86.59578237915039,3.6687778398669226,-0.042366703539943436,0.03789807581808418
30000,30,-1000.0,-87.35410536956788,1.566215409997105,-0.017929499745557898,0.04278103789128363
31000,31,-1000.0,-88.20895426940918,1.15949875199733,-0.013144909851849856,0.04205390027258545
32000,32,-1000.0,-89.17195863342285,3.834141243815478,-0.04299716303840825,0.03901596540771425
33000,33,-1000.0,-89.85672077178955,0.8945750565110344,-0.009955572035429603,0.039591550190001726
34000,34,-1000.0,-90.73196975708008,1.8826929264325727,-0.0207500501914945,0.035552352446131405
35000,35,-1000.0,-91.49407299804687,2.2128590474145913,-0.02418581854435346,0.03346942220069468
36000,36,-1000.0,-92.22602997589111,2.0861009556617502,-0.02261943787678034,0.03355273728631437
37000,37,-1000.0,-92.61962212371826,1.4187176758126048,-0.015317679378107678,0.031652821393683556
38000,38,-1000.0,-93.09311185455323,2.054916117714661,-0.022073771912633235,0.02502758280513808
39000,39,-1000.0,-93.58503714752197,1.6161166316871958,-0.017268963938536927,0.018761370908468963
40000,40,-1000.0,-93.87092874145507,0.7088218133841829,-0.0075510258914819346,0.013879049874143675
41000,41,-1000.0,-94.18538641357422,1.3022077651476285,-0.013826006504125264,0.010835240109590813
42000,42,-1000.0,-94.42004515838623,1.469810000965323,-0.01556671571698329,0.007541951461695134
43000,43,-1000.0,-94.53143766784667,0.6452377524111896,-0.0068256420121139945,0.004479205163661391
44000,44,-1000.0,-94.71379326629639,0.7446196193649174,-0.007861786479941226,0.002289100475201849
45000,45,-1000.0,-94.89855391693115,0.22287479553729792,-0.0023485583956567974,0.0008575015928836365
46000,46,-1000.0,-95.06101535797119,0.6059736963272143,-0.006374576308124836,0.0005803633927280316
47000,47,-1000.0,-95.25399855041503,0.318353012389832,-0.003342148542156343,0.0013100759945227764
48000,48,-1000.0,-95.52748200988769,0.44077287918362207,-0.004614095021765562,0.0021968617548118346
49000,49,-1000.0,-95.8060609741211,0.5379818881408022,-0.005615322064917381,0.0025224239894305355
50000,50,-1000.0,-96.03465457153321,0.85976895202763,-0.008952694794015373,0.0026748809585697016
51000,51,-1000.0,-96.27824842071533,0.7052592735831238,-0.00732521919698094,0.002395985267823562
52000,52,-1000.0,-96.48965397644044,0.48323827030937194,-0.00500818741071828,0.0018234003246761859
53000,53,-1000.0,-96.72746955108643,0.2411614343420616,-0.0024932052441906656,0.000985374515876174
54000,54,-1000.0,-96.8969487838745,0.3432317306723028,-0.003542234662495617,0.00041584955211146737
55000,55,-1000.0,-97.01440998077392,0.3883109179445315,-0.004002610725782758,0.00012295211614218716
56000,56,-1000.0,-97.1402352218628,0.20719310307166278,-0.0021329277471734084,0.00016618209864827804
57000,57,-1000.0,-97.28568270874024,0.21962462786484233,-0.00225752260507199,0.0003266963955393294
58000,58,-1000.0,-97.4878664855957,0.22545932221536882,-0.002312691110628434,0.00042383075820544037
59000,59,-1000.0,-97.62979306793213,0.10868666237796458,-0.0011132530241290068,0.0002807355587465281
60000,60,-1000.0,-97.75677565002441,0.2993348204633531,-0.003062036554223015,0.00011796688674803591
61000,61,-1000.0,-97.8833430480957,0.0854908667472296,-0.0008733954530468277,4.432720494696696e-05
62000,62,-1000.0,-97.98191111755371,0.17458605768837257,-0.0017818192735484931,5.8569345401338066e-05
63000,63,-1000.0,-98.11826700592042,0.27298796828615446,-0.002782233896056098,8.77700993023609e-05
64000,64,-1000.0,-98.24018003845215,0.05862988269009787,-0.0005968014580912776,7.3966204719909e-05
65000,65,-1000.0,-98.33783823394775,0.1540786840372806,-0.0015668300910858363,3.035575799185608e-05
66000,66,-1000.0,-98.42588497924805,0.12420187897859655,-0.0012618822681125302,2.675033842388075e-05
67000,67,-1000.0,-98.51694825744629,0.1913313448681805,-0.0019421160343719734,3.867444216666627e-05
68000,68,-1000.0,-98.6243938293457,0.04021239614936531,-0.00040773275847907014,3.870013675441442e-05
