Epoch time step,Epoch number,Episode reward
3000,1,-1000.0
6000,2,-1000.0
9000,3,-1000.0
12000,4,-1000.0
15000,5,-1000.0
18000,6,-1000.0
21000,7,-1000.0
24000,8,-1000.0
27000,9,-1000.0
30000,10,-1000.0
33000,11,-1000.0
36000,12,-1000.0
39000,13,-1000.0
42000,14,-136.0
45000,15,-1000.0
48000,16,-168.0
51000,17,-166.0
54000,18,-168.0
57000,19,-344.0
60000,20,-1000.0
63000,21,-167.0
66000,22,-461.0
69000,23,-161.0
72000,24,-846.0
75000,25,-1000.0
78000,26,-1000.0
81000,27,-1000.0
84000,28,-1000.0
87000,29,-175.0
90000,30,-1000.0
93000,31,-322.0
96000,32,-1000.0
99000,33,-1000.0
102000,34,-1000.0
105000,35,-171.0
108000,36,-264.0
111000,37,-337.0
114000,38,-1000.0
117000,39,-1000.0
120000,40,-1000.0
123000,41,-262.0
126000,42,-184.0
129000,43,-1000.0
132000,44,-1000.0
135000,45,-1000.0
138000,46,-592.0
141000,47,-1000.0
144000,48,-1000.0
147000,49,-1000.0
150000,50,-197.0
153000,51,-1000.0
156000,52,-1000.0
159000,53,-1000.0
162000,54,-1000.0
165000,55,-1000.0
168000,56,-316.0
171000,57,-1000.0
174000,58,-1000.0
177000,59,-1000.0
180000,60,-1000.0
183000,61,-1000.0
186000,62,-1000.0
189000,63,-1000.0
192000,64,-427.0
195000,65,-1000.0
198000,66,-418.0
201000,67,-623.0
204000,68,-194.0
207000,69,-254.0
210000,70,-1000.0
213000,71,-1000.0
216000,72,-1000.0
219000,73,-624.0
222000,74,-260.0
225000,75,-533.0
228000,76,-375.0
231000,77,-297.0
234000,78,-1000.0
237000,79,-221.0
240000,80,-337.0
243000,81,-1000.0
246000,82,-1000.0
249000,83,-199.0
252000,84,-805.0
255000,85,-196.0
258000,86,-899.0
261000,87,-181.0
264000,88,-98.0
267000,89,-259.0
270000,90,-131.0
273000,91,-100.0
276000,92,-169.0
279000,93,-161.0
282000,94,-157.0
285000,95,-159.0
288000,96,-150.0
291000,97,-151.0
294000,98,-229.0
297000,99,-224.0
300000,100,-1000.0
