Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss,N steps
1000,1,-1000.0,-1.7092352083921432,1.1134972321185788,-0.6514593349419897,2.4148571420907974,2
2000,2,-1000.0,-7.629595745801925,2.402065948171398,-0.31483528462082677,1.4905110321491957,2
3000,3,-1000.0,-18.089941626548768,3.7599166145324046,-0.20784570189073232,0.8423615260608495,2
4000,4,-1000.0,-31.625067390441895,4.217469599720365,-0.13335843834423003,0.6269166046157479,2
5000,5,-1000.0,-43.65150539016724,4.625985542174215,-0.10597539536898185,0.45668523966521024,2
6000,6,-1000.0,-53.60894664382935,5.452340934181577,-0.10170580239910698,0.4106285575777292,2
7000,7,-1000.0,-61.220768383026126,2.7558744297362803,-0.0450153518573015,0.39390243342518805,2
8000,8,-1000.0,-67.53884433364868,2.008762737781927,-0.029742332099412853,0.3093849611505866,2
9000,9,-1000.0,-72.64370082092285,2.3013305940792743,-0.031679699245394786,0.22596115183085203,2
10000,10,-1000.0,-76.94204903411865,1.4920810714256956,-0.019392271068373254,0.151257039565593,2
11000,11,-1000.0,-80.30252478790283,2.426202888819524,-0.030213282773208887,0.08934094869345427,2
12000,12,-1000.0,-82.9398674621582,1.7751675288737006,-0.021403066862671693,0.045312581717036664,2
13000,13,-1000.0,-85.18695730590821,1.1078764950009266,-0.013005236130485539,0.03010728030418977,2
14000,14,-1000.0,-87.23212202453614,2.7050044623782887,-0.031009270433859686,0.04521024257224053,2
15000,15,-1000.0,-89.14175537109375,3.2814292386316257,-0.03681135989493543,0.0939383290745318,2
16000,16,-1000.0,-90.70409176635742,2.280302846567924,-0.025140021824392483,0.14802826799452304,2
17000,17,-1000.0,-91.9741007156372,3.2296982173288367,-0.035115300853164326,0.17416834680736065,2
18000,18,-1000.0,-92.94055002593994,3.2018402580548213,-0.0344504121953354,0.1980797962769866,2
19000,19,-1000.0,-94.05290913391113,2.5338850848171015,-0.02694106017719658,0.20911693798005582,2
20000,20,-1000.0,-94.59268523406982,2.8078164745319434,-0.029683230448358612,0.1923755986019969,2
21000,21,-1000.0,-95.38979971313476,1.3641401098501962,-0.014300691624812794,0.15311143861711024,2
22000,22,-1000.0,-95.89737758636474,1.2535804866809006,-0.013072103932685038,0.10315872845053672,2
23000,23,-1000.0,-96.38417712402344,2.148684904067581,-0.02229292159959758,0.0640677432473749,2
24000,24,-1000.0,-96.71123551177979,0.9480325197647647,-0.009802713353292759,0.03330193252582103,2
25000,25,-1000.0,-97.07290930938721,0.43750043785675463,-0.004506926195673906,0.00902704436739441,2
26000,26,-1000.0,-97.37763725280762,0.3046294596794743,-0.003128330777718589,0.0015740600272256416,2
27000,27,-1000.0,-97.70794760131835,0.2865969346393199,-0.002933199823301302,0.003196287480473984,2
28000,28,-1000.0,-98.03574909973145,0.6316651917360513,-0.006443212782445925,0.005299910613335669,2
29000,29,-1000.0,-98.21218021392822,0.6847133482265688,-0.006971776278004512,0.005077237200224772,2
30000,30,-1000.0,-98.42023380279541,0.34483871382380044,-0.003503738006909775,0.002304020281764679,2
31000,31,-1000.0,-98.57545573425293,0.15031624299970764,-0.0015248850931507878,0.0005363228460919345,2
32000,32,-1000.0,-98.70987591552735,0.196066854550417,-0.0019862942054369973,0.0007633931742602727,2
33000,33,-1000.0,-98.82838372039795,0.28803718983722554,-0.002914518875995493,0.000907157335372176,2
34000,34,-1000.0,-98.95576816558838,0.10949486735342885,-0.0011065031314819848,0.00025276768621915836,2
35000,35,-1000.0,-99.09410865020752,0.17991216254896755,-0.0018155687053408981,0.00019549360621385858,2
36000,36,-1000.0,-99.18926723480224,0.19503399843745142,-0.0019662812708935956,0.00021007125309552066,2
37000,37,-1000.0,-99.29860959625245,0.10342703558940375,-0.0010415758690875679,0.00015391995973732263,2
38000,38,-1000.0,-99.38386717224121,0.10334976232834547,-0.0010399048182461144,9.92678244056151e-05,2
39000,39,-1000.0,-99.46062036895752,0.08800627634748405,-0.0008848353853114668,7.246521291199315e-05,2
40000,40,-1000.0,-99.52580168914795,0.09180549683700058,-0.0009224291116361922,5.347830198570591e-05,2
41000,41,-1000.0,-99.58743254089356,0.0954815572254846,-0.0009587711500271586,6.474315964260313e-05,2
42000,42,-1000.0,-99.6259303894043,0.09237477179264365,-0.0009272161517747607,6.18691566905909e-05,2
43000,43,-1000.0,-99.66164923095702,0.08097552886499633,-0.0008125044035478756,4.9559505147044546e-05,2
44000,44,-1000.0,-99.68515700531006,0.09682976888231176,-0.0009713559349377741,5.338031715291436e-05,2
45000,45,-1000.0,-99.72237479400634,0.05709035714327557,-0.0005724929561816542,4.190379745159589e-05,2
46000,46,-1000.0,-99.74976073455811,0.07015918208414006,-0.0007033518834279624,5.2766968283322056e-05,2
47000,47,-1000.0,-99.77358065795899,0.06344170839513757,-0.0006358567867041544,2.8220287522344733e-05,2
48000,48,-1000.0,-99.79230744934083,0.03349562413710479,-0.0003356533684132788,4.220330628504598e-05,2
49000,49,-1000.0,-99.80408994293212,0.059892228885795366,-0.0006000979410767804,2.264501206013847e-05,2
49947,50,-947.0,-99.82637816673851,0.04882844715578244,-0.0004891337144800047,3.51368497406117e-05,2
50947,51,-1000.0,-99.78428420257568,0.05511441702042101,-0.0005523356454462433,2.4157687222809208,2
51947,52,-1000.0,-99.77836947631836,0.06241289609934144,-0.0006255152938148049,2.708145093975108,2
52662,53,-715.0,-99.69658666223913,0.047930195210237225,-0.0004807606440190311,2.5462428816909806,2
53662,54,-1000.0,-99.56289302825928,0.07762401741490096,-0.0007796480702189787,4.2322014971323885,2
54662,55,-1000.0,-99.48759712219238,0.02615237368751743,-0.00026287069387550524,4.522629852174659,2
55662,56,-1000.0,-99.47783013153077,0.02162465039264258,-0.00021738160516820895,2.697526497319831,2
56185,57,-523.0,-99.51715697658678,0.020701601051252374,-0.00020802042261037262,1.1369261682488316,2
57185,58,-1000.0,-99.52874529266357,0.03126503962545717,-0.00031413075221156,5.994497575137743,2
58185,59,-1000.0,-99.53967655181884,0.03026861808255976,-0.0003040859598011892,4.813174341298167,2
59185,60,-1000.0,-99.53502953338624,0.03333922551431132,-0.00033494967219684817,4.780804391268382,2
60060,61,-875.0,-99.52907079206194,0.03392000069393344,-0.0003408049570240614,5.499098198041394,2
61060,62,-1000.0,-99.51308834075928,0.029037281709039815,-0.0002917935941210913,5.102619560792825,2
62060,63,-1000.0,-99.5057219467163,0.056561326045539984,-0.0005684228498520683,9.291164339645544,2
63060,64,-1000.0,-99.42595013427734,0.02304195345127401,-0.00023174989447076192,3.6085479010675026,2
64060,65,-1000.0,-99.46492169952393,0.03024940653650639,-0.00030412135273063986,2.696172355412942,2
65038,66,-978.0,-99.56898645194273,0.04855918518034061,-0.0004876938784927558,4.296641932966867,2
66038,67,-1000.0,-99.51164083862305,0.034646232514471575,-0.0003481626091429544,5.095791282513751,2
67038,68,-1000.0,-99.52384893035888,0.03302639488758955,-0.00033184402776363224,4.222602536328339,2
67755,69,-717.0,-99.52272538061422,0.027154987244892303,-0.00027285212639666876,5.02539508809641,2
68743,70,-988.0,-99.48804029858546,0.04045633383741053,-0.0004066451979151683,5.767389183229137,2
69668,71,-925.0,-99.48471793509819,0.028754731911089335,-0.000289036673249135,10.392429392090392,2
70668,72,-1000.0,-99.50184967803955,0.03442424791712412,-0.00034596590946310503,7.791001508446701,2
71668,73,-1000.0,-99.50838317108155,0.02523888879028445,-0.0002536358042004566,6.90714063266279,2
72600,74,-932.0,-99.56205819093107,0.04452021205879247,-0.0004471604230340001,8.352144736512285,2
73487,75,-887.0,-99.60318179813287,0.0312752784030511,-0.000313998788376431,6.4410752093726265,2
74201,76,-714.0,-99.60909557609665,0.04073723987521173,-0.00040897108481514525,10.940118634180195,2
75098,77,-897.0,-99.53445871750779,0.07182650443101661,-0.0007216245042821794,15.073123899745978,2
76098,78,-1000.0,-99.53857848358155,0.02624474502845093,-0.0002636640529559088,13.802855225937138,2
77098,79,-1000.0,-99.53421083068848,0.045563030917367034,-0.00045776251740089146,12.893842382636056,2
78098,80,-1000.0,-99.58241389465331,0.04808247383933768,-0.0004828410153845375,15.348481150735457,2
78991,81,-893.0,-99.53115866939805,0.0417541378832345,-0.0004195082066905775,11.44354508603784,2
79788,82,-797.0,-99.46757250777452,0.04862050150722228,-0.0004888075609105876,9.010957934672977,2
80788,83,-1000.0,-99.43059021759034,0.0491123982588305,-0.0004939365053687672,12.281174538520961,2
81788,84,-1000.0,-99.4287357711792,0.027078804662537037,-0.0002723438496176294,12.262952695678914,2
82316,85,-528.0,-99.40450402462122,0.04367176399456099,-0.00043933385537283157,10.7881040298111,2
83316,86,-1000.0,-99.49348947143555,0.05513006867833251,-0.0005541072985902287,14.089672154560596,2
84316,87,-1000.0,-99.38867485046387,0.0482141453874357,-0.0004851070351825973,15.25740360683468,2
84792,88,-476.0,-99.3638239788408,0.03673794985801203,-0.0003697316426331907,9.45330705471174,2
85482,89,-690.0,-99.39308233952177,0.047133044112777966,-0.0004742084962389421,10.411118625840274,2
86482,90,-1000.0,-99.35729347229004,0.051538136979549454,-0.0005187151861571494,14.335359195866866,2
87414,91,-932.0,-99.37210603640315,0.05527571646059255,-0.0005562498236712756,11.250228937622207,2
88414,92,-1000.0,-99.3743681716919,0.05312065835655214,-0.0005345509041604579,9.877865553077886,2
89172,93,-758.0,-99.37178601186949,0.05266162135592479,-0.0005299454047211611,9.072231139579952,2
89512,94,-340.0,-99.39150482626522,0.04764024747100428,-0.0004793191083511481,11.493979534279033,2
90222,95,-710.0,-99.34208098935409,0.055008932629687424,-0.0005537324372697851,11.355589398293704,2
90863,96,-641.0,-99.34305046426711,0.04448015546939225,-0.0004477430002553767,11.642644327078232,2
91634,97,-771.0,-99.33977600572638,0.0378773572998846,-0.00038129094732105277,14.727335013230427,2
92476,98,-842.0,-99.31989608184742,0.04757867380446826,-0.00047904474009175045,11.028860553449547,2
93137,99,-661.0,-99.35500454578025,0.05274943771898941,-0.000530918779181212,16.73566420601405,2
93569,100,-432.0,-99.32873618161237,0.060934080686573,-0.0006134587333836737,20.79853567516884,2
94382,101,-813.0,-99.32569057563134,0.05811658377180261,-0.0005851112983458177,15.428076834699866,2
95231,102,-849.0,-99.1916200887188,0.09948254543213249,-0.0010029329629171644,20.756527021158206,2
95566,103,-335.0,-99.1616237355702,0.048531578805276344,-0.000489418960450802,20.458701456874262,2
96452,104,-886.0,-99.15512787623007,0.07259673371768291,-0.0007321530945762225,24.91600323002936,2
97407,105,-955.0,-99.07748528924913,0.08907324855189828,-0.0008990261338573114,29.34747865127306,2
98193,106,-786.0,-98.89107283381105,0.07790154857881187,-0.0007877510714210513,28.68580920424714,2
99193,107,-1000.0,-98.99066522216796,0.04127755429538275,-0.0004169843106190083,25.841632607124943,2
100193,108,-1000.0,-99.00633193206787,0.07412222023910141,-0.0007486614117767698,24.36164644659185,2
101001,109,-808.0,-99.02661679522826,0.05360351420595243,-0.0005413041053073257,18.024572211273327,2
101758,110,-757.0,-99.05532331983196,0.062244896394058384,-0.0006283851721232661,20.80615535721542,2
102528,111,-770.0,-99.09908418531542,0.0533047532289322,-0.0005378934998960459,18.93712643986872,2
103409,112,-881.0,-99.03306854109488,0.11384209354099244,-0.0011495361621936654,21.59164063879935,2
104016,113,-607.0,-99.00480754921425,0.04715437715050037,-0.00047628371104161207,22.01367107687051,2
104991,114,-975.0,-99.02552686642377,0.07620946799000425,-0.0007695941683077711,20.71279578712368,2
105592,115,-601.0,-99.06966353176834,0.0539350894547541,-0.0005444157932105919,19.814366226147307,2
106592,116,-1000.0,-99.14691462707519,0.05991914906895064,-0.0006043470872928992,17.555660604542883,2
107088,117,-496.0,-99.24783612835792,0.055672833733874334,-0.0005609475823923483,21.600178023654514,2
107949,118,-861.0,-99.28669012160529,0.0763166341537662,-0.0007686491921555085,20.134141878631063,2
