Epoch time step,Epoch number,Episode reward,N steps
3000,1,-1000.0,2
6000,2,-1000.0,2
9000,3,-1000.0,2
12000,4,-1000.0,2
15000,5,-1000.0,2
18000,6,-1000.0,2
21000,7,-1000.0,2
24000,8,-1000.0,2
27000,9,-1000.0,3
30000,10,-1000.0,4
33000,11,-1000.0,6
36000,12,-1000.0,9
39000,13,-1000.0,12
42000,14,-520.0,15
45000,15,-229.0,18
48000,16,-1000.0,21
51000,17,-1000.0,24
54000,18,-164.0,27
57000,19,-1000.0,30
60000,20,-1000.0,30
63000,21,-1000.0,30
66000,22,-1000.0,30
69000,23,-1000.0,29
72000,24,-1000.0,28
75000,25,-1000.0,25
78000,26,-1000.0,22
81000,27,-1000.0,19
84000,28,-1000.0,16
87000,29,-1000.0,15
90000,30,-1000.0,12
93000,31,-1000.0,9
96000,32,-1000.0,6
99000,33,-1000.0,5
102000,34,-1000.0,2
105000,35,-1000.0,1
108000,36,-1000.0,1
111000,37,-810.0,1
114000,38,-734.0,1
117000,39,-1000.0,4
120000,40,-1000.0,7
123000,41,-1000.0,10
126000,42,-305.0,13
129000,43,-1000.0,14
132000,44,-1000.0,11
135000,45,-1000.0,8
138000,46,-1000.0,11
141000,47,-1000.0,14
144000,48,-1000.0,17
147000,49,-1000.0,14
150000,50,-1000.0,13
153000,51,-1000.0,12
156000,52,-1000.0,15
159000,53,-1000.0,18
162000,54,-1000.0,21
165000,55,-1000.0,18
168000,56,-570.0,15
171000,57,-1000.0,14
174000,58,-1000.0,13
177000,59,-1000.0,12
180000,60,-1000.0,12
183000,61,-1000.0,11
186000,62,-1000.0,14
189000,63,-1000.0,17
192000,64,-1000.0,14
195000,65,-1000.0,11
198000,66,-1000.0,12
201000,67,-1000.0,9
204000,68,-1000.0,12
207000,69,-1000.0,11
210000,70,-1000.0,12
213000,71,-1000.0,11
216000,72,-1000.0,10
219000,73,-1000.0,13
222000,74,-1000.0,14
225000,75,-1000.0,15
228000,76,-1000.0,16
231000,77,-1000.0,13
234000,78,-1000.0,12
237000,79,-1000.0,15
240000,80,-1000.0,16
243000,81,-1000.0,13
246000,82,-1000.0,14
249000,83,-1000.0,11
252000,84,-1000.0,14
255000,85,-1000.0,17
258000,86,-1000.0,16
261000,87,-1000.0,13
264000,88,-1000.0,12
267000,89,-1000.0,15
270000,90,-1000.0,18
273000,91,-1000.0,15
276000,92,-1000.0,12
279000,93,-945.0,13
282000,94,-907.0,16
285000,95,-1000.0,19
288000,96,-1000.0,18
291000,97,-1000.0,17
294000,98,-1000.0,14
297000,99,-1000.0,17
300000,100,-1000.0,20
