Epoch time step,Epoch number,Episode reward,N steps
3000,1,-1000.0,7
6000,2,-1000.0,7
9000,3,-1000.0,7
12000,4,-1000.0,8
15000,5,-1000.0,9
18000,6,-1000.0,9
21000,7,-562.0,9
24000,8,-783.0,9
27000,9,-342.0,9
30000,10,-566.0,11
33000,11,-268.0,13
36000,12,-335.0,15
39000,13,-1000.0,17
42000,14,-166.0,17
45000,15,-1000.0,17
48000,16,-268.0,16
51000,17,-163.0,16
54000,18,-837.0,15
57000,19,-1000.0,13
60000,20,-689.0,11
63000,21,-372.0,9
66000,22,-1000.0,9
69000,23,-1000.0,7
72000,24,-90.0,8
75000,25,-349.0,9
78000,26,-1000.0,9
81000,27,-1000.0,11
84000,28,-91.0,10
87000,29,-185.0,10
90000,30,-1000.0,8
93000,31,-1000.0,8
96000,32,-1000.0,7
99000,33,-1000.0,6
102000,34,-178.0,5
105000,35,-1000.0,4
108000,36,-1000.0,6
111000,37,-85.0,6
114000,38,-1000.0,5
117000,39,-1000.0,3
120000,40,-176.0,2
123000,41,-254.0,2
126000,42,-453.0,1
129000,43,-1000.0,1
132000,44,-181.0,1
135000,45,-1000.0,1
138000,46,-1000.0,1
141000,47,-1000.0,3
144000,48,-89.0,2
147000,49,-416.0,2
150000,50,-1000.0,4
153000,51,-915.0,4
156000,52,-190.0,6
159000,53,-1000.0,4
162000,54,-884.0,2
165000,55,-175.0,4
168000,56,-106.0,3
171000,57,-322.0,1
174000,58,-185.0,1
177000,59,-1000.0,3
180000,60,-1000.0,3
183000,61,-189.0,3
186000,62,-654.0,2
189000,63,-1000.0,1
192000,64,-1000.0,1
195000,65,-1000.0,1
198000,66,-259.0,1
201000,67,-181.0,2
204000,68,-429.0,2
207000,69,-184.0,1
210000,70,-1000.0,1
213000,71,-1000.0,1
216000,72,-419.0,1
219000,73,-172.0,1
222000,74,-416.0,1
225000,75,-220.0,1
228000,76,-185.0,1
231000,77,-121.0,3
234000,78,-179.0,1
237000,79,-1000.0,1
240000,80,-168.0,1
243000,81,-1000.0,3
246000,82,-100.0,1
249000,83,-1000.0,3
252000,84,-101.0,1
255000,85,-159.0,1
258000,86,-155.0,1
261000,87,-154.0,3
264000,88,-154.0,2
267000,89,-1000.0,4
270000,90,-1000.0,4
273000,91,-90.0,4
276000,92,-91.0,4
279000,93,-153.0,4
282000,94,-1000.0,4
285000,95,-1000.0,6
288000,96,-1000.0,7
291000,97,-1000.0,7
294000,98,-1000.0,7
297000,99,-98.0,5
300000,100,-520.0,7
