Episode time step,Cv Q value seed_0,Cv Q value seed_10,Cv Q value seed_20,Cv Q value seed_40,Cv Q value seed_60,Cv Q value seed_80,Cv Q value seed_100,Cv Q value
1000,-1.4121610845327337,-0.5958180390219123,-0.7237668956752294,-0.5374168501623411,-1.1049457464903405,-0.7272864352617735,-0.5605615885325553,-0.8088509485252694
2000,-0.5050228845091065,-0.3247152591725122,-0.3537151920220565,-0.3545323185255804,-0.4350149189344848,-0.3536407187680197,-0.3370600197930471,-0.3805287588178296
3000,-0.2865688439645332,-0.2280269885707846,-0.2368736204277188,-0.2334810003012541,-0.289527046286582,-0.2488305157510412,-0.2488523010358102,-0.25316575947681774
4000,-0.1994874715937897,-0.1842926239455841,-0.186704690888925,-0.2001275892979563,-0.2564927893077878,-0.1851108523537667,-0.1940082111327961,-0.20088917550294366
5000,-0.1747942570422631,-0.1716412254104482,-0.1931602768259548,-0.1470750330719768,-0.1723913783078405,-0.1427260073394019,-0.1464511677745853,-0.16403419225321006
6000,-0.1444420813212091,-0.1227498447621572,-0.085155494962962,-0.0726044882649831,-0.1375981722055714,-0.1067046033061363,-0.085021239089198,-0.10775370341603101
7000,-0.0657112135249998,-0.0585180087076621,-0.0531557471281238,-0.1076083530545808,-0.075879533691229,-0.1161416565655448,-0.0463337354137138,-0.0747640354408363
8000,-0.0581228420489657,-0.0871565401570612,-0.0429636285126104,-0.0677818739948351,-0.1236602487814345,-0.0366781476777507,-0.0600879665206878,-0.0680644639561922
9000,-0.0558120084012073,-0.0264836071813151,-0.0737110101158776,-0.0773385342212348,-0.0602162824264899,-0.0327852713063591,-0.0569827395230745,-0.05476135045365118
10000,-0.0837186375762568,-0.0148451311853671,-0.029615695985843,-0.0392477993129872,-0.1453313501969951,-0.0292794030977626,-0.1190456588048801,-0.06586909659429885
11000,-0.0424994897172013,-0.0147984378245351,-0.0331780091343365,-0.0368006658032059,-0.0539280414372606,-0.0117184816781687,-0.0463804831012737,-0.03418622981371168
12000,-0.025230331709776,-0.0155216921155491,-0.0285808315392099,-0.0511804258059358,-0.0477802973474792,-0.0120110081003666,-0.0178916187105985,-0.028313743618416442
13000,-0.0582165311288881,-0.0102041361896877,-0.0165606044559674,-0.0466267941482138,-0.0289858736112143,-0.0061926592782315,-0.0333917317948878,-0.02859690437244151
14000,-0.0209243261181121,-0.0367421498144265,-0.0118480235085737,-0.0244166773966725,-0.0141488235725997,-0.0076530239082192,-0.0165819589386844,-0.01890214046532687
15000,-0.0243653339431316,-0.0160588878414285,-0.0104171873953828,-0.0131636246707328,-0.0347431113631378,-0.0263078494507515,-0.0142704142757339,-0.019903772705756988
16000,-0.0106949135525196,-0.0176175719471332,-0.0160071197098425,-0.0126774267012144,-0.0134404127732477,-0.0117757644823847,-0.0202205203092692,-0.014633389925087328
17000,-0.0217064703974188,-0.0232958227342079,-0.0174139218313992,-0.0107959159726967,-0.0195721131094295,-0.0184887202521201,-0.0269075986491914,-0.01974008042092337
