Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,3,3,3,3,3,3,3,3.0
2,3,3,3,3,3,3,3,3.0
3,3,3,3,3,3,3,3,3.0
4,3,3,3,3,3,3,3,3.0
5,3,3,3,3,3,3,3,3.0
6,3,3,3,3,3,3,3,3.0
7,3,3,3,3,3,3,3,3.0
8,3,3,3,3,3,3,3,3.0
9,3,3,3,3,3,3,3,3.0
10,3,3,3,3,3,3,3,3.0
11,3,3,4,3,3,4,3,3.2857142857142856
12,3,3,4,3,3,4,3,3.2857142857142856
13,3,3,4,3,3,4,3,3.2857142857142856
14,3,3,4,3,3,4,3,3.2857142857142856
15,3,3,4,3,3,4,3,3.2857142857142856
16,3,3,4,3,3,4,3,3.2857142857142856
17,3,3,4,3,3,4,3,3.2857142857142856
18,3,3,4,3,3,4,3,3.2857142857142856
19,3,3,4,3,3,4,3,3.2857142857142856
20,2,3,4,3,3,4,3,3.142857142857143
21,2,3,4,3,4,4,4,3.4285714285714284
22,2,3,4,3,4,4,4,3.4285714285714284
23,2,3,4,3,4,4,4,3.4285714285714284
24,2,3,4,3,4,4,4,3.4285714285714284
25,2,4,4,3,4,4,4,3.5714285714285716
26,2,4,4,3,4,4,4,3.5714285714285716
27,2,4,4,3,4,4,4,3.5714285714285716
28,2,4,4,3,4,4,4,3.5714285714285716
29,2,4,4,3,4,4,4,3.5714285714285716
30,2,4,4,4,4,4,3,3.5714285714285716
31,2,4,4,4,4,3,3,3.4285714285714284
32,2,4,4,4,4,3,3,3.4285714285714284
33,2,4,4,4,4,3,3,3.4285714285714284
34,2,5,4,4,4,3,3,3.5714285714285716
35,2,5,4,3,4,3,3,3.4285714285714284
36,2,5,3,3,4,3,3,3.2857142857142856
37,2,5,3,3,4,3,3,3.2857142857142856
38,2,4,3,3,4,3,3,3.142857142857143
39,2,4,3,3,4,3,3,3.142857142857143
40,2,4,3,3,4,3,3,3.142857142857143
41,2,4,4,3,4,3,3,3.2857142857142856
42,2,4,4,3,4,3,3,3.2857142857142856
43,2,4,4,3,4,3,3,3.2857142857142856
44,2,4,4,3,4,3,3,3.2857142857142856
45,2,4,4,3,4,3,4,3.4285714285714284
46,2,4,4,3,4,3,4,3.4285714285714284
47,2,4,4,3,4,3,4,3.4285714285714284
48,2,4,4,3,4,3,4,3.4285714285714284
49,2,4,4,3,4,3,4,3.4285714285714284
50,2,4,4,3,4,3,4,3.4285714285714284
51,2,4,4,3,3,3,4,3.2857142857142856
52,2,4,4,3,3,3,4,3.2857142857142856
53,1,4,4,3,3,3,4,3.142857142857143
54,1,4,4,3,3,3,4,3.142857142857143
55,1,4,4,3,3,3,4,3.142857142857143
56,1,4,3,3,4,3,4,3.142857142857143
57,1,4,3,3,4,3,4,3.142857142857143
58,1,4,3,3,4,3,4,3.142857142857143
59,1,4,3,2,4,3,4,3.0
60,1,4,3,2,4,3,4,3.0
61,1,4,3,2,4,3,4,3.0
62,1,4,3,2,4,3,4,3.0
63,1,4,3,2,4,3,4,3.0
64,1,4,3,2,4,3,4,3.0
65,2,4,3,2,4,3,4,3.142857142857143
66,2,4,3,2,4,2,4,3.0
67,2,4,3,2,4,2,4,3.0
68,2,4,3,2,4,2,4,3.0
69,2,4,3,2,4,2,4,3.0
70,2,4,3,2,3,2,4,2.857142857142857
71,2,3,3,2,3,1,4,2.5714285714285716
72,1,3,3,2,3,1,4,2.4285714285714284
73,1,2,3,2,3,1,4,2.2857142857142856
74,1,2,3,2,3,1,4,2.2857142857142856
75,1,3,2,2,3,1,3,2.142857142857143
76,1,3,2,2,3,1,3,2.142857142857143
77,1,3,2,2,3,1,3,2.142857142857143
78,1,3,2,2,3,1,3,2.142857142857143
79,1,3,2,1,3,1,3,2.0
80,1,3,2,1,3,1,3,2.0
81,1,3,2,1,3,1,3,2.0
82,1,3,2,1,3,1,3,2.0
83,1,2,2,1,3,1,3,1.8571428571428572
84,1,2,2,1,2,1,3,1.7142857142857142
85,1,2,1,1,2,1,3,1.5714285714285714
86,1,2,1,1,2,1,3,1.5714285714285714
87,1,2,1,1,2,1,3,1.5714285714285714
88,1,2,1,1,2,1,3,1.5714285714285714
89,1,2,1,2,3,1,3,1.8571428571428572
90,1,2,1,2,3,1,3,1.8571428571428572
91,1,2,1,2,4,1,3,2.0
92,1,2,1,2,5,1,3,2.142857142857143
93,1,2,1,2,5,1,3,2.142857142857143
94,1,2,1,3,5,1,3,2.2857142857142856
95,2,2,1,3,6,1,2,2.4285714285714284
96,2,2,1,3,7,1,2,2.5714285714285716
97,2,2,1,3,6,1,2,2.4285714285714284
98,2,2,1,3,6,1,2,2.4285714285714284
99,1,2,1,3,5,1,2,2.142857142857143
100,1,2,2,3,5,1,1,2.142857142857143
