Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,2,2,2,2,2,2,2,2.0
2,2,2,2,2,2,2,2,2.0
3,2,2,2,2,2,2,2,2.0
4,2,2,2,2,2,2,2,2.0
5,2,2,2,2,2,2,2,2.0
6,2,2,2,2,2,2,2,2.0
7,2,2,2,2,2,2,2,2.0
8,2,2,2,2,2,2,2,2.0
9,2,2,2,2,2,2,2,2.0
10,2,4,4,2,2,3,2,2.7142857142857144
11,2,6,6,3,3,5,3,4.0
12,3,8,8,5,5,7,5,5.857142857142857
13,5,10,10,7,7,9,7,7.857142857142857
14,7,12,12,9,9,11,9,9.857142857142858
15,9,14,14,11,11,13,11,11.857142857142858
16,10,15,15,12,12,14,12,12.857142857142858
17,12,17,17,14,14,16,14,14.857142857142858
18,14,17,19,16,16,18,16,16.571428571428573
19,16,16,21,18,18,19,18,18.0
20,18,14,22,19,20,19,20,18.857142857142858
21,20,15,24,18,22,17,22,19.714285714285715
22,20,14,24,18,24,15,24,19.857142857142858
23,18,13,24,16,25,13,22,18.714285714285715
24,17,13,23,15,24,12,21,17.857142857142858
25,16,12,24,13,26,14,21,18.0
26,17,13,26,11,24,16,21,18.285714285714285
27,16,13,28,12,25,18,23,19.285714285714285
28,14,13,27,12,27,20,25,19.714285714285715
29,12,15,29,10,27,22,27,20.285714285714285
30,10,17,29,12,25,24,29,20.857142857142858
31,8,16,27,12,23,26,30,20.285714285714285
32,7,15,28,12,22,27,30,20.142857142857142
33,6,13,28,11,21,29,28,19.428571428571427
34,8,11,28,10,19,30,29,19.285714285714285
35,9,12,27,11,17,30,30,19.428571428571427
36,10,10,27,9,18,29,29,18.857142857142858
37,12,12,29,8,19,27,27,19.142857142857142
38,14,12,28,6,17,29,28,19.142857142857142
39,16,12,30,8,17,28,30,20.142857142857142
40,17,13,30,8,16,29,30,20.428571428571427
41,16,15,30,6,14,30,30,20.142857142857142
42,16,15,30,5,12,30,30,19.714285714285715
43,15,15,30,7,11,30,30,19.714285714285715
44,13,14,29,9,9,28,30,18.857142857142858
45,11,14,27,7,9,28,29,17.857142857142858
46,9,14,25,7,9,30,30,17.714285714285715
47,7,12,23,7,9,29,29,16.571428571428573
48,6,12,22,6,8,28,28,15.714285714285714
49,6,12,21,6,6,30,26,15.285714285714286
50,7,10,23,6,6,30,24,15.142857142857142
51,7,9,24,4,4,30,22,14.285714285714286
52,5,11,24,4,2,29,24,14.142857142857142
53,6,11,24,6,4,28,26,15.0
54,8,10,26,6,4,28,28,15.714285714285714
55,7,10,28,6,4,29,30,16.285714285714285
56,6,9,29,5,5,28,30,16.0
57,4,9,30,3,7,28,30,15.857142857142858
58,2,11,30,5,9,26,30,16.142857142857142
59,1,9,30,7,11,26,29,16.142857142857142
60,1,7,30,9,13,26,27,16.142857142857142
61,1,5,30,7,15,26,25,15.571428571428571
62,1,5,30,7,17,24,23,15.285714285714286
63,1,5,29,7,19,24,21,15.142857142857142
64,1,4,28,7,20,23,20,14.714285714285714
65,1,6,28,7,22,25,18,15.285714285714286
66,1,4,30,7,24,25,16,15.285714285714286
67,1,2,28,9,26,25,14,15.0
68,2,1,28,9,28,25,12,15.0
69,4,1,30,7,30,25,12,15.571428571428571
70,6,1,30,5,30,23,14,15.571428571428571
71,8,2,30,5,30,25,14,16.285714285714285
72,9,3,29,6,30,26,13,16.571428571428573
73,11,3,29,8,30,28,13,17.428571428571427
74,13,2,27,7,28,30,15,17.428571428571427
75,15,1,25,5,30,30,15,17.285714285714285
76,17,3,27,7,30,30,13,18.142857142857142
77,19,3,29,5,29,30,11,18.0
78,19,3,30,5,29,30,9,17.857142857142858
79,17,1,30,7,30,28,7,17.142857142857142
80,16,1,30,8,29,27,6,16.714285714285715
81,14,2,30,6,27,27,4,15.714285714285714
82,12,2,29,6,25,25,2,14.428571428571429
83,12,1,29,6,23,23,2,13.714285714285714
84,14,1,29,4,21,25,4,14.0
85,14,1,29,6,19,27,6,14.571428571428571
86,16,2,29,8,21,29,6,15.857142857142858
87,18,1,30,8,23,30,6,16.571428571428573
88,19,1,29,9,22,29,7,16.571428571428573
89,21,1,30,7,20,29,7,16.428571428571427
90,23,3,30,9,22,29,9,17.857142857142858
91,21,3,28,7,22,27,9,16.714285714285715
92,19,3,26,9,20,25,9,15.857142857142858
93,17,1,24,9,20,27,11,15.571428571428571
94,17,1,22,7,20,29,11,15.285714285714286
95,19,1,20,9,20,30,9,15.428571428571429
96,18,1,21,10,21,29,10,15.714285714285714
97,16,3,21,12,23,30,12,16.714285714285715
98,18,3,21,10,23,30,14,17.0
99,20,5,23,8,21,28,16,17.285714285714285
100,22,5,25,10,21,26,18,18.142857142857142
