Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
4,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
5,-947.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-992.4285714285714
6,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
7,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
8,-1000.0,-230.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-890.0
9,-1000.0,-164.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.5714285714286
10,-1000.0,-1000.0,-1000.0,-798.0,-1000.0,-1000.0,-1000.0,-971.1428571428571
11,-1000.0,-104.0,-1000.0,-638.0,-1000.0,-1000.0,-1000.0,-820.2857142857143
12,-1000.0,-1000.0,-1000.0,-202.0,-1000.0,-1000.0,-1000.0,-886.0
13,-1000.0,-1000.0,-1000.0,-1000.0,-333.0,-1000.0,-1000.0,-904.7142857142857
14,-1000.0,-164.0,-1000.0,-244.0,-1000.0,-1000.0,-1000.0,-772.5714285714286
15,-1000.0,-1000.0,-1000.0,-253.0,-1000.0,-314.0,-1000.0,-795.2857142857143
16,-1000.0,-168.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-881.1428571428571
17,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
18,-1000.0,-1000.0,-1000.0,-1000.0,-329.0,-1000.0,-1000.0,-904.1428571428571
19,-320.0,-1000.0,-1000.0,-653.0,-170.0,-1000.0,-1000.0,-734.7142857142857
20,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
21,-1000.0,-320.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-902.8571428571429
22,-1000.0,-1000.0,-1000.0,-1000.0,-798.0,-1000.0,-1000.0,-971.1428571428571
23,-1000.0,-1000.0,-1000.0,-1000.0,-188.0,-1000.0,-1000.0,-884.0
24,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
25,-1000.0,-1000.0,-1000.0,-761.0,-1000.0,-1000.0,-1000.0,-965.8571428571429
26,-1000.0,-179.0,-1000.0,-169.0,-1000.0,-1000.0,-1000.0,-764.0
27,-1000.0,-315.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-902.1428571428571
28,-1000.0,-1000.0,-1000.0,-161.0,-1000.0,-1000.0,-1000.0,-880.1428571428571
29,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
30,-1000.0,-1000.0,-1000.0,-1000.0,-848.0,-1000.0,-1000.0,-978.2857142857143
31,-1000.0,-159.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-879.8571428571429
32,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
33,-1000.0,-171.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-881.5714285714286
34,-1000.0,-1000.0,-1000.0,-1000.0,-155.0,-1000.0,-1000.0,-879.2857142857143
35,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
36,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-378.0,-1000.0,-911.1428571428571
37,-1000.0,-1000.0,-1000.0,-1000.0,-233.0,-1000.0,-1000.0,-890.4285714285714
38,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
39,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
40,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
41,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
42,-1000.0,-1000.0,-1000.0,-1000.0,-343.0,-1000.0,-1000.0,-906.1428571428571
43,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
44,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
45,-1000.0,-1000.0,-1000.0,-1000.0,-240.0,-1000.0,-1000.0,-891.4285714285714
46,-1000.0,-92.0,-1000.0,-339.0,-1000.0,-1000.0,-1000.0,-775.8571428571429
47,-1000.0,-264.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-894.8571428571429
48,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
49,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-306.0,-900.8571428571429
50,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
51,-1000.0,-187.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-883.8571428571429
52,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
53,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
54,-934.0,-300.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-890.5714285714286
