Episode time step,Mean silhouette score seed_0,Mean silhouette score seed_10,Mean silhouette score seed_20,Mean silhouette score seed_40,Mean silhouette score seed_60,Mean silhouette score seed_80,Mean silhouette score seed_100,Mean silhouette score
1000,0.44205588,0.3370516,0.3799816,0.47749466,0.50750625,0.36614537,0.4302329,0.4200668942857143
2000,0.5149175,0.38383615,0.3857291,0.53178,0.494347,0.31437385,0.47642177,0.44305790999999994
3000,0.42159125,0.53078496,0.48893887,0.58039165,0.5177201,0.3772844,0.57649153,0.49902896571428573
4000,0.5134518,0.5778922,0.54536533,0.56298476,0.56896496,0.4830186,0.5942444,0.5494174357142857
5000,0.5530733,0.58130777,0.56313574,0.48847872,0.5962612,0.54407483,0.59242785,0.5598227728571428
6000,0.5699874,0.5592219,0.5247151,0.43850347,0.61161435,0.56658185,0.58713007,0.5511077342857142
7000,0.57261753,0.5273632,0.46527606,0.41934043,0.62257624,0.5684477,0.5841058,0.5371038514285714
8000,0.5695631,0.4813327,0.45942652,0.42716813,0.6149148,0.54833287,0.57514006,0.5251254542857142
9000,0.5576779,0.44409797,0.44052902,0.40939248,0.6071128,0.3993736,0.5638805,0.48886632428571425
10000,0.55478865,0.41964713,0.42572865,0.4157378,0.6099097,0.38753578,0.5449478,0.47975650142857146
11000,0.5469374,0.4264615,0.42485023,0.40674347,0.60447246,0.35925043,0.523136,0.4702644985714285
12000,0.5286968,0.3968952,0.44577482,0.4158655,0.5899806,0.35691935,0.48927152,0.4604862557142857
13000,0.5066212,0.38202032,0.4493509,0.39432785,0.5753329,0.37971893,0.46167827,0.4498643385714286
14000,0.45352307,0.38304552,0.44973296,0.38967893,0.55137646,0.3890751,0.42220423,0.4340908957142857
15000,0.4082834,0.35673127,0.45408362,0.36502331,0.5174672,0.4094121,0.38762683,0.4140896757142857
16000,0.3992363,0.34839314,0.42262307,0.32943693,0.48313656,0.40186232,0.38122082,0.39512987714285713
17000,0.3726768,0.3519754,0.38059366,0.38237396,0.42740077,0.3450815,0.38352755,0.37766137714285714
18000,0.37428254,0.35868806,0.33288977,0.45578694,0.38402,0.34019014,0.3658667,0.37310344999999995
19000,0.37809527,0.33184397,0.3390107,0.42868197,0.34169796,0.37359196,0.35008124,0.3632861528571429
20000,0.36845517,0.34880278,0.31588262,0.4323526,0.35990587,0.38909492,0.373261,0.36967928
21000,0.36378586,0.3771559,0.31074494,0.47521317,0.361818,0.38876802,0.39492258,0.3817726385714285
22000,0.40966272,0.39415243,0.30944923,0.47549748,0.35463867,0.40169832,0.43268636,0.39682645857142856
23000,0.4311402,0.39177245,0.35776323,0.43691775,0.37006387,0.40998524,0.4488701,0.40664469142857146
24000,0.46024534,0.3987297,0.40888405,0.43029886,0.38066995,0.39995316,0.48991093,0.4240988557142857
25000,0.50052893,0.43502975,0.4276138,0.44056177,0.40243143,0.39701292,0.50429386,0.44392463714285707
26000,0.5090223,0.46309355,0.41758624,0.47297612,0.43254066,0.3892629,0.51753706,0.45743126142857143
27000,0.52166575,0.37849337,0.44709527,0.4571513,0.43950775,0.4000528,0.52564615,0.45280177000000005
28000,0.52760404,0.30051154,0.51782995,0.41161028,0.46699148,0.41151032,0.522122,0.4511685157142857
29000,0.53042275,0.3497783,0.51178443,0.4216557,0.47763222,0.42415807,0.5359735,0.46448642428571424
30000,0.5289397,0.3839696,0.46518403,0.39701316,0.47681797,0.43620244,0.5351807,0.4604725142857143
31000,0.53142303,0.36992815,0.45983428,0.39570746,0.4856798,0.40467206,0.5297994,0.45386345428571434
32000,0.52924454,0.34341732,0.43567798,0.38173515,0.5126612,0.3893891,0.46568528,0.43683008142857144
33000,0.526244,0.37281772,0.41219252,0.39745203,0.515108,0.35210657,0.3582037,0.4191606485714286
34000,0.5131686,0.37651598,0.36558184,0.33630618,0.5436901,0.39420286,0.17856024,0.3868608285714285
35000,0.47010842,0.37303165,0.34913856,0.32473618,0.53899026,0.37170073,0.21002398,0.37681854000000004
36000,0.4105665,0.35191944,0.38392037,0.3813341,0.42729986,0.37476814,0.23089111,0.36581421714285717
37000,0.3390095,0.44886494,0.33905873,0.48969167,0.40365842,0.36103392,0.28624505,0.38108031857142866
38000,0.29044592,0.42508608,0.31257007,0.39938998,0.4043761,0.3787319,0.20414026,0.34496290142857144
39000,0.2946578,0.38868874,0.38369414,0.364538,0.397298,0.40105435,0.2431517,0.3532975328571428
40000,0.32293454,0.38514063,0.34129715,0.35678348,0.5510726,0.40372202,0.33660617,0.38536522714285715
41000,0.3596701,0.36853135,0.30539384,0.33995554,0.65569526,0.40825543,0.36395985,0.4002087671428572
42000,0.3149709,0.3913078,0.2800951,0.32249388,0.5863443,0.4232625,0.3470815,0.3807937114285714
42805,,0.34202677,,,,,,0.34202677
43000,0.35778332,,0.28643945,0.34017044,0.5410623,0.45791814,0.35296357,0.38938953666666665
43805,,0.30073434,,,,,,0.30073434
44000,0.3725096,,0.31644052,0.3744896,0.51729596,0.47075757,0.36622506,0.4029530516666667
44805,,0.29238987,,,,,,0.29238987
45000,0.32700983,,0.36931935,0.34170988,0.539738,0.5005848,0.37316656,0.40858807
45805,,0.31690845,,,,,,0.31690845
46000,0.35064206,,0.39256334,0.31751758,0.58683336,0.41870072,0.38409922,0.4083927133333333
46508,,0.30951357,,,,,,0.30951357
47000,0.35482138,,0.42099354,0.35541725,0.56281483,0.37045115,0.39857993,0.4105130133333333
47508,,0.2956404,,,,,,0.2956404
48000,0.39281982,,0.3998267,0.36693758,0.54642344,0.34892058,0.40363833,0.40976107500000003
48508,,0.27998492,,,,,,0.27998492
48910,,,,0.36373147,,,,0.36373147
49000,0.3881139,,0.36749098,,0.538974,0.34446448,0.37594494,0.40299766000000004
49508,,0.28998137,,,,,,0.28998137
49910,,,,0.35002947,,,,0.35002947
50000,0.41648167,,0.34684044,,0.5075214,0.34864068,0.3231436,0.388525558
50508,,0.31138927,,,,,,0.31138927
50910,,,,0.32969183,,,,0.32969183
51000,0.39279363,,0.32851878,,0.48381475,0.3515226,0.3171749,0.374764932
51508,,0.40505537,,,,,,0.40505537
51910,,,,0.3442494,,,,0.3442494
52000,0.4339677,,0.35040423,,0.45239666,0.36421466,0.32910535,0.38601772
52508,,0.4243068,,,,,,0.4243068
52910,,,,0.3228942,,,,0.3228942
53000,0.43197158,,0.3545319,,0.43471617,0.37246487,0.32946464,0.384629832
53508,,0.41951838,,,,,,0.41951838
53898,,,,0.31597912,,,,0.31597912
54000,0.42444316,,0.3384678,,0.44608653,0.40119702,0.32101908,0.386242718
54508,,0.43158174,,,,,,0.43158174
54898,,,,0.33880582,,,,0.33880582
55000,0.43558365,,0.31031153,,0.44044235,0.40104485,0.3291023,0.3832969359999999
55508,,0.41981906,,,,,,0.41981906
55898,,,,0.34880894,,,,0.34880894
56000,0.42369542,,0.33768368,,0.4313301,0.40430957,0.33921003,0.38724576
56508,,0.41763332,,,,,,0.41763332
56898,,,,0.35610402,,,,0.35610402
57000,0.39491618,,0.35555068,,0.4491202,0.40772408,0.32997355,0.38745693800000003
57508,,0.44598913,,,,,,0.44598913
57898,,,,0.34395343,,,,0.34395343
58000,0.3657008,,0.39409295,,0.4511007,0.3956146,0.33167973,0.38763775600000006
58508,,0.41472828,,,,,,0.41472828
58898,,,,0.35340717,,,,0.35340717
59000,0.3777667,,0.40356043,,0.44480535,0.3910288,0.33881727,0.39119571
59508,,0.4182082,,,,,,0.4182082
59898,,,,0.33514118,,,,0.33514118
60000,0.4669225,,0.4126404,,0.45252192,0.37128016,0.34965122,0.41060324000000004
60508,,0.41800797,,,,,,0.41800797
60898,,,,0.3299879,,,,0.3299879
61000,0.4746334,,0.4302103,,0.43923253,0.3675436,0.35541975,0.413407916
61508,,0.41209128,,,,,,0.41209128
61898,,,,0.31238478,,,,0.31238478
62000,0.5038217,,0.39090744,,0.4018489,0.36278793,0.34838,0.40154919400000005
62508,,0.3619021,,,,,,0.3619021
62898,,,,0.32898954,,,,0.32898954
63000,0.48200604,,0.3850444,,0.38169956,0.36596105,0.3228577,0.38751375
63508,,0.35905454,,,,,,0.35905454
63898,,,,0.3483909,,,,0.3483909
63900,,,,,0.3416945,,,0.3416945
64000,0.48279175,,0.38548183,,,0.36278227,0.3296404,0.39017406250000003
64508,,0.37910083,,,,,,0.37910083
64898,,,,0.37360385,,,,0.37360385
64900,,,,,0.36427596,,,0.36427596
65000,0.48597223,,0.40981418,,,0.381286,0.32793748,0.40125247249999996
65508,,0.39208308,,,,,,0.39208308
65898,,,,0.43310577,,,,0.43310577
65900,,,,,0.41453245,,,0.41453245
66000,0.47316146,,0.41514456,,,0.37723276,0.32027915,0.3964544825
66508,,0.4187039,,,,,,0.4187039
66898,,,,0.4113649,,,,0.4113649
66900,,,,,0.42658877,,,0.42658877
67000,0.46081057,,0.42341498,,,0.39210758,0.3284875,0.4012051575
67508,,0.43936852,,,,,,0.43936852
67898,,,,0.386761,,,,0.386761
67900,,,,,0.42481753,,,0.42481753
68000,0.41364565,,0.4214047,,,0.38958293,0.31684938,0.385370665
68174,,0.44834855,,,,,,0.44834855
68898,,,,0.37129042,,,,0.37129042
68900,,,,,0.43034098,,,0.43034098
69000,0.3891694,,0.4221894,,,0.39197284,0.31974477,0.3807691025
69174,,0.4240232,,,,,,0.4240232
69770,,0.42276087,,,,,,0.42276087
69898,,,,0.38338688,,,,0.38338688
69900,,,,,0.4653854,,,0.4653854
70000,0.37825373,,0.40358225,,,0.40768018,0.2924764,0.37049814
70770,,0.4511277,,,,,,0.4511277
70898,,,,0.40038458,,,,0.40038458
70900,,,,,0.476886,,,0.476886
71000,0.332375,,0.41850248,,,0.40166283,0.30323115,0.363942865
71770,,0.4185403,,,,,,0.4185403
71898,,,,0.40061602,,,,0.40061602
71900,,,,,0.4506101,,,0.4506101
72000,0.335258,,0.47024503,,,0.36697555,0.31859076,0.372767335
72523,,0.42668378,,,,,,0.42668378
72771,0.35424423,,,,,,,0.35424423
72898,,,,0.40633073,,,,0.40633073
72900,,,,,0.44485098,,,0.44485098
73000,,,0.46991986,,,0.38536516,0.33412483,0.39646994999999996
73523,,0.43444878,,,,,,0.43444878
73771,0.3670882,,,,,,,0.3670882
73898,,,,0.43422145,,,,0.43422145
73900,,,,,0.43431523,,,0.43431523
74000,,,0.42265984,,,0.38143885,0.34146467,0.3818544533333334
74523,,0.41054457,,,,,,0.41054457
74636,0.40808436,,,,,,,0.40808436
74732,,,,0.43919495,,,,0.43919495
74900,,,,,0.43937534,,,0.43937534
75000,,,0.39194676,,,0.39316118,0.36192265,0.38234353
75523,,0.3829213,,,,,,0.3829213
75625,0.42837316,,,,,,,0.42837316
75732,,,,0.4047983,,,,0.4047983
75900,,,,,0.41819707,,,0.41819707
76000,,,0.39975032,,,0.4771732,0.35923344,0.4120523200000001
76523,,0.36396706,,,,,,0.36396706
76596,0.42785966,,,,,,,0.42785966
76732,,,,0.40878284,,,,0.40878284
76900,,,,,0.44704434,,,0.44704434
77000,,,0.40631825,,,0.479345,0.36009997,0.41525440666666663
77523,,0.39336967,,,,,,0.39336967
77596,0.43975708,,,,,,,0.43975708
77732,,,,0.40615395,,,,0.40615395
77900,,,,,0.42243654,,,0.42243654
78000,,,0.42324808,,,0.41623437,0.36496097,0.40148114
78390,,0.38641685,,,,,,0.38641685
78596,0.4448212,,,,,,,0.4448212
78623,,,,0.41031957,,,,0.41031957
78875,,,,,0.39975238,,,0.39975238
79000,,,0.42386454,,,0.39972338,0.35930365,0.39429719
79390,,0.41394183,,,,,,0.41394183
79596,0.42630988,,,,,,,0.42630988
79623,,,,0.41334432,,,,0.41334432
79875,,,,,0.40616378,,,0.40616378
80000,,,0.44810662,,,0.37529704,0.37619308,0.39986558
80390,,0.40474588,,,,,,0.40474588
80596,0.42926496,,,,,,,0.42926496
80623,,,,0.34428516,,,,0.34428516
80875,,,,,0.42598888,,,0.42598888
81000,,,0.44811934,,,0.35711718,0.37189487,0.39237713
81389,,0.36268502,,,,,,0.36268502
81596,0.42992413,,,,,,,0.42992413
81623,,,,0.32240552,,,,0.32240552
81875,,,,,0.41749,,,0.41749
82000,,,0.421051,,,0.36472118,0.3783915,0.38805456
82294,,0.39031053,,,,,,0.39031053
82596,0.42752248,,,,,,,0.42752248
82623,,,,0.3269803,,,,0.3269803
82790,,0.3714053,,,,,,0.3714053
82850,,,,,0.4225618,,,0.4225618
83000,,,0.41465098,,,0.37314215,0.37748086,0.3884246633333333
83363,0.41524693,,,,,,,0.41524693
83623,,,,0.30885893,,,,0.30885893
83790,,0.3492442,,,,,,0.3492442
83850,,,,,0.42729467,,,0.42729467
84000,,,0.43915644,,,0.37484348,0.38159233,0.39853075
84159,0.44457474,,,,,,,0.44457474
84623,,,,0.3054886,,,,0.3054886
84700,,0.35702682,,,,,,0.35702682
84850,,,,,0.4150935,,,0.4150935
85000,,,0.45259553,,,0.3620731,0.37288436,0.3958509966666666
85159,0.4592101,,,,,,,0.4592101
85623,,,,0.31828204,,,,0.31828204
85700,,0.40153056,,,,,,0.40153056
85850,,,,,0.4013991,,,0.4013991
86000,,,0.4293942,,,0.3650663,0.3799245,0.39146166666666665
86159,0.42530018,,,,,,,0.42530018
86623,,,,0.32258412,,,,0.32258412
86700,,0.3683374,,,,,,0.3683374
86850,,,,,0.37549746,,,0.37549746
87000,,,0.3982452,,,0.3568115,0.39458948,0.3832153933333333
87159,0.4054074,,,,,,,0.4054074
87623,,,,0.33906925,,,,0.33906925
87700,,0.39252856,,,,,,0.39252856
87850,,,,,0.37165627,,,0.37165627
88000,,,0.39446607,,,0.37310457,0.42220488,0.39659184
88006,0.41118744,,,,,,,0.41118744
88623,,,,0.40096724,,,,0.40096724
88700,,0.41883466,,,,,,0.41883466
88850,,,,,0.37754658,,,0.37754658
89000,,,0.4099883,,,0.37426865,0.42102724,0.40176139666666666
89006,0.39804485,,,,,,,0.39804485
89319,,,,0.40272358,,,,0.40272358
89700,,0.3677131,,,,,,0.3677131
89850,,,,,0.404361,,,0.404361
90000,,,0.4000274,,,0.37303948,0.40902475,0.3940305433333333
90006,0.3990484,,,,,,,0.3990484
90096,,,,0.38296074,,,,0.38296074
90700,,0.38348302,,,,,,0.38348302
90850,,,,,0.4315204,,,0.4315204
91000,,,0.39451793,,,0.36492333,0.42283228,0.39409118
91006,0.3933378,,,,,,,0.3933378
91096,,,,0.41317683,,,,0.41317683
91700,,0.34403798,,,,,,0.34403798
91850,,,,,0.3669485,,,0.3669485
92000,,,0.40044802,,,0.35345525,0.4183522,0.39075182333333336
92006,0.39033347,,,,,,,0.39033347
92096,,,,0.39959675,,,,0.39959675
92115,,0.40210962,,,,,,0.40210962
92850,,,,,0.34297955,,,0.34297955
93000,,,0.39390996,,,0.35023022,0.4090242,0.38438812666666666
93006,0.40919557,,,,,,,0.40919557
93096,,,,0.37480348,,,,0.37480348
93115,,0.34177312,,,,,,0.34177312
93760,,0.38798413,,,,,,0.38798413
93850,,,,,0.32768375,,,0.32768375
94000,,,0.36920586,,,0.34544206,0.41594768,0.37686519999999996
94006,0.40487278,,,,,,,0.40487278
94096,,,,0.39230347,,,,0.39230347
94760,,0.36482623,,,,,,0.36482623
94850,,,,,0.31624824,,,0.31624824
95000,,,0.35854813,,,0.33312836,0.42372927,0.37180192
95006,0.3761378,,,,,,,0.3761378
95096,,,,0.38512942,,,,0.38512942
95760,,0.32596654,,,,,,0.32596654
95850,,,,,0.33008522,,,0.33008522
96000,,,0.3466514,,,0.3185058,0.440084,0.3684137333333333
96006,0.37892914,,,,,,,0.37892914
96096,,,,0.38074365,,,,0.38074365
96473,,0.31644207,,,,,,0.31644207
96850,,,,,0.39236966,,,0.39236966
97000,,,0.35016778,,,0.32213122,0.4422793,0.3715261
97006,0.3876451,,,,,,,0.3876451
97096,,,,0.37532473,,,,0.37532473
97473,,0.3555902,,,,,,0.3555902
97850,,,,,0.4032231,,,0.4032231
97947,,,,0.37402883,,,,0.37402883
98000,,,0.3000421,,,0.3120814,0.38401595,0.33204648333333336
98006,0.4017746,,,,,,,0.4017746
98473,,0.36455595,,,,,,0.36455595
98850,,,,,0.41232502,,,0.41232502
98913,,,,0.35816973,,,,0.35816973
99000,,,0.2842679,,,0.32665882,0.39032605,0.33375092333333334
99006,0.40791667,,,,,,,0.40791667
99473,,0.35894987,,,,,,0.35894987
99850,,,,,0.4050023,,,0.4050023
99913,,,,0.35586935,,,,0.35586935
100000,,,0.3370192,,,0.32648695,0.3815083,0.34833815
100006,0.43064505,,,,,,,0.43064505
