Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,5,5,5,5,5,5,5,5.0
2,5,5,5,5,5,5,5,5.0
3,5,5,5,5,5,5,5,5.0
4,5,5,5,5,5,5,5,5.0
5,5,5,5,5,5,5,5,5.0
6,5,5,5,5,5,5,5,5.0
7,5,5,5,5,5,5,5,5.0
8,5,5,5,5,5,5,5,5.0
9,5,5,5,5,5,5,5,5.0
10,5,5,5,5,5,5,5,5.0
11,5,5,5,5,5,5,5,5.0
12,5,5,5,5,5,5,5,5.0
13,5,5,5,5,5,5,5,5.0
14,5,5,5,5,5,5,5,5.0
15,5,5,5,5,5,5,5,5.0
16,5,5,5,5,5,5,5,5.0
17,5,5,5,5,5,5,5,5.0
18,5,5,5,5,5,5,5,5.0
19,5,5,5,5,5,5,5,5.0
20,5,5,5,5,5,5,5,5.0
21,5,5,5,5,5,5,5,5.0
22,5,5,5,5,5,5,5,5.0
23,5,5,5,5,5,5,5,5.0
24,5,5,5,5,5,5,5,5.0
25,4,5,5,5,5,5,5,4.857142857142857
26,4,5,5,5,5,5,4,4.714285714285714
27,4,5,5,5,5,5,4,4.714285714285714
28,4,5,5,5,5,5,4,4.714285714285714
29,4,5,5,5,5,5,4,4.714285714285714
30,4,5,5,5,5,5,4,4.714285714285714
31,4,5,5,5,5,5,4,4.714285714285714
32,4,5,5,5,5,5,4,4.714285714285714
33,4,5,5,4,5,5,4,4.571428571428571
34,4,5,5,4,5,5,3,4.428571428571429
35,4,5,5,4,5,5,3,4.428571428571429
36,4,5,5,4,5,5,3,4.428571428571429
37,4,5,5,4,5,5,3,4.428571428571429
38,4,5,5,4,5,5,3,4.428571428571429
39,4,5,5,4,5,5,3,4.428571428571429
40,4,5,5,4,5,5,3,4.428571428571429
41,4,5,5,4,5,5,2,4.285714285714286
42,4,5,5,4,5,5,2,4.285714285714286
43,4,5,5,4,5,5,2,4.285714285714286
44,4,5,5,4,5,5,2,4.285714285714286
45,4,5,5,4,5,5,2,4.285714285714286
46,4,5,5,4,5,5,1,4.142857142857143
47,4,5,5,4,5,5,1,4.142857142857143
48,4,5,5,4,5,5,1,4.142857142857143
49,4,5,5,4,5,5,1,4.142857142857143
50,4,5,5,4,5,5,1,4.142857142857143
51,4,5,5,4,5,5,1,4.142857142857143
52,4,5,5,4,5,5,1,4.142857142857143
53,4,5,5,4,5,5,2,4.285714285714286
54,4,5,5,4,5,5,2,4.285714285714286
55,4,4,5,4,5,5,2,4.142857142857143
56,4,4,5,4,5,5,2,4.142857142857143
57,4,4,5,4,5,5,2,4.142857142857143
58,4,4,5,5,5,5,2,4.285714285714286
59,4,3,5,5,4,5,2,4.0
60,4,3,5,5,4,5,2,4.0
61,4,3,5,5,4,5,2,4.0
62,4,3,5,5,4,5,2,4.0
63,4,3,5,5,4,5,2,4.0
64,4,3,5,5,4,5,1,3.857142857142857
65,4,3,5,5,4,5,1,3.857142857142857
66,4,3,5,5,4,5,1,3.857142857142857
67,4,2,5,5,3,5,1,3.5714285714285716
68,4,2,5,5,3,5,1,3.5714285714285716
69,4,2,5,5,3,5,1,3.5714285714285716
70,4,2,5,5,3,5,2,3.7142857142857144
71,4,2,5,5,3,5,2,3.7142857142857144
72,4,2,5,5,3,5,2,3.7142857142857144
73,4,3,5,5,3,5,2,3.857142857142857
74,4,3,5,5,3,5,2,3.857142857142857
75,4,3,5,5,3,5,2,3.857142857142857
76,4,2,5,5,3,5,2,3.7142857142857144
77,4,2,5,5,3,5,2,3.7142857142857144
78,4,2,5,5,3,5,2,3.7142857142857144
79,4,2,5,5,3,5,2,3.7142857142857144
80,4,2,5,5,3,5,2,3.7142857142857144
81,4,2,5,5,3,5,2,3.7142857142857144
82,4,2,5,5,3,5,2,3.7142857142857144
83,4,2,5,5,3,5,2,3.7142857142857144
84,4,2,5,5,2,5,2,3.5714285714285716
85,4,2,5,5,2,5,2,3.5714285714285716
86,4,2,5,5,2,5,2,3.5714285714285716
87,4,2,5,5,2,5,2,3.5714285714285716
88,4,2,5,5,2,5,2,3.5714285714285716
89,4,2,5,5,2,5,2,3.5714285714285716
90,4,2,5,5,2,5,2,3.5714285714285716
91,4,2,5,5,2,5,2,3.5714285714285716
92,4,2,4,5,2,4,2,3.2857142857142856
93,4,1,4,5,2,4,2,3.142857142857143
94,4,1,4,5,2,4,2,3.142857142857143
95,4,1,4,5,2,4,2,3.142857142857143
96,4,1,4,5,2,4,2,3.142857142857143
97,4,2,4,5,2,4,2,3.2857142857142856
98,4,2,4,5,2,4,2,3.2857142857142856
99,4,2,3,5,2,4,3,3.2857142857142856
100,4,2,3,5,2,4,3,3.2857142857142856
