Epoch number,N steps seed_0,N steps seed_10,N steps seed_20,N steps seed_40,N steps seed_60,N steps seed_80,N steps seed_100,N steps
1,6,6,6,6,6,6,6,6.0
2,6,6,6,6,6,6,6,6.0
3,6,6,6,6,6,6,7,6.142857142857143
4,6,7,6,6,6,6,8,6.428571428571429
5,6,8,6,7,6,6,9,6.857142857142857
6,6,8,6,9,6,6,9,7.142857142857143
7,6,8,6,9,6,6,9,7.142857142857143
8,6,8,6,9,6,6,9,7.142857142857143
9,6,8,6,9,6,6,9,7.142857142857143
10,8,10,8,11,7,8,11,9.0
11,10,12,10,13,9,10,13,11.0
12,12,14,12,15,11,12,15,13.0
13,14,16,14,17,13,14,17,15.0
14,16,16,16,19,15,16,19,16.714285714285715
15,18,16,18,21,17,18,21,18.428571428571427
16,19,16,18,22,18,18,22,19.0
17,20,15,20,22,20,20,24,20.142857142857142
18,21,14,22,21,21,22,25,20.857142857142858
19,23,13,24,19,22,24,27,21.714285714285715
20,25,14,25,17,22,26,29,22.571428571428573
21,27,15,25,15,21,28,30,23.0
22,28,14,24,15,20,30,30,23.0
23,29,12,26,14,19,30,30,22.857142857142858
24,28,11,27,13,18,30,30,22.428571428571427
25,26,10,29,13,18,29,30,22.142857142857142
26,24,12,29,11,19,30,30,22.142857142857142
27,22,10,27,13,20,29,30,21.571428571428573
28,23,8,25,13,20,27,29,20.714285714285715
29,23,6,25,15,19,26,30,20.571428571428573
30,21,5,23,14,19,27,29,19.714285714285715
31,19,4,25,13,17,26,29,19.0
32,18,3,25,13,16,27,29,18.714285714285715
33,18,3,23,15,14,27,27,18.142857142857142
34,17,3,25,15,12,27,29,18.285714285714285
35,15,3,27,13,11,27,30,18.0
36,17,2,29,11,11,27,30,18.142857142857142
37,19,2,29,11,13,28,30,18.857142857142858
38,19,1,27,10,11,27,28,17.571428571428573
39,19,1,26,8,12,25,30,17.285714285714285
40,18,1,26,9,11,24,30,17.0
41,18,1,28,9,9,24,30,17.0
42,20,1,28,8,7,24,28,16.571428571428573
43,20,2,29,6,7,26,26,16.571428571428573
44,18,1,27,6,9,24,25,15.714285714285714
45,16,1,27,7,9,25,27,16.0
46,14,3,27,8,7,27,27,16.142857142857142
47,12,1,26,10,7,26,25,15.285714285714286
48,11,2,25,11,6,27,24,15.142857142857142
49,9,2,26,11,4,29,26,15.285714285714286
50,9,2,24,9,2,30,28,14.857142857142858
51,11,2,25,7,1,29,30,15.0
52,11,1,25,7,1,30,30,15.0
53,10,1,23,6,1,30,29,14.285714285714286
54,10,3,25,6,1,29,29,14.714285714285714
55,10,3,25,6,2,27,30,14.714285714285714
56,11,2,24,5,1,26,30,14.142857142857142
57,11,1,26,5,3,25,28,14.142857142857142
58,9,3,28,7,3,27,26,14.714285714285714
59,7,3,30,9,5,25,28,15.285714285714286
60,5,3,30,11,5,27,26,15.285714285714286
61,7,3,30,10,3,29,28,15.714285714285714
62,9,1,30,8,1,29,26,14.857142857142858
63,11,2,30,6,1,29,28,15.285714285714286
64,12,1,29,5,1,30,29,15.285714285714286
65,11,1,30,7,1,30,30,15.714285714285714
66,9,1,30,7,1,28,30,15.142857142857142
67,11,3,30,9,1,28,29,15.857142857142858
68,13,1,30,7,1,28,29,15.571428571428571
69,13,3,30,5,2,30,27,15.714285714285714
70,13,1,28,7,1,30,29,15.571428571428571
71,13,1,29,5,2,30,29,15.571428571428571
72,14,2,28,6,1,30,30,15.857142857142858
73,12,4,26,7,1,28,30,15.428571428571429
74,10,2,25,5,1,26,29,14.0
75,10,2,23,3,1,24,30,13.285714285714286
76,12,1,21,4,2,24,29,13.285714285714286
77,10,1,19,4,1,22,30,12.428571428571429
78,12,1,21,4,1,24,30,13.285714285714286
79,12,1,23,6,2,22,28,13.428571428571429
80,11,1,24,7,3,23,27,13.714285714285714
81,9,1,24,7,3,24,27,13.571428571428571
82,10,1,24,7,5,22,27,13.714285714285714
83,12,1,24,5,5,22,25,13.428571428571429
84,12,1,22,5,7,24,25,13.714285714285714
85,12,3,24,7,5,26,25,14.571428571428571
86,10,1,26,7,3,24,27,14.0
87,10,2,26,7,1,26,27,14.142857142857142
88,9,1,25,6,1,25,26,13.285714285714286
89,7,3,25,4,1,25,28,13.285714285714286
90,9,3,25,4,1,23,30,13.571428571428571
91,11,1,25,6,2,23,29,13.857142857142858
92,9,1,27,6,4,21,29,13.857142857142858
93,9,1,27,4,2,21,29,13.285714285714286
94,11,1,29,4,2,23,29,14.142857142857142
95,13,1,30,6,4,25,29,15.428571428571429
96,12,2,30,5,5,26,28,15.428571428571429
97,10,1,30,5,5,28,26,15.0
98,10,2,28,3,7,26,24,14.285714285714286
99,10,2,26,3,7,28,22,14.0
100,10,2,26,3,9,30,22,14.571428571428571
