Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,-1000.0,-1000.0,-1000.0,-966.0,-1000.0,-1000.0,-1000.0,-995.1428571428571
2,-1000.0,-1000.0,-1000.0,-999.0,-1000.0,-1000.0,-1000.0,-999.8571428571429
3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
4,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
5,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
6,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
7,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
8,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
9,-695.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-956.4285714285714
10,-1000.0,-468.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-924.0
11,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
12,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
13,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
14,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
15,-1000.0,-157.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-879.5714285714286
16,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
17,-811.0,-1000.0,-1000.0,-304.0,-1000.0,-1000.0,-1000.0,-873.5714285714286
18,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
19,-234.0,-168.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-771.7142857142857
20,-1000.0,-1000.0,-1000.0,-778.0,-1000.0,-1000.0,-1000.0,-968.2857142857143
21,-130.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-875.7142857142857
22,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-268.0,-1000.0,-895.4285714285714
23,-1000.0,-1000.0,-1000.0,-416.0,-1000.0,-1000.0,-1000.0,-916.5714285714286
24,-152.0,-1000.0,-1000.0,-1000.0,-1000.0,-201.0,-1000.0,-764.7142857142857
25,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
26,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
27,-165.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.7142857142857
28,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
29,-1000.0,-466.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-923.7142857142857
30,-1000.0,-199.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-885.5714285714286
31,-1000.0,-174.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-882.0
32,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
33,-1000.0,-569.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-938.4285714285714
34,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
35,-137.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-876.7142857142857
36,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
37,-1000.0,-1000.0,-1000.0,-180.0,-1000.0,-1000.0,-1000.0,-882.8571428571429
