Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward,Episode reward std
1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
4,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
5,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
6,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
7,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
8,-1000.0,-883.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-983.2857142857143,40.94147141509026
9,-1000.0,-151.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-878.7142857142857,297.0881130889884
10,-1000.0,-166.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.8571428571429,291.83920649731016
11,-1000.0,-103.0,-1000.0,-1000.0,-1000.0,-179.0,-1000.0,-754.5714285714286,388.5878672993341
12,-1000.0,-178.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-882.5714285714286,287.6400812239675
13,-1000.0,-96.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-870.8571428571429,316.3341039251418
14,-1000.0,-239.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-891.2857142857143,266.29452775114265
15,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
16,-1000.0,-160.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.0,293.9387691339814
17,-1000.0,-135.0,-1000.0,-1000.0,-1000.0,-742.0,-1000.0,-839.5714285714286,301.09982072531415
18,-1000.0,-254.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-893.4285714285714,261.0456211594644
19,-576.0,-459.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-862.1428571428571,220.20278223974017
20,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
