Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward,Episode reward std
1,-1000.0,-1000.0,-1000.0,-541.0,-1000.0,-1000.0,-1000.0,-934.4285714285714,160.6165417053541
2,-685.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-955.0,110.22703842524301
3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
4,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
5,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
6,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
7,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
8,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
9,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
10,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
11,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
12,-1000.0,-1000.0,-1000.0,-1000.0,-165.0,-1000.0,-1000.0,-880.7142857142857,292.1891336034219
13,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
14,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
15,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
16,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
17,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
18,-1000.0,-315.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-902.1428571428571,239.70006768663956
19,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
20,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-626.0,-1000.0,-946.5714285714286,130.8727376858441
21,-1000.0,-614.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-944.8571428571429,135.07186295918666
22,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
23,-1000.0,-1000.0,-216.0,-166.0,-1000.0,-1000.0,-1000.0,-768.8571428571429,365.7131696411541
24,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-248.0,-1000.0,-892.5714285714286,263.1451837961357
25,-781.0,-250.0,-1000.0,-1000.0,-1000.0,-134.0,-1000.0,-737.8571428571429,354.43815844695007
26,-214.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-887.7142857142857,275.0427054039397
27,-1000.0,-176.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-882.2857142857143,288.3399354361913
28,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
29,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
30,-577.0,-169.0,-1000.0,-1000.0,-1000.0,-1000.0,-578.0,-760.5714285714286,303.85422122310894
31,-1000.0,-753.0,-1000.0,-911.0,-1000.0,-1000.0,-1000.0,-952.0,86.85126859835069
32,-1000.0,-253.0,-1000.0,-1000.0,-1000.0,-198.0,-167.0,-659.7142857142857,393.6171868655107
33,-182.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-883.1428571428571,286.24037279951995
34,-552.0,-1000.0,-1000.0,-1000.0,-1000.0,-201.0,-158.0,-701.5714285714286,363.44614737374275
35,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-362.0,-1000.0,-908.8571428571429,223.25349369938107
36,-1000.0,-266.0,-1000.0,-1000.0,-1000.0,-401.0,-157.0,-689.1428571428571,364.84455733970896
37,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-160.0,-880.0,293.9387691339814
38,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
39,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-186.0,-883.7142857142857,284.84066437507244
40,-148.0,-1000.0,-1000.0,-1000.0,-1000.0,-247.0,-1000.0,-770.7142857142857,363.4967927882541
41,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-173.0,-881.8571428571429,289.3897167545269
42,-1000.0,-761.0,-1000.0,-704.0,-1000.0,-1000.0,-1000.0,-923.5714285714286,121.80060654652767
43,-1000.0,-339.0,-1000.0,-1000.0,-1000.0,-442.0,-769.0,-792.8571428571429,267.60548177784216
44,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
45,-198.0,-411.0,-1000.0,-1000.0,-1000.0,-1000.0,-196.0,-686.4285714285714,368.0550646469152
46,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0
47,-1000.0,-1000.0,-1000.0,-275.0,-1000.0,-1000.0,-1000.0,-896.4285714285714,253.69715193111486
48,-355.0,-1000.0,-1000.0,-592.0,-1000.0,-1000.0,-583.0,-790.0,252.8912809884912
49,-1000.0,-1000.0,-1000.0,-264.0,-1000.0,-1000.0,-1000.0,-894.8571428571429,257.54635009834556
50,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-149.0,-878.4285714285714,297.78796730121206
51,-1000.0,-1000.0,-1000.0,-193.0,-1000.0,-1000.0,-1000.0,-884.7142857142857,282.3911746322892
52,-1000.0,-183.0,-1000.0,-204.0,-1000.0,-1000.0,-283.0,-667.1428571428571,385.38234393963637
53,-255.0,-515.0,-1000.0,-1000.0,-1000.0,-1000.0,-245.0,-716.4285714285714,337.5088812134566
54,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-189.0,-884.1428571428571,283.7908830567368
55,-1000.0,-1000.0,-1000.0,-593.0,-1000.0,-1000.0,-229.0,-831.7142857142857,283.3093787392727
56,-1000.0,-255.0,-1000.0,-1000.0,-1000.0,-1000.0,-131.0,-769.4285714285714,366.0686341356756
57,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-195.0,-885.0,281.6913204200655
58,-1000.0,-291.0,-1000.0,-1000.0,-1000.0,-1000.0,-295.0,-798.0,319.3918327965555
