Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
4,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
5,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
6,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
7,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
8,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
9,-1000.0,-766.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-966.5714285714286
10,-1000.0,-243.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-891.8571428571429
11,-1000.0,-1000.0,-1000.0,-165.0,-1000.0,-1000.0,-1000.0,-880.7142857142857
12,-1000.0,-580.0,-1000.0,-251.0,-1000.0,-1000.0,-1000.0,-833.0
13,-1000.0,-252.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-893.1428571428571
14,-665.0,-319.0,-1000.0,-1000.0,-1000.0,-875.0,-1000.0,-837.0
15,-236.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-890.8571428571429
16,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
17,-1000.0,-154.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-879.1428571428571
18,-165.0,-149.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-759.1428571428571
19,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
20,-661.0,-1000.0,-1000.0,-1000.0,-824.0,-1000.0,-1000.0,-926.4285714285714
21,-335.0,-1000.0,-1000.0,-1000.0,-347.0,-1000.0,-1000.0,-811.7142857142857
22,-1000.0,-1000.0,-1000.0,-184.0,-1000.0,-1000.0,-1000.0,-883.4285714285714
23,-1000.0,-1000.0,-1000.0,-1000.0,-166.0,-1000.0,-1000.0,-880.8571428571429
24,-1000.0,-416.0,-1000.0,-629.0,-1000.0,-1000.0,-1000.0,-863.5714285714286
25,-1000.0,-1000.0,-1000.0,-587.0,-1000.0,-1000.0,-1000.0,-941.0
26,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
27,-1000.0,-842.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-977.4285714285714
28,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
29,-1000.0,-200.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-885.7142857142857
30,-482.0,-1000.0,-1000.0,-257.0,-1000.0,-1000.0,-1000.0,-819.8571428571429
31,-1000.0,-1000.0,-1000.0,-1000.0,-140.0,-1000.0,-1000.0,-877.1428571428571
32,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
33,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
34,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
35,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
36,-1000.0,-1000.0,-1000.0,-167.0,-1000.0,-1000.0,-1000.0,-881.0
37,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
38,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
39,-1000.0,-152.0,-1000.0,-1000.0,-169.0,-1000.0,-1000.0,-760.1428571428571
40,-1000.0,-331.0,-1000.0,-311.0,-171.0,-1000.0,-1000.0,-687.5714285714286
41,-1000.0,-160.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.0
42,-641.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-948.7142857142857
43,-1000.0,-610.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-944.2857142857143
44,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
45,-1000.0,-1000.0,-1000.0,-580.0,-1000.0,-1000.0,-1000.0,-940.0
46,-1000.0,-1000.0,-1000.0,-179.0,-1000.0,-1000.0,-1000.0,-882.7142857142857
47,-293.0,-1000.0,-1000.0,-135.0,-1000.0,-1000.0,-1000.0,-775.4285714285714
48,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
49,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
50,-231.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-890.1428571428571
51,-1000.0,-169.0,-1000.0,-1000.0,-1000.0,-1000.0,-159.0,-761.1428571428571
52,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
53,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
54,-939.0,-124.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-866.1428571428571
